school_id,Potential_School_Name_transliterated,Assigned_District_Name
1,janapriya prA vi,bhojapura
2,ChenakhAmA prA vi,bhojapura
3,gogrAhA mA vi,mora~na
4,shrI shaMkara mA vi,tanahu.n
5,janajAgRRiti mA vi,tanahu.n
6,dA~Nasi~Najare prA vi,bhojapura
7,ChA~NaChAhA~Nga prA vi,bhojapura
8,kheshvara prA vi,bhojapura
9,durgeshvarI prA vi,bhojapura
10,pavitrA mA vi,tanahu.n
11,mitratA mA vi,tanahu.n
12,mitratA mA vi,tanahu.n
13,sAlevA mA vi,bhojapura
14,jAlpA ni mA viA vi,bhojapura
15,bAlakanyA prA vi,bhojapura
16,jAlpA mA vi,bhojapura
17,jagadIshvarI prA vi,bhojapura
18,pa~nchakanyA mA vi,chitavana
19,vIrendra Adarsha mA vi,chitavana
20,chaNDeshvara mA vi,bhojapura
21,pa~nchakanyA mA vi,bhojapura
22,ChintA~Na devI A vi,bhojapura
23,bhimeshvarI A vi,bhojapura
24,sarasvatI prA vi,bhojapura
25,janajyotI prA vi,tanahu.n
26,kyAminakoTa mA vi,tanahu.n
27,bhavAnI prA vi,tanahu.n
28,siddheshvara A vi,lalitapura
29,chaNDI A vi,bhojapura
30,jAlapA A vi,bhojapura
31,shitalAdevI prA vi,bhojapura
32,siMha bAhinI prA vi,bhojapura
33,jAgRRitI mA vi,bhaktapura
34,nirmala prA vi,tanahu.n
35,annapUrNa prA vi,tanahu.n
36,siMha jaleshvarI ni mA viA vi,bhojapura
37,sA~NgarumbA u mA vi,ilama
38,jIvanajyoti mA vi,ilama
39,sitalA devI prA vi,bhojapura
40,siMhadevI A vi,ilama
41,vijayA A vi,ilama
42,kAlikA mA vi,bhojapura
43,A vi,siraha
44,jhAragAu prA vi,tanahu.n
45,jyoti prA vi,bhojapura
46,jyAti prA vi,bhojapura
47,timmA prA vi,bhojapura
48,pancha kanyA prA vi,bhaktapura
49,pa~nchakanyA A vi,bhojapura
50,vANI mA vi,mora~na
51,ChimkeshvarI prA vi,tanahu.n
52,ChimkeshvarI ni mA viA vi,tanahu.n
53,rAShTiya ni mA viA vi,ilama
54,kirAMteshvara prA vi,ilama
55,jalakanyA A vi,ilama
56,AdaraNIya ni mA viA vi,ilama
57,janakalyANA prA vi,ilama
58,millAchoka ni mA viA vi,ilama
59,janakalyANa prA vi,bhojapura
60,shikShAkShamAkanyA prA vi,bhojapura
61,bAlamiterI mA vi,bhojapura
62,kRRiShNa prA vi,mora~na
63,akalA A vi,tanahu.n
64,shrI mA vi,chitavana
65,khArtanChA ni mA viA vi,bhojapura
66,dhApakharka prA vi,bhojapura
67,pa~nchakanyA prA vi,bhojapura
68,amara jyotI prA vi,tanahu.n
69,jana kalyANa A vi,ilama
70,vidyAdharI prA vi,bhojapura
71,devIthAna mA vi,bhojapura
72,amarajyoti prA vi,tanahu.n
73,varabhanjyA ni mA viA vi,ilama
74,nala devI prA vi,tanahu.n
75,dharma mA vi,tanahu.n
76,miklAcho mA vi,ilama
77,buddha mA vi,ilama
78,ratna devI A vi,ilama
79,gajuramukhI A vi,ilama
80,jAlapA prA vi,bhojapura
81,siMheshvarI A vi,ilama
82,siddhi vinAyaka prA vi,ilama
83,dobhAna prA vi,ilama
84,devI prA vi,ilama
85,irauMTAra A vi,ilama
86,vidyA prA vi,ilama
87,maheshvarA prA vi,ilama
88,vikrI prA vi,ilama
89,bhagavatI mA vi,ilama
90,deurAlI prA vi,ilama
91,Adarsha prA vi,ilama
92,Adarsha mA vi,ilama
93,nepAlaTAra mA vi,ilama
94,dRRipAdavI prA vi,ilama
95,pashupati kanyA mandira mA vi,dolakha
96,nava jyotI A vi,ilama
97,bhagavatI mA vi,ilama
98,bhagavatI u mA vi,ilama
99,himAlI mA vi,jhapa
100,mahendra ratna mA vi,jhapa
101,kAlIkA mA vi,tanahu.n
102,siddhamahAkAlI mA vi,tanahu.n
103,lakShmI nArAyaNA prA vi,bhojapura
104,rachanA prA vi,bhojapura
105,jAlpA prA vi,bhojapura
106,kaTakA mA vi,bhojapura
107,pAravatI mA vi,tanahu.n
108,jyoti prA vi,bhojapura
109,siMhadevI mA vi,bhojapura
110,lakShmI u mA vi,sya~ngaja
111,Ananda A vi,bardiya
112,jayanepAla prA vi,tanahu.n
113,rAShTriya A vi,tanahu.n
114,shaMkara mA vi,tanahu.n
115,janaka mA vi,purva navalaparasi
116,sarasvatI A vi,tanahu.n
117,jivanajyAeti A vi,chitavana
