school_id,location,district,modified_name_transliterated
10,"dhobiyare,",morang,shree medhawi boarding vi
11,bahattar bigha,sunsari,balbalika smriti A vi
12,biratnagar,morang,a one quality vi
13,damak,jhapa,a one montessori A vi
14,valayadana,udayapur,A vi churumpha
15,udayapurgadhi,udayapur,A vi murme
16,titribote,udayapur,A vi titribote
17,udayapur,udayapur,A vi ratmate
18,satpatre,udayapur,aadarsha A vi satpatre
19,bhojpur,bhojpur,aadarsha gyankunja academy
110,siddhartha,morang,aadarsha mA english boarding vi
111,"dharan  4 , hardiya",sunsari,A vi hardiya dharan sunsari nepal
112,chaudandigadhi,udayapur,aA vi khairaha
113,bardanda,udayapur,A vi bardanda
114,lekhgaun,udayapur,A vi lekhgaun
115,bojedhara,panchthar,aagejung A vi
116,rakhabangdel,khotang,aagyansag gumba prA vi
117,amgachhi,jhapa,aamgachhi prA vi
118,buddhashanti,jhapa,aanandeshwor gurukul pathsala
119,pedang,taplejung,aapdanda babike
120,jhumka laguna,sunsari,aarambha vidya mandir
121,chakchaki,jhapa,aaramva bal sikshalaya ebs
122,balubadi,jhapa,aaruni english boarding vi
123,panbari,sunsari,aasha academy sunsari
124,prati tole,sunsari,aashin A vi koshi rural municipality sunsari
125,birtamode,jhapa,abacus boarding vi birtamode prA li
126,paurakhi tole purano bhadrapur road,jhapa,abacus english boarding vi
127,budhiganga gaupalika,morang,abha english mA boarding vi
128,new tole,morang,abhijeet dutta A vi
129,triyuga,udayapur,acme academy
130,sandakpur,ilam,adarniya mA vi
131,sundarharaincha,morang,adarsa A vi
132,jayapur,jhapa,adarsha mA vi
133,baklauri bazaar,sunsari,adarsha mA vi
134,punarbas,sunsari,adarsha mA vi
135,santapur,jhapa,adarsha A vi
136,amrang,sankhuwasabha,adarsha A vi
137,apraha,udayapur,adarsha A vi
138,gahaile tole,morang,adarsha balika mA vi
139,thare,okhaldhunga,adarsha A
140,soktim,ilam,adarsha A vi
141,chiyabari,ilam,adarsha A vi
142,yang,ilam,adarsha A vi
143,yadav tole,sunsari,adarsha A vi
144,ramche,okhaldhunga,adarsha A vi
145,sirijangha,taplejung,adarsha A vi
146,phakchamara,tehrathum,adarsha A vi chhathar tehrathum
147,"suryodaya mun-08, koshi province, ilam",ilam,adarsha A vi
148,bhalukhop,ilam,adarsha buddha A vi
149,bhalukhop,ilam,adarsha buddha prA vi
150,harinagar,sunsari,adarsha ebs
151,kanepokhari rural municipality,morang,adarsha english vi
152,jhapa ga pa,jhapa,adarsha janata prA vi
153,adarsh tole,morang,adarsha mA vi
154,tatuwamari,jhapa,adarsha mA vi
155,sahid marg,morang,adarsha mA vi
156,ramailo danda,solukhumbu,adarsha milan prA vi
157,anjanaimode,jhapa,adarsha namuna english boarding vi
158,bishnetar,ilam,adarsha niketen english vi
159,harira,jhapa,adarsha prA vi
160,aadarsha tol,jhapa,adarsha prA vi
161,tribhuvan tole,morang,adarsha prA vi
162,sundarharaincha,morang,adarsha prA vi
163,myanglung,tehrathum,adarsha prA vi
164,bhaishabari,jhapa,adarsha prA vi
165,pathakgaun,sankhuwasabha,adarsha mA bidya mandir ratmate pathakgaun
166,khejenim,taplejung,adarsha mA vi
167,suntalabari,ilam,adarsha mA vi
168,aayabari,jhapa,adarsha mA vi
169,"saphaidhap,dhankuta",dhankuta,adarsha mA vi
170,diktel rupakot majhuwagadhi,khotang,adarsha shiksha sadan ebs
171,gramthan,morang,adarsha sikshya niketan A vi
172,dadakharka,khotang,adarsha sikshya sadan prA vi
173,puranodabali,bhojpur,adarsha sishu prA vi
174,ringuwa,morang,adarsha sita A vi
175,dhulabari,jhapa,adarsha vidya mandir
176,kanakai,jhapa,adarsha vidya mandir mA vi
177,katahari,morang,A vi khayarbana
178,udayapurgadhi,udayapur,A vi thakle
179,bhaluwa,sunsari,A vi
180,katari,udayapur,A vi jahadi simle
181,thoklung,tehrathum,A janasmriti prA vi
182,alichibari,dhankuta,A prA vi
183,kabilasha,sunsari,A vi ghuskeehat
184,harinagar,sunsari,A vi sishuwa dharampur
185,gupta tole,sunsari,A vi
186,holaiya,sunsari,A vi
187,ambote,udayapur,A vi ambote
188,kanchanbari,morang,A vi kanchanbari
189,udayapurgadhi,udayapur,A vi lamadi barre
190,"dharmadevi-6,phaksi",sankhuwasabha,A vi phakshi
191,barbhanjyang,udayapur,A vi barbhanjyang
192,bhokraha narsingh,sunsari,aditya star ebs
193,shikhar chok,morang,advance montessory
194,gauriganj,jhapa,advanced world academy
195,taranagar,jhapa,adventist english vi
196,sisuwa tole,sunsari,aekata gyan maithil prA vi
197,tumbewa,panchthar,agnikasing A vi tumbewa
198,aahale,sankhuwasabha,ahale A vi
199,kerabari,morang,ahale prA vi
1100,arjundhara,jhapa,aims educational academy arjundhara
1101,sannetar,dhankuta,aishworya A vi
1102,malumajhuwa,ilam,aishworya prA vi
1103,panchkhapan,sankhuwasabha,aitabare A vi
1104,thumlung,bhojpur,aitabare ni ma
1105,barbote,dhankuta,aitabare prA vi
1106,kafle,dhankuta,aitabare prA vi
1107,bijuwanidanda gahate,sankhuwasabha,aitabare prA vi
1108,thulopari,bhojpur,aitabare prA vi
1109,sonapur,morang,ajajiya madarasa A vi
1110,yogbirang,dhankuta,ajambari prA vi
1111,barahakshetra-6,sunsari,ak montessori vi
1112,thalakham,khotang,akash devi prA vi
1113,akchewa,sankhuwasabha,akchewa A vi
1114,itahari,sunsari,akshara english vi
1115,"harinagar-06 ghuski,arnawa",sunsari,al islah ideal vi madarsa
1116,kachankawal,jhapa,al madina madarsa
1117,aamtar,morang,alember prA vi
1118,koshi,sunsari,alfalah public mA vi
1119,gautampur,sunsari,ali public vi
1120,sarswati marga,jhapa,allied english vi
1121,kummayak,panchthar,alpa devi A vi
1122,dharan 16,sunsari,alpha academy
1123,amahibelaha,sunsari,alpha beta ebs
1124,chausathi,sunsari,alpine english boarding vi
1125,dharan,sunsari,alpine international model sec vi
1126,faram tole,sunsari,amaduwa pharma A vi
1127,hikunamba,panchthar,amar deep A vi
1128,amarchowk,morang,amar english mA boarding vi
1129,hilihang,panchthar,amar jyoti A vi
1130,sundarharaincha,morang,amar jyoti A vi
1131,chachalung,solukhumbu,amar jyoti A vi
1132,khoktap,dhankuta,amar jyoti prA vi
1133,kanku,solukhumbu,amar jyoti prA vi
1134,mahang,dhankuta,amar jyoti prA vi
1135,schooldanda,jhapa,amar prA vi
1136,amarhaat,sunsari,amar prA vi
1137,jimigaun,dhankuta,amar prA vi
1138,madamsing,sankhuwasabha,amar sahid A vi
1139,desare,khotang,amar sahid prA vi
1140,gauradaha,jhapa,amar mA vi
1141,gauradaha bazar,jhapa,amar mA vi
1142,batisjhalaya,dhankuta,amar mA vi
1143,balaha mandal tole,sunsari,amar shanti srijana ni mA vi
1144,oyakjung,tehrathum,amar singh A vi
1145,jhapa rm,jhapa,amar singh prA vi
1146,pathari shanishchare,morang,amar singh mA vi
1147,jirayat,morang,amaramarlaxmi i
1148,sunawarshi,morang,amardaha children public ebs
1149,biran,morang,amarhart memorial english boarding vi
1150,sangrumba kopche,ilam,amarjyoti A vi
1151,maijogmai,ilam,amarkalyan mA vi
1152,amarpur,panchthar,amarpur mA vi
1153,beshinda,sankhuwasabha,amarsingh A vi
1154,okkhre,taplejung,amarsmriti A vi
1155,phakling,sankhuwasabha,amaruwa uchha mA vi
1156,katahari,morang,ambar A vi
1157,tellok,taplejung,ambassador english boarding vi
1158,rajabash,udayapur,ambebar janta mA vi
1159,ambegudin,taplejung,ambegudin A vi
1160,ambegudin,taplejung,ambegudin mA vi
1161,sidingba,taplejung,ambika A vi
1162,jayapur,jhapa,ambition academy
1163,aambote,taplejung,ambote A vi
1164,biratnagar,morang,amity international vi
1165,barmali tole,jhapa,amity public vi
1166,birtamode,jhapa,amity mA vi
1167,amlise,ilam,amlise bhanjyang A vi
1168,suryodaya,ilam,amlishe prA vi
1169,srijhanja,morang,amma academy
1170,thulungdudhkoshi rural municipality,solukhumbu,amrash A via
1171,bahradashi,jhapa,amrit mA vi
1172,yasok bazzar,panchthar,amrit A vi
1173,chulachuli,ilam,amrit english boarding vi
1174,shanti tole simarbana,sunsari,amurt academy
1175,khairbona,morang,ananda prA vi
1176,chapbhanjyan,okhaldhunga,anandeshwar A vi
1177,"dhanpalthan-7, daligachh",morang,ananta prA vi
1178,kadamgachiya,morang,ananta prA vi
1179,makalu tole,sunsari,ananta sikshya jyoti prA vi
1180,katahri,morang,anantajyoti vidhya mandir ebs
1181,birtamod,jhapa,anarmani A via
1182,birtamod,jhapa,anarmani liberty vi
1183,dhuseni,taplejung,andheri A vi
1184,,jhapa,angel academy
1185,shivasatakshi nagarpalika 6,jhapa,angelica academy
1186,itahari,sunsari,angels kindergarten
1187,budhuksingh,taplejung,angepa A vi
1188,takure,dhankuta,anibarya nisulka A vi takure
1189,sahidbhumi,dhankuta,aniwarya nisulka A vi
1190,kaseni,dhankuta,aniwarya nisulka A vi
1191,simle,dhankuta,aniwarya nisulka mA vi
1192,"belbari-3, morang",morang,annapurna academy morang
1193,ramdhuni:-3,sunsari,annapurna academy prA vi
1194,umring,sankhuwasabha,annapurna A vi
1195,rautamai,udayapur,annapurna A vi bhalupakwan
1196,bajgara,udayapur,annapurna A vi bajagara
1197,itahara,morang,annapurna english vi
1198,annapurna chowk,morang,annapurna english boarding vi
1199,buwalung,khotang,annapurna mA vi
1200,tamlichha,udayapur,annapurna prA vi balapipaldanda
1201,tamlichha,udayapur,annapurna prA vi dandagaun
1202,tudikhel,tehrathum,annapurna mA english boarding vi myanglung tehrathum
1203,andrung,dhankuta,annapurna mA vi
1204,tallosanne,dhankuta,annapurna mA vi
1205,deury,udayapur,annapurna mA vi
1206,mechinagar,jhapa,anshu academy
1207,suryodaya,ilam,anshubarma A vi
