school_id_A,school_id_B,Potential_School_Name_transliterated,modified_name_transliterated,district,district_A,Fuzzy_match_score,Match_Type
1,12428,janapriya pra vi,jana priya pra vi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
569,12596,janashrama pra vi,janashram pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
559,12349,jana jagrriti pra vi,jana jagriti pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
560,14844,prrithvi ma vi,prithvi ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
561,11370,dharapani ma vi,dharapani ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
562,13301,kushmanda a vi,kusmanda a vi,okhaldhunga,okhaldhunga,3.0,"District: complete, School level: complete, Root name: complete"
563,11313,devi a vi,devi a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
564,13638,maha kala pra vi,maha kanya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
567,15736,shanti a vi,shanti a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
568,11237,damodara mahasimha pra vi,damodar mahasingh pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
571,15615,sarvodaya a vi,sarbodaya a vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
588,1812,vidyodaya pra vi,bidhyodaya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
572,15045,rashtriya pra vi,rastriya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
573,15649,savakali ma vi,sawakali ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
575,1389,jala kanya a vi,bal kanya a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
576,11088,chandra pra vi,chandra pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
578,14471,pa~nchakanya pra vi,pancha kanya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
580,11313,devi a vi,devi a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
583,14085,navajyoti pra vi,nabajyoti pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
585,12585,janaseva pra vi,janasewa pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
558,15228,sajha pra vi,sajha pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
554,15499,sarasvati u ma vi,saraswati ma vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
553,11971,himalaya ma vi,himalaya ma vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
552,13784,maipokhari samskrrita ma vi,maipokhari saskrit ma vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
525,12325,janachetana pra vi,jana chetana pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
527,21505,janata ma vi,janata ma vi,siraha,siraha,3.0,"District: complete, School level: complete, Root name: complete"
529,13282,kuhu.nda.nda ma vi,kuhudada ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
530,21504,janata ma vi,janata ma vi,saptari,saptari,3.0,"District: complete, School level: complete, Root name: complete"
532,13282,kuhuda.nda ma vi,kuhudada ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
533,21505,janata ma vi,janata ma vi,siraha,siraha,3.0,"District: complete, School level: complete, Root name: complete"
534,11236,damli ma vi,damli ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
535,14546,pam~nchavati a vi,panchawati a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
537,11470,dudhakoshi pra vi,dudh koshi pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
539,12127,janajyoti a vi,jajnajoti a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
540,1812,vidhodaya pra vi,bidhyodaya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
541,62878,ma vi,ma vi,jumla,jumla,3.0,"District: complete, School level: complete, Root name: complete"
544,11170,chisopani u ma vi,chisopani ma vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
546,1583,buddha a vi,bauddha a vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
547,11084,chandrakala pra vi,chandra kala pra vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
548,11407,dikuva a vi,dikuwa a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
549,13032,kalika pra vi,kalika pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
587,11129,chautare damda pra vi,chautare danda pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
589,14429,pa~nchakanya a vi,pancha kanya a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
518,13638,pamcha kanya pra vi,maha kanya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
641,13874,manu pra vi,manuka pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
629,11236,damli ma vi,damli ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
630,12664,janata a vi,janata a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
632,12372,jana jyoti pra vi,jana jyoti pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
633,11345,devasthana a vi,dewasthan a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
636,11306,deurali ma vi,deurali ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
638,12173,jalapa a vi,jalapa a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
639,11088,chandra pra vi,chandra pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
640,16760,simha devi ma vi,singha devi ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
643,13704,mahamkala a vi,mahangkala a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
590,15403,sarasvati a vi,saraswati a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
644,13800,makpa ma vi,makpa ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
645,13463,lohandra a vi,lohandra a vi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
647,41681,janajagrriti ma vi,jana jagriti ma vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
648,41961,janata ma vi,janata ma vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
649,4520,bhanu ma vi,bhanu ma vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
650,43134,prrithvi u ma vi,prithvi ma vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
652,41421,janajyoti pra vi,gyana jyoti pra vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
654,41241,galkota ma vi,galkot ma vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
627,12468,janajagrriti a vi,janajagriti a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
621,15888,shivasthana pra vi,shivasthan pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
619,1395,lala kanya pra vi,bal kanya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
618,15334,sapta kanya pra vi,sapta kanya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
592,1692,bhanu a vi,bhanu a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
597,12468,janajagrriti a vi,janajagriti a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
598,12468,janajagrriti a vi,janajagriti a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
600,15534,sarasvati pra vi,saraswati pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
602,13018,kalika ma vi,kalika ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
603,12316,janachetana a vi,jana chetana a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
604,15812,shikhara pra vi,shikhar pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
605,14491,pamcha ma vi,pancha ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
606,14491,pa~ncha ma vi,pancha ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
607,12193,jaleshvari a vi,jaleshwari a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
608,14489,pamcha pra vi,pancha pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
610,13188,khartamcha pra vi,khartamchha pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
611,1812,vidyodaya pra vi,bidhyodaya pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
612,12732,janata pra vi,janata pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
614,14491,pa~ncha ma vi,pancha ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
616,16593,simha kali pra vi,siddha kali pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
617,15682,seti pra vi,seti pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
521,12502,janaka ma vi,janak ma vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
517,15368,sharada pra vi,sarada pra vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
352,475,naya jyoti pra vi,amar jyoti pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
407,42112,balika pra vi,kalika pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
393,4875,chabdi varahi a vi,chhabdi barahi a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
397,42508,mahendrajyoti pra vi,mahendra jyoti pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
398,43235,rashtriya ma vi,rastriya ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
399,4172,aruna pra vi,arun pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
401,41795,janapriya a vi,jana priya a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
