school_id,Potential_School_Name,Potential_School_Name_transliterated,Potential_District_Name,Potential_District_Name_transliterated,Matched_District_Name,Assigned_District_Name
1,जनप्रिय प्रा वि,janapriya prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
2,छेनखामा प्रा वि,ChenakhAmA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
3,गोग्राहा मा वि,gogrAhA mA vi,मोरङ,mora~na,mora~na,mora~na
4,श्री शंकर मा वि,shrI shaMkara mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
5,जनजागृति मा वि,janajAgRRiti mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
6,दाङसिङजरे प्रा वि,dA~Nasi~Najare prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
7,छाङछाहाङ्ग प्रा वि,ChA~NaChAhA~Nga prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
8,खेश्वर प्रा वि,kheshvara prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
9,दुर्गेश्वरी प्रा वि,durgeshvarI prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
10,पवित्रा मा वि,pavitrA mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
11,मित्रता मा वि,mitratA mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
12,मित्रता मा वि,mitratA mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
13,सालेवा मा वि,sAlevA mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
14,जाल्पा नि मा विा वि,jAlpA ni mA viA vi,भोजपुर,bhojapura,bhojapura,bhojapura
15,बालकन्या प्रा वि,bAlakanyA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
16,जाल्पा मा वि,jAlpA mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
17,जगदीश्वरी प्रा वि,jagadIshvarI prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
18,पञ्चकन्या मा वि,pa~nchakanyA mA vi,चितवन,chitavana,chitavana,chitavana
19,वीरेन्द्र आदर्श मा वि,vIrendra Adarsha mA vi,चितवन,chitavana,chitavana,chitavana
20,चण्डेश्वर मा वि,chaNDeshvara mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
21,पञ्चकन्या मा वि,pa~nchakanyA mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
22,छिन्ताङ देवी आ वि,ChintA~Na devI A vi,भोजपुर,bhojapura,bhojapura,bhojapura
23,भिमेश्वरी आ वि,bhimeshvarI A vi,भोजपुर,bhojapura,bhojapura,bhojapura
24,सरस्वती प्रा वि,sarasvatI prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
25,जनज्योती प्रा वि,janajyotI prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
26,क्यामिनकोट मा वि,kyAminakoTa mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
27,भवानी प्रा वि,bhavAnI prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
28,सिद्धेश्वर आ वि,siddheshvara A vi,ललितपुर,lalitapura,lalitapura,lalitapura
29,चण्डी आ वि,chaNDI A vi,भोजपुर,bhojapura,bhojapura,bhojapura
30,जालपा आ वि,jAlapA A vi,भोजपुर,bhojapura,bhojapura,bhojapura
31,शितलादेवी प्रा वि,shitalAdevI prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
32,सिंह बाहिनी प्रा वि,siMha bAhinI prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
33,जागृती मा वि,jAgRRitI mA vi,भक्तपुर,bhaktapura,bhaktapura,bhaktapura
34,निर्मल प्रा वि,nirmala prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
35,अन्नपूर्ण प्रा वि,annapUrNa prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
36,सिंह जलेश्वरी नि मा विा वि,siMha jaleshvarI ni mA viA vi,भोजपुर,bhojapura,bhojapura,bhojapura
37,साङ्गरुम्बा उ मा वि,sA~NgarumbA u mA vi,इलाम,ilama,ilama,ilama
38,जीवनज्योति मा वि,jIvanajyoti mA vi,इलाम,ilama,ilama,ilama
39,सितला देवी प्रा वि,sitalA devI prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
40,सिंहदेवी आ वि,siMhadevI A vi,इलाम,ilama,ilama,ilama
41,विजया आ वि,vijayA A vi,इलाम,ilama,ilama,ilama
42,कालिका मा वि,kAlikA mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
43,आ वि,A vi,सिरहा,siraha,siraha,siraha
44,झारगाउ प्रा वि,jhAragAu prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
45,ज्योति प्रा वि,jyoti prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
46,ज्याति प्रा वि,jyAti prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
47,तिम्मा प्रा वि,timmA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
48,पन्च कन्या प्रा वि,pancha kanyA prA vi,टक्सार,taksara,bhaktapura,bhaktapura
49,पञ्चकन्या आ वि,pa~nchakanyA A vi,भोजपुर,bhojapura,bhojapura,bhojapura
50,वाणी मा वि,vANI mA vi,मोरङ,mora~na,mora~na,mora~na
51,छिम्केश्वरी प्रा वि,ChimkeshvarI prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
52,छिम्केश्वरी नि मा विा वि,ChimkeshvarI ni mA viA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
53,राष्टि्य नि मा विा वि,rAShTiya ni mA viA vi,इलाम,ilama,ilama,ilama
54,किरांतेश्वर प्रा वि,kirAMteshvara prA vi,इलाम,ilama,ilama,ilama
55,जलकन्या आ वि,jalakanyA A vi,इलाम,ilama,ilama,ilama
56,आदरणीय नि मा विा वि,AdaraNIya ni mA viA vi,इलाम,ilama,ilama,ilama
57,जनकल्याण्ा प्रा वि,janakalyANA prA vi,इलाम,ilama,ilama,ilama
58,मिल्लाचोक नि मा विा वि,millAchoka ni mA viA vi,इलाम,ilama,ilama,ilama
59,जनकल्याण प्रा वि,janakalyANa prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
60,शिक्षाक्षमाकन्या प्रा वि,shikShAkShamAkanyA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
61,बालमितेरी मा वि,bAlamiterI mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
62,कृष्ण प्रा वि,kRRiShNa prA vi,मोरङ,mora~na,mora~na,mora~na
63,अकला आ वि,akalA A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
64,श्री मा वि,shrI mA vi,चितवन,chitavana,chitavana,chitavana
65,खार्तन्छा नि मा विा वि,khArtanChA ni mA viA vi,भोजपुर,bhojapura,bhojapura,bhojapura
66,धापखर्क प्रा वि,dhApakharka prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
67,पञ्चकन्या प्रा वि,pa~nchakanyA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
68,अमर ज्योती प्रा वि,amara jyotI prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
69,जन कल्याण आ वि,jana kalyANa A vi,इलाम,ilama,ilama,ilama
70,विद्याधरी प्रा वि,vidyAdharI prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
71,देवीथान मा वि,devIthAna mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
72,अमरज्योति प्रा वि,amarajyoti prA vi,तनहुँं,tanahu.nm,tanahu.n,tanahu.n
73,वरभन्ज्या नि मा विा वि,varabhanjyA ni mA viA vi,इलाम,ilama,ilama,ilama
74,नल देवी प्रा वि,nala devI prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
75,धर्म मा वि,dharma mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
76,मिक्लाचो मा वि,miklAcho mA vi,इलाम,ilama,ilama,ilama
77,बुद्ध मा वि,buddha mA vi,इलाम,ilama,ilama,ilama
78,रत्न देवी आ वि,ratna devI A vi,ईलाम,ilama,ilama,ilama
79,गजुरमुखी आ वि,gajuramukhI A vi,इलाम,ilama,ilama,ilama
80,जालपा प्रा वि,jAlapA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
81,सिंहेश्वरी आ वि,siMheshvarI A vi,इलाम,ilama,ilama,ilama
82,सिद्धि विनायक प्रा वि,siddhi vinAyaka prA vi,इलाम,ilama,ilama,ilama
83,दोभान प्रा वि,dobhAna prA vi,इलाम,ilama,ilama,ilama
84,देवी प्रा वि,devI prA vi,इलाम,ilama,ilama,ilama
85,इरौंटार आ वि,irauMTAra A vi,इलाम,ilama,ilama,ilama
86,विद्या प्रा वि,vidyA prA vi,इलाम,ilama,ilama,ilama
87,महेश्वरा प्रा वि,maheshvarA prA vi,इलाम,ilama,ilama,ilama
88,विक्री प्रा वि,vikrI prA vi,इलाम,ilama,ilama,ilama
89,भगवती मा वि,bhagavatI mA vi,इलाम,ilama,ilama,ilama
90,देउराली प्रा वि,deurAlI prA vi,इलाम,ilama,ilama,ilama
91,आदर्श प्रा वि,Adarsha prA vi,इलाम,ilama,ilama,ilama
92,आदर्श मा वि,Adarsha mA vi,इलाम,ilama,ilama,ilama
93,नेपालटार मा वि,nepAlaTAra mA vi,इलाम,ilama,ilama,ilama
94,दृपादवी प्रा वि,dRRipAdavI prA vi,इलाम,ilama,ilama,ilama
95,पशुपति कन्या मन्दिर मा वि,pashupati kanyA mandira mA vi,दोलखा,dolakha,dolakha,dolakha
96,नव ज्योती आ वि,nava jyotI A vi,इलाम,ilama,ilama,ilama
97,भगवती मा वि,bhagavatI mA vi,इलाम,ilama,ilama,ilama
98,भगवती उ मा वि,bhagavatI u mA vi,इलाम,ilama,ilama,ilama
99,हिमाली मा वि,himAlI mA vi,झापा,jhapa,jhapa,jhapa
100,महेन्द्र रत्न मा वि,mahendra ratna mA vi,झापा,jhapa,jhapa,jhapa
101,कालीका मा वि,kAlIkA mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
102,सिद्धमहाकाली मा वि,siddhamahAkAlI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
103,लक्ष्मी नारायण्ा प्रा वि,lakShmI nArAyaNA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
104,रचना प्रा वि,rachanA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
105,जाल्पा प्रा वि,jAlpA prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
106,कटका मा वि,kaTakA mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
107,पारवती मा वि,pAravatI mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
108,ज्योति प्रा वि,jyoti prA vi,भोजपुर,bhojapura,bhojapura,bhojapura
109,सिंहदेवी मा वि,siMhadevI mA vi,भोजपुर,bhojapura,bhojapura,bhojapura
110,लक्ष्मी उ मा वि,lakShmI u mA vi,स्याङजा,sya~naja,sya~ngaja,sya~ngaja
111,आनन्द आ वि,Ananda A vi,बर्दिया,bardiya,bardiya,bardiya
112,जयनेपाल प्रा वि,jayanepAla prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
113,राष्ट्रिय आ वि,rAShTriya A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
114,शंकर मा वि,shaMkara mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
115,जनक मा वि,janaka mA vi,नवलपरासी,navalaparasi,purva navalaparasi,purva navalaparasi
116,सरस्वती आ वि,sarasvatI A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
117,जिवनज्याेति आ वि,jivanajyAeti A vi,चितवन,chitavana,chitavana,chitavana
118,दुर्गा शेषकान्त अधिकारी मा वि,durgA sheShakAnta adhikArI mA vi,चितवन,chitavana,chitavana,chitavana
119,महेन्द्र ज्योती मा वि,mahendra jyotI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
120,कृष्ण मा वि,kRRiShNa mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
121,गुदी फच्याङ आ वि,gudI phachyA~Na A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
122,माहेन्द्री मा वि,mAhendrI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
123,बाराही प्रा वि,bArAhI prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
124,दिपक मा वि,dipaka mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
125,कुस्मावती प्रा वि,kusmAvatI prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
126,कृष्ण गण्डकी प्रा वि,kRRiShNa gaNDakI prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
127,श्री आ वि,shrI A vi,चितवन,chitavana,chitavana,chitavana
128,कालिगण्डकी प्रा वि,kAligaNDakI prA vi,वि,vi,doti,doti
129,अरनिको उ मा वि,araniko u mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
130,मुकुन्देश्वरी प्रा वि,mukundeshvarI prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
131,जनता प्रा वि,janatA prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
132,नवदुर्गा मा वि,navadurgA mA vi,पाल्पा,palpa,palpa,palpa
133,चन्द्रज्योती मा वि,chandrajyotI mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
134,चन्द्र ज्योती मा वि,chandra jyotI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
135,संगम मा वि,saMgama mA vi,कास्की,kaski,kaski,kaski
136,पोखरी प्रा वि,pokharI prA vi,इलाम,ilama,ilama,ilama
137,आदर्श मा वि,Adarsha mA vi,भक्तपुर,bhaktapura,bhaktapura,bhaktapura
138,बालमण्डल मा वि,bAlamaNDala mA vi,इलाम,ilama,ilama,ilama
139,श्री कालिका देवी प्रा वि,shrI kAlikA devI prA vi,इलाम,ilama,ilama,ilama
140,सुभद्रा प्रा वि,subhadrA prA vi,इलाम,ilama,ilama,ilama
141,नवीनप्रगती प्रा वि,navInapragatI prA vi,इलाम,ilama,ilama,ilama
142,जनशक्ति प्रा वि,janashakti prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
143,लक्ष्मि देवी प्रा वि,lakShmi devI prA vi,इलाम,ilama,ilama,ilama
144,महेन्द्रोदय आ वि,mahendrodaya A vi,इलाम,ilama,ilama,ilama
145,कालीगण्डकी आ वि,kAlIgaNDakI A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
146,महादेव आ वि,mahAdeva A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
147,मा वि,mA vi,वि,vi,doti,doti
