school_id_a,school_id_b,confidence
1,12425,50.98039215686274
2,13833,53.608247422680414
3,12763,62.5
4,4391,48.93617021276596
5,434,57.53424657534247
6,13833,46.51162790697675
7,13833,51.92307692307692
8,17422,46.15384615384615
9,11513,45.833333333333336
10,4391,51.764705882352935
11,42659,51.28205128205128
12,4391,48.35164835164834
13,13833,45.714285714285715
14,13833,47.78761061946902
15,13833,53.608247422680414
16,13833,51.61290322580645
17,12119,49.18032786885246
18,36639,53.52112676056338
19,3656,47.78761061946902
20,13833,48.21428571428571
21,13833,53.608247422680414
22,13849,61.36363636363637
23,14062,58.666666666666664
24,15541,53.333333333333336
25,41851,54.16666666666667
26,4391,57.49999999999999
27,434,53.16455696202531
28,36959,52.17391304347826
29,14062,62.857142857142854
30,12663,51.11111111111111
31,16907,50.0
32,16786,44.99999999999999
33,32563,45.833333333333336
34,41489,48.64864864864865
35,434,58.33333333333333
36,16786,44.27480916030534
39,16786,48.5981308411215
42,13833,50.48543689320388
43,2151,52.42718446601942
44,42006,46.808510638297875
45,12901,47.61904761904761
46,15541,48.07692307692307
47,11961,46.42857142857143
48,43331,48.93617021276596
49,12663,51.06382978723405
50,12763,61.53846153846154
51,4900,51.06382978723405
52,4899,49.056603773584904
59,13833,54.71698113207547
60,16676,50.79365079365079
61,13849,51.85185185185186
62,15911,55.81395348837209
63,41925,63.63636363636363
64,34398,49.01960784313726
65,16976,47.76119402985075
66,11356,50.0
67,13833,47.540983606557376
68,434,44.66019417475729
70,16570,42.51968503937008
71,13833,48.07692307692307
72,434,51.11111111111111
74,441,52.38095238095239
75,42146,54.54545454545454
80,13833,51.48514851485149
99,16105,52.42718446601942
100,16105,57.94392523364487
101,42084,48.78048780487805
102,42146,55.696202531645575
103,13833,52.17391304347826
104,14522,48.0
105,13833,48.07692307692307
106,13833,49.056603773584904
107,44066,48.88888888888889
108,12901,47.61904761904761
109,16749,48.21428571428571
112,41995,52.17391304347826
113,44044,69.87951807228916
114,42146,59.154929577464785
115,24786,48.4375
116,43400,56.81818181818181
117,3656,64.81481481481481
118,3589,48.529411764705884
119,42146,60.526315789473685
120,42146,50.63291139240506
121,41385,65.88235294117646
122,42146,58.22784810126582
123,434,50.0
124,44420,45.714285714285715
125,434,59.154929577464785
126,434,44.680851063829785
127,34398,58.92857142857143
129,42146,54.32098765432099
130,43992,45.16129032258065
132,51777,50.0
133,4839,56.52173913043479
134,4391,58.22784810126582
135,41877,47.05882352941176
137,35528,61.111111111111114
142,41822,47.82608695652174
145,43997,58.22784810126582
146,4210,53.48837209302326
151,3656,56.896551724137936
152,4256,58.13953488372092
153,35240,48.88888888888889
156,16105,55.10204081632652
157,24786,50.79365079365079
193,35240,45.714285714285715
199,42146,64.7887323943662
200,43227,43.63636363636364
204,42146,55.55555555555556
205,4391,48.93617021276596
208,43997,63.01369863013699
212,35361,48.73949579831933
213,4410,55.319148936170215
214,41877,55.00000000000001
215,42063,43.63636363636364
220,42146,64.0
223,36639,53.84615384615385
224,35240,49.504950495049506
226,33693,40.44943820224719
227,44044,64.1025641025641
230,43978,46.666666666666664
231,41567,47.05882352941176
232,33805,48.0
233,4391,53.48837209302326
235,4391,51.685393258426956
236,434,50.0
237,434,59.45945945945945
242,13329,48.0
243,42150,52.94117647058824
244,42255,53.93258426966292
246,12615,59.13043478260869
247,33390,46.42857142857143
249,4821,58.97435897435898
250,38,57.425742574257434
251,12615,63.366336633663366
253,4391,60.24096385542168
254,41064,52.38095238095239
255,1613,52.5
256,13756,59.57446808510638
257,15505,51.72413793103448
258,13870,51.72413793103448
259,15554,53.65853658536586
260,12615,58.18181818181818
261,1613,54.32098765432099
262,21853,60.67415730337078
263,434,42.85714285714286
264,434,53.16455696202531
265,42146,47.05882352941176
266,41444,40.816326530612244
270,42146,55.696202531645575
271,434,56.41025641025641
272,434,47.72727272727273
273,42146,55.696202531645575
274,12615,49.122807017543856
275,12615,54.400000000000006
276,42146,49.46236559139785
277,15894,52.63157894736843
278,12615,44.96124031007752
280,42146,51.685393258426956
281,2610,53.703703703703695
282,43251,69.23076923076923
283,1837,44.99999999999999
284,21379,65.90909090909092
285,14753,46.808510638297875
287,434,47.72727272727273
288,434,51.94805194805194
289,22883,61.1764705882353
290,4391,52.17391304347826
291,42446,57.831325301204814
293,44044,55.319148936170215
294,434,62.857142857142854
295,12615,47.86324786324786
296,12828,54.54545454545454
297,21853,50.0
298,11641,49.056603773584904
299,21853,55.55555555555556
301,12615,48.73949579831933
302,15353,66.08695652173913
303,12615,47.61904761904761
304,434,56.41025641025641
305,434,44.680851063829785
308,43576,50.98039215686274
309,434,47.5
310,33511,43.75
311,24426,56.60377358490566
312,44044,39.473684210526315
313,43153,53.84615384615385
314,434,47.72727272727273
315,42146,57.49999999999999
316,43227,44.827586206896555
317,42146,54.794520547945204
318,43331,52.17391304347826
319,43331,42.990654205607484
320,41452,44.827586206896555
321,36656,44.03669724770643
322,4391,51.11111111111111
323,434,60.0
324,42146,63.01369863013699
325,41925,60.526315789473685
326,43251,48.54368932038835
327,42429,45.28301886792453
328,44473,56.790123456790134
329,12477,51.764705882352935
330,16950,48.0
331,42146,53.333333333333336
332,34886,62.06896551724138
333,33135,50.847457627118644
335,434,57.53424657534247
336,42146,44.44444444444444
338,2610,55.769230769230774
339,434,47.61904761904761
340,42146,48.275862068965516
341,42146,60.273972602739725
342,434,49.411764705882355
343,41514,52.63157894736843
344,42161,49.01960784313726
345,42446,48.97959183673469
346,44066,57.692307692307686
347,42429,48.97959183673469
348,41060,56.52173913043479
349,43988,55.55555555555556
350,4391,47.524752475247524
351,43877,59.64912280701755
352,42828,54.54545454545454
353,43752,57.14285714285714
354,41877,47.72727272727273
355,3886,53.333333333333336
356,36639,58.82352941176471
357,44044,54.347826086956516
358,42429,42.10526315789473
359,466,62.65060240963856
361,43227,41.509433962264154
362,42161,54.761904761904766
363,3656,49.01960784313726
364,34398,44.927536231884055
365,43227,43.13725490196079
366,4725,48.88888888888889
367,44326,54.32098765432099
368,44172,68.65671641791045
369,42084,53.65853658536586
370,41057,67.64705882352942
371,434,48.19277108433735
372,44044,55.55555555555556
373,43888,51.85185185185186
374,22883,53.06122448979591
375,4391,51.162790697674424
376,73328,54.94505494505495
378,434,50.0
379,4391,47.916666666666664
380,4391,52.87356321839081
381,42429,47.05882352941176
382,4391,52.87356321839081
383,42161,55.00000000000001
384,44045,59.523809523809526
385,42443,47.05882352941176
386,4391,48.484848484848484
387,434,59.154929577464785
388,434,55.263157894736835
389,24647,44.44444444444444
390,24786,55.46218487394958
391,41382,47.05882352941176
392,434,51.685393258426956
393,4821,57.49999999999999
394,434,55.00000000000001
395,43264,50.98039215686274
396,434,50.63291139240506
397,434,51.764705882352935
398,4391,55.55555555555556
399,43227,48.88888888888889
400,4391,45.54455445544554
401,44044,66.66666666666667
402,434,45.652173913043484
403,4412,69.56521739130434
404,41877,47.82608695652174
405,434,51.85185185185186
406,43227,46.808510638297875
407,42084,53.65853658536586
408,42293,46.15384615384615
409,4391,53.93258426966292
410,499,49.056603773584904
411,434,47.61904761904761
412,4391,50.54945054945055
413,44044,50.0
414,41877,59.154929577464785
415,41925,60.273972602739725
416,41877,48.275862068965516
417,43978,45.614035087719294
418,44044,64.1025641025641
419,4391,49.411764705882355
420,43392,55.55555555555556
421,42084,48.88888888888889
423,4391,54.761904761904766
424,42146,56.41025641025641
425,43331,58.13953488372092
426,4813,48.484848484848484
427,42255,47.76119402985075
428,43227,52.17391304347826
429,43227,47.82608695652174
430,4821,53.65853658536586
431,4391,60.75949367088608
432,44441,53.65853658536586
433,434,48.78048780487805
434,434,57.53424657534247
435,4391,55.42168674698795
436,35351,47.916666666666664
437,42146,60.526315789473685
438,4461,40.476190476190474
439,434,45.652173913043484
440,4391,55.42168674698795
441,41194,54.32098765432099
442,43227,52.38095238095239
443,24924,57.94392523364487
444,4219,50.0
