school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
2,chenakhama,pravi,bhojpur,2.5
4,shri shamkara,mavi,tanahun,2.5
5,janajagrriti,mavi,tanahun,2.5
6,da~nasi~najare,pravi,bhojpur,2.0
7,cha~nachaha~nga,pravi,bhojpur,2.0
8,kheshvara,pravi,bhojpur,2.0
14,jalpa,nimavi,bhojpur,2.5
20,chandeshvara,mavi,bhojpur,2.5
28,siddheshvara,avi,lalitpur,2.5
31,shitaladevi,pravi,bhojpur,2.5
32,simha bahini,pravi,bhojpur,2.5
36,simha jaleshvari,nimavi,bhojpur,1.5
39,sitala devi,pravi,bhojpur,2.5
43,,avi,siraha,2.5
44,jharagau,pravi,tanahun,2.5
47,timma,pravi,bhojpur,2.5
48,pancha kanya,pravi,panchthar,2.5
50,vani,mavi,siraha,1.5
52,chimkeshvari,nimavi,tanahun,2.5
53,rashtiya,nimavi,ilam,2.5
54,kiramteshvara,pravi,ilam,2.0
56,adaraniya,nimavi,ilam,2.5
58,millachoka,nimavi,ilam,1.5
60,shikshakshamakanya,pravi,bhojpur,2.5
61,balamiteri,mavi,bhojpur,2.0
64,shri,mavi,chitwan,1.5
65,khartancha,nimavi,bhojpur,2.5
70,vidyadhari,pravi,bhojpur,2.0
73,varabhanjya,nimavi,ilam,1.5
81,simheshvari,avi,ilam,2.0
83,dobhana,pravi,ilam,2.5
85,iraumtara,avi,ilam,2.0
86,vidya,pravi,ilam,2.5
87,maheshvara,pravi,ilam,2.5
88,vikri,pravi,ilam,2.0
90,deurali,pravi,ilam,2.5
91,adarsha,pravi,ilam,2.5
94,drripadavi,pravi,ilam,2.5
102,siddhamahakali,mavi,tanahun,2.5
103,lakshmi narayana,pravi,bhojpur,2.5
104,rachana,pravi,bhojpur,2.5
108,jyoti,pravi,bhojpur,2.5
109,simhadevi,mavi,bhojpur,2.5
110,lakshmi,mavi,syangja,2.0
111,ananda,avi,bardiya,2.5
115,janaka,mavi,nawalparasi,2.5
117,jivanajyaeti,avi,bhaktapur,
118,durga sheshakanta adhikari,mavi,chitwan,
119,mahendra jyoti,mavi,tanahun,
120,krrishna,mavi,tanahun,
121,gudi phachya~na,avi,tanahun,
122,mahendri,mavi,tanahun,
123,barahi,pravi,tanahun,
124,dipaka,mavi,tanahun,
125,kusmavati,pravi,tanahun,
126,krrishna gandaki,pravi,tanahun,
127,shri,avi,chitwan,
