school_id_B,root_school_name_B,school_level_B,root_school_old_name1_B,root_school_old_name2_B,school_level_old_name2_B,school_level_old_name1_B,district_B,Fuzzy_match_score
10,shree medhawi boarding school,,,,,,morang,
11,balbalika smriti,avi,balbalika smriti,,,pravi,sunsari,
12,a one quality school,,,,,,morang,
13,a one montessori pre,pravi,,,,,jhapa,
14,churumpha,avi,churumpha,,,nimavi,udayapur,
15,murme,avi,murme,murme,nimavi,avi,udayapur,
16,titribote,avi,titribote,,,pravi,udayapur,
17,ratmate,avi,ratmate,ratmate,nimavi,avi,udayapur,
18,aadarsha  satpatre,avi,,,,,udayapur,
19,aadarsha gyankunja academy,,,,,,bhojpur,
110,aadarsha  english boarding school,mavi,,,,,morang,
111,hardiya dharan sunsari nepal,avi,hardiya dharan,hardiya,avi,avi,sunsari,
112,khairaha,avi,khairaha,,,pravi,udayapur,
113,bardanda,avi,bardanda,,,pravi,udayapur,
114,lekhgaun,avi,shree  lekhgaun,lekhgau,pravi,avi,udayapur,
115,aagejung,avi,agejung,,,nimavi,panchthar,
116,aagyansag gumba,pravi,aagyansag gumba,,,pravi,khotang,
117,aamgachhi,pravi,amgachhi,,,pravi,jhapa,
118,aanandeshwor gurukul pathsala,,,,,,jhapa,
119,aapdanda babike,,,,,,taplejung,
120,aarambha vidya mandir,,l n memorial model ebs,,,,sunsari,
121,aaramva bal sikshalaya ebs,,,,,,jhapa,
122,aaruni english boarding school,,aaaruni english boarding school,aruni ebs,,,jhapa,
123,aasha academy sunsari,,,,,,sunsari,
124,aashin  koshi rural municipality sunsari,avi,aashin,,,pravi,sunsari,
125,abacus boarding school birtamode,pravi,gyan jyoti ebs,,,,jhapa,
126,abacus english boarding school,,abakash ebs,,,,jhapa,
127,abha english,mavi,abha english,,,mavi,morang,
128,abhijeet dutta,avi,abijit dtta,,,pravi,morang,
129,acme academy,,,,,,udayapur,
130,adarniya,mavi,adarniya,,,avi,ilam,
131,adarsa,avi,adarsa,,,pravi,morang,
132,adarsha,mavi,adarsha,,,mavi,jhapa,
133,adarsha  vidhyalaya,mavi,adarsha u,,,mavi,sunsari,
134,adarsha,mavi,adarsha,adarsha,mavi,mavi,sunsari,
135,adarsha,avi,adarsha,,,pravi,jhapa,
136,adarsha,avi,adarsha,,,pravi,sankhuwasabha,
137,adarsha,avi,adarsha  apraha,,,pravi,udayapur,
138,adarsha balika,mavi,adarsha balika,,,mavi,morang,
139,adarsha basic,,adarsha,,,pravi,okhaldhunga,
140,adarsha,avi,adarsha,adarsha,pravi,avi,ilam,
141,adarsha,avi,adarsha,,,avi,ilam,
142,adarsha,avi,adarsha,,,pravi,ilam,
143,adarsha,avi,adarsha,adarsha,pravi,avi,sunsari,
144,adarsha,avi,adarsha,,,pravi,okhaldhunga,
145,adarsha,avi,adarsha,,,pravi,taplejung,
