school_id	name	name_processed	district_id
11	13 Balbalika Smriti Basic School	13 Balbalika Smriti Basic School Primary , Ramdhuni Sunsari	11
14	Aa vi Churumpha	Basic School Churumpha Lower Secondary , Udayapurgadhi Udayapur	14
15	Aa Vi Murme	Basic School Murme ABasicboot , Udayapurgadhi Udayapur	14
16	Aa. V Titribote	Aa. School Titribote Primary , Belaka Udayapur	14
17	Aa. Vi. Ratmate	Basic School Ratmate (1-8) , Triyuga Udayapur	14
18	Aadarsha Basic School Satpatre	Aadarsha Basic School Satpatre , Belaka Udayapur	14
111	Aadharbhut Bidyalaya  Hardiya, Dharan-4,Sunsari(Nepal)	Basic School Hardiya , Dharan-4,Sunsari(Nepal) Dharan-4 Dharan Sunsari	11
112	Aadharbhut vidhyalaya Khairaha	Basic School Khairaha Primary , Chaudandigadhi Udayapur	14
113	Aadharvut Bidyalaya Bardanda	Basic School Bardanda Primary , Katari Udayapur	14
114	Aadharvut Bidyalaya(1-5) Lekhgaun	Basic School(1-5) Lekhgaun Shree School , Tapli Udayapur	14
115	AAGEJUNG BASIC SCHOOL	AAGEJUNG BASIC SCHOOL Agejung Lower Secondary School , Yangwarak Panchthar	8
116	Aagyansag Gumba Primary School	Aagyansag Gumba Primary School , Ainselukharka Khotang	5
117	Aamgachhi Pra V	Aamgachhi Primary School Amgachhi , Gauriganj Jhapa	4
119	Aapdanda Babike	Aapdanda Babike , Sirijangha Taplejung	12
124	Aashin Basic School Koshi Rural Municipality 3, Sunsari	Aashin Basic School Koshi Rural Municipality 3 , Sunsari Primary Sunsari	11
127	Abha English Secondary Boarding School	Abha English Secondary Boarding School secondary , Budhiganga Morang	6
128	Abhijeet Dutta Basic School	Abhijeet Dutta Basic School Abijit Dtta Primary , Rangeli Morang	6
130	Adarniya mavi	Adarniya mavi Basic School , Sandakpur Ilam	3
131	Adarsa Basic School	Adarsa Basic School Primary , Sundarharaincha Morang	6
132	Adarsha  Ma Vi	Adarsha Secondary School Uchha , Buddhashanti Jhapa	4
133	Adarsha  Madhyamik Vidhyalaya	Adarsha Secondary School U , Ramdhuni Sunsari	11
134	Adarsha  Secondary School	Adarsha Secondary School , Barahkshetra Sunsari	11
135	Adarsha Adhar V	Adarsha Basic School Primary , Buddhashanti Jhapa	4
136	Adarsha Adharbhoot Vidhyalaya	Adarsha Basic School Primary , Makalu Sankhuwasabha	9
137	Adarsha adharbhut vidhyalaya	Adarsha Basic School Primary Apraha , Chaudandigadhi Udayapur	14
138	Adarsha Balika Secondary School	Adarsha Balika Secondary School , Biratnagar Morang	6
139	Adarsha Basic	Adarsha Basic Primary School , Khijidemba Okhaldhunga	7
140	Adarsha Basic School	Adarsha Basic School Bidhyalaya , Mai Ilam	3
141	Adarsha Basic School	Adarsha Basic School , Ilam Ilam	3
142	Adarsha Basic School	Adarsha Basic School Primary , Suryodaya Ilam	3
143	Adarsha Basic School	Adarsha Basic School Bidhyalaya , Bhokraha Sunsari	11
144	Adarsha Basic School	Adarsha Basic School Primary , Siddhicharan Okhaldhunga	7
145	Adarsha Basic School	Adarsha Basic School Primary , Sirijangha Taplejung	12
146	Adarsha Basic School Chhathar-4, Tehrathum.	Adarsha Basic School Chhathar-4 , Tehrathum. Chhathar Tehrathum	13
147	Adarsha Basic School,	Adarsha Basic School , Suryodaya Ilam	3
148	Adarsha Buddha Basic School	Adarsha Buddha Basic School Bidhyalaya , Mai Ilam	3
152	Adarsha Janata Pra V	Adarsha Janata Primary School , Jhapa Jhapa	4
153	Adarsha Ma  V	Adarsha Secondary School Basic , Rangeli Morang	6
154	Adarsha Ma V	Adarsha Secondary School , Gauriganj Jhapa	4
155	Adarsha Ma Vi.	Adarsha Secondary School. School , Biratnagar Morang	6
156	Adarsha Milan Pra V	Adarsha Milan Primary School , Nechasalyan Solukhumbu	10
159	Adarsha Pra V	Adarsha Primary School , Gauriganj Jhapa	4
160	Adarsha Pra V	Adarsha Primary School , Kachankawal Jhapa	4
161	Adarsha Pra V	Adarsha Primary School , Biratnagar Morang	6
162	Adarsha Pra V	Adarsha Primary School , Sundarharaincha Morang	6
164	Adarsha Prathamik Bidhyalaya	Adarsha Primary Bidhyalaya School , Bhadrapur Jhapa	4
165	Adarsha Secondary  Bidya Mandir Ratmate Pathakgaun	Adarsha Secondary Bidya Mandir Ratmate Pathakgaun , Khandbari Sankhuwasabha	9
166	Adarsha Secondary School	Adarsha Secondary School , Phaktanglung Taplejung	12
167	Adarsha Secondary School	Adarsha Secondary School , Ilam Ilam	3
168	Adarsha Secondary School	Adarsha Secondary School , Mechinagar Jhapa	4
169	Adarsha secondary school	Adarsha secondary school school,sahidbhumi- 1 Saphai Dhap dhankuta , Sahidbhumi Dhankuta	2
171	Adarsha Sikshya Niketan Basic School	Adarsha Sikshya Niketan Basic School , Gramthan Morang	6
172	Adarsha Sikshya Sadan Pra V	Adarsha Sikshya Sadan Primary School , Diprung Khotang	5
173	Adarsha Sishu Primary School	Adarsha Sishu Primary School , Bhojpur Bhojpur	1
174	Adarsha Sita Basic School	Adarsha Sita Basic School Primary , Pathari Morang	6
176	Adarsha Vidya Mandir Secondary School	Adarsha Vidya Mandir Secondary School , Kanakai Jhapa	4
177	Adhar V Khayarbana	Basic School Khayarbana , Katahari Morang	6
178	Adharbhoot  V Thakle	Basic School Thakle Lower Secondary , Udayapurgadhi Udayapur	14
179	Adharbhut  Bidyalaya	Basic School , Duhabi Sunsari	11
180	adharbhut bidyalaya Jahadi Simle	Basic School Jahadi Simle Lower Secondary , Katari Udayapur	14
181	Adharbhut Janasmriti Pra V	Basic Janasmriti Primary School , Aathrai Tehrathum	13
182	Adharbhut Pra V	Basic Primary School Adarbhut , Chhathar Dhankuta	2
183	Adharbhut V Ghuskeehat	Basic School Ghuskeehat Lower Secondary , Harinagar Sunsari	11
184	Adharbhut V Sishuwa dharampur	Basic School Sishuwa dharampur Lower Secondary SishuwBasicampur , Harinagar Sunsari	11
185	Adharbhut Vidhyalaya	Basic School Primary Jalpapur , Inaruwa Sunsari	11
186	Adharbhut Vidhyalaya	Basic School Holaiya , Gadhi Sunsari	11
187	Adharbhut Vidyalaya Ambote	Basic School Ambote , Limchungbung Udayapur	14
188	Adharbhut vidyalaya Kanchanbari	Basic School Kanchanbari , Biratnagar Morang	6
189	Adharbhut Vidyalaya Lamadi Barre	Basic School Lamadi Barre , Udayapurgadhi Udayapur	14
190	Adharbhut Vidyalaya Phakshi	Basic School Phakshi Lower Secondary , Dharmadevi Sankhuwasabha	9
191	adharbhut-vidyalaya-barbhanjyang	Basic-School-barbhanjyang Basic School Barbhanjyang , Limchungbung Udayapur	14
196	Aekata Gyan Maithil Pra V	Aekata Gyan Maithil Primary School , Duhabi Sunsari	11
197	Agnikasing Adharbhut Bidhyalay tumbewa 4	Agnikasing Basic Bidhyalay tumbewa 4 Primary School , Tumbewa Panchthar	8
198	Ahale aadharvut Vidyalaya	Ahale Basic School Lower Secondary , Chichila Sankhuwasabha	9
199	Ahale primary school	Ahale primary school pr School , Kerabari Morang	6
1101	Aishworya Basic School	Aishworya Basic School Primary , Mahalaxmi Dhankuta	2
1103	Aitabare Basic School	Aitabare Basic School , Panchakhapan Sankhuwasabha	9
1104	Aitabare Ni Ma	Aitabare Lower Secondary , Salpasilichho Bhojpur	1
1105	Aitabare Pra V	Aitabare Primary School , Sahidbhumi Dhankuta	2
1106	Aitabare Pra V	Aitabare Primary School , Mahalaxmi Dhankuta	2
1107	Aitabare Pra V	Aitabare Primary School , Panchakhapan Sankhuwasabha	9
1108	Aitabare Pra V	Aitabare Primary School , Bhojpur Bhojpur	1
1109	Ajajiya Madarasa Basic School	Ajajiya Madarasa Basic School Madrassa , Ratuwamai Morang	6
1110	Ajambari Pra V	Ajambari Primary School , Sahidbhumi Dhankuta	2
1112	Akash Devi Pra Vi	Akash Devi Primary School , Jantedhunga Khotang	5
1113	Akchewa Basic School	Akchewa Basic School , Makalu Sankhuwasabha	9
1117	Alember Pra. Vi.	Alember Primary School , Letang Morang	6
1121	Alpa Devi Basic School	Alpa Devi Basic School Primary , Kummayak Panchthar	8
1125	Alpine International Model Sec. School	Alpine International Model Sec. School , Dharan Sunsari	11
1126	Amaduwa Pharma basic school	Amaduwa Pharma basic school Primary School , Barju Sunsari	11
1127	Amar Deep Basic School	Amar Deep Basic School Bidhalaya , Miklajung Panchthar	8
1129	Amar Jyoti Basic School	Amar Jyoti Basic School Lower Secondary , Hilihang Panchthar	8
1130	Amar Jyoti basic school	Amar Jyoti basic school Primary School , Sundarharaincha Morang	6
1131	Amar Jyoti Basic School	Amar Jyoti Basic School , Mahakulung Solukhumbu	10
1133	Amar Jyoti Pra V	Amar Jyoti Primary School Basic , Mapya Solukhumbu	10
1134	Amar Jyoti Primary School	Amar Jyoti Primary School , Dhankuta Dhankuta	2
1135	Amar Pra V	Amar Primary School , Mechinagar Jhapa	4
1136	Amar pra v	Amar Primary School , Dharan Sunsari	11
1137	Amar Primary School	Amar Primary School , Sangurigadhi Dhankuta	2
1138	Amar Sahid Aadharbhut Bidhyalaya	Amar Sahid Basic Bidhyalaya Primary School , Dharmadevi Sankhuwasabha	9
1139	Amar Sahid Pra V	Amar Sahid Primary School , Ainselukharka Khotang	5
1140	Amar Secondary school	Amar Secondary school School , Gauradaha Jhapa	4
