id,school,
1,"Janapriya Primary School, Bhojpur",
2,Chenkhama Primary School Bhojpur,
3,"Gograha Secondary School, Biratnagar, Morang",
4,"Shree Shankar Secondary School, Gajarkot, Tanahun",
5,"Janajagruti Secondary School, Tanahun",
6,"Dangsingjare Primary School, Bhojpur",
7,"Changchahang Primary School, Bhojpur",
8,"Kheshwar Primary School, Bhojpur",
9,"Durgeshwari Primary School, Bhojpur",
10,"Pavitra Secondary School, Bandipur, Tanahun",
11,"Friendship Secondary School, Tanahu",
12,"Mitrata Secondary School, Ambukhareni, Tanahoon",
13,"Salewa Secondary School, Deavane Bhojpur",
14,Jalpa Lower Secondary School Bhosipankha Bhojpur,
15,"Balkanya Primary School, Bhojpur",
16,"Jalpa Secondary School, Bhojpur",
17,"Jagdishwari Primary School, Bhojpur",
18,"Panchkanya Secondary School, Chitwan",
19,"Birendra Adarsh Secondary School, Birendra Nagar Chitwan",
20,"Chandeshwar Secondary School, Balankha, Bhojpur",
21,Panchkanya Secondary School Bhojpur,
22,"Chintang Devi Basic School, Bhojpur",
23,"Bhimeshwari Basic School, Bhojpur",
24,Saraswati Primary School Taksar Bhojpur,
25,"Janjyoti Primary School, Tanhu",
26,"Caminkot Secondary School, Tanahoon",
27,"Bhawani Primary School, Beas, Tanahoon",
28,"Siddheshwar Basic School, Godavari, Lalitpur",
29,Chandi Basic School Bhojpur,
30,"Jalpa Basic School -Yang Tharpu, Bhojpur",
31,"Shitladevi Primary School, Bhojpur",
32,"Singh Bahini Primary School Bhojpur District, Bhojpur",
33,"Jagruti Secondary School, Bhaktapur",
34,"Nirmal Primary School, Tanhu",
35,"Annapurna Primary School, Tanahun",
36,Singh Jaleshwari Lower Secondary School Tiwaribhanjyang Bhojpur,
37,"Sangarumba Higher Secondary School, Sangarumba-3 Ilam",
38,"Jeevanjyoti Secondary School, Ilam",
39,"Sitla Devi Primary School Tiwari Bhanjang, Bhojpur",
40,"Singhdevi Basic School, Ilam",
41,"Vijaya Basic School Amchok, Ilam",
42,Kalika Secondary School Helauchha Bhojpur,
43,"Basic School Kattitol, Lagadi Gadiani, Siraha",
44,"Jhargau Primary School, Tanhu",
45,"Jyoti Primary School, Bhojpur",
46,Jati Primary School Bhojpur,
47,"Timma Primary School, Bhojpur",
48,"Panch Kanya Primary School Bhaljite, Taksar-9",
49,"Panchkanya Basic School, Yaku Katti, Bhojpur",
50,"Vani Secondary School, Sidharaha, Morang",
51,"Chimkeshwari Primary School, Tanhu",
52,"Chimkeshwari Lower Secondary School, Tanhu",
53,"National Lower Secondary School Soyang, Ilam",
54,"Kiranteshwar Primary School, Ilam",
55,"Jalkanya Basic School, Phakphokthum District, Ilam",
56,"Respected Lower Secondary School, Ilam",
57,"Janakalyana Primary School Dokandanda, Ilam",
58,"Millachok Lower Secondary School, Ilam",
59,Janakalyan Primary School Amtek Bhojpur,
60,"Shikshakshamakanya Primary School, Bhojpur",
61,"Balmiteri Secondary School, Bhojpur",
62,"Krishna Primary School Letang, Morang",
63,Akala Basic School Tanahun,
64,"Shri Madhyamik Vidyalaya, Lanka Bahghare, Chitwan",
65,"Khartancha Lower Secondary School, Bhojpur",
66,"Dhapkhark Primary School, Bhojpur",
67,"Panchkanya Primary School Pauwadungma Village, Bhojpur",
68,"Amar Jyoti Primary School, Camundanda Zhirubas, Tanahun",
69,"Jan Kalyan Basic School, Laxmipur-5, Ilam",
70,"Vidyadhari Primary School, Ramprasadarai Village, Bhojpur",
71,Devithan Secondary School Amtek Bhojpur,
72,"Amarjyoti Primary School, Shuklagandki, Tanhun",
73,"Varabhanjya Lower Secondary School, Ilam",
74,"Nal Devi Primary School, Tanhu",
75,"Dharma Secondary School Bhimad, Tanahun",
76,"Miklacho Secondary School, Ilam",
77,"Buddha Secondary School, Ilam",
78,"Ratna Devi Basic School, Gajurmukhi, Eelam",
79,"Gajurmukhi Basic School, Ilam",
80,"Jalpa Primary School Arun, Bhojpur",
81,"Sinheshwari Basic School, Ilam",
82,"Siddhi Vinayak Primary School, Sumbek Ilam",
83,"Dobhan Primary School, Ilam",
84,"Devi Primary School, Ilam",
85,"Irauntar Basic School, Rong District, Ilam",
86,"Vidya Primary School, Ilam",
87,"Maheshwara Primary School, Nindakhu, Sayak, Ilam",
88,"Sale Primary School, Ilam",
89,"Bhagwati Secondary School, Golakhark, Eelam",
90,"Deurali Primary School, Jitpur, Ilam",
91,"Adarsh Primary School, Fikkal, Ilam",
92,"Adarsh Secondary School, Ilam",
93,"Nepaltar Secondary School Sakhejung, Ilam",
94,"Dripadavi Primary School, Ilam",
95,"Pashupati Kanya Mandir Secondary School, Dolakha",
96,"Nav Jyoti Basic School, Ilam",
97,"Bhagwati Secondary School, Ilam",
98,Bhagwati Higher Secondary School Dhuseni-6 Ilam,
99,"Himali Secondary School Prithvinagar, Jhapa",
100,"Mahendra Ratna Secondary School, Virtamod, Jhapa",
101,"Kalika Secondary School, Tanahu",
102,"Siddha Mahakali Secondary School, Tanahun",
103,"Lakshmi Narayana Primary School, Bhojpur",
104,"Rachna Primary School, Bhojpur",
105,Jalpa Primary School Sanedumma Bhojpur,
106,Katka Secondary School Yangpang Bhojpur,
107,"Parvati Secondary School, Tanhu",
108,"Jyoti Primary School, Bhojpur",
109,Sinhadevi Secondary School Haluchha Bhojpur.,
110,"Lakshmi Higher Secondary School, Thumpokhara Syangja",
