school_id,school_1,school_name_transliterate,school_level_transliterate,matched_district
1,जनप्रिय प्रावि भोजपुर,janapriya,pravi,Bhojpur
2,छेनखामा प्रावि भोजपुर,chenakhama,pravi,Bhojpur
3,गोग्राहा मावि विराटनगर मोरङ,gograha,mavi,Morang
4,श्री शंकर मावि गजरकोट तनहुँँ,shri shamkara,mavi,Tanahun
5,जनजागृति मावि तनहुँँ,janajagrriti,mavi,Tanahun
6,दाङसिङजरे प्रावि भोजपुर,da~nasi~najare,pravi,Bhojpur
7,छाङछाहाङ्ग प्रावि भोजपुर,cha~nachaha~nga,pravi,Bhojpur
8,खेश्वर प्रावि भोजपुर,kheshvara,pravi,Bhojpur
9,दुर्गेश्वरी प्रावि भोजपुर,durgeshvari,pravi,Bhojpur
10,पवित्रा मावि बन्दिपुर तनहुँँ,pavitra,mavi,Tanahun
11,मित्रता मावि तनहुँ,mitrata,mavi,Tanahun
12,मित्रता मावि आँबुखैरेनी तनहुँ,mitrata,mavi,Tanahun
13,सालेवा मावि देाभाने भोजपुर,saleva,mavi,Bhojpur
14,जाल्पा निमावि भौसिपंखा भोजपुर,jalpa,nimavi,Bhojpur
15,बालकन्या प्रावि भोजपुर,balakanya,pravi,Bhojpur
16,जाल्पा मावि भोजपुर,jalpa,mavi,Bhojpur
17,जगदीश्वरी प्रावि भोजपुर,jagadishvari,pravi,Bhojpur
18,पञ्चकन्या मावि चितवन,pa~nchakanya,mavi,Chitwan
19,वीरेन्द्र आदर्श मावि वीरेन्द्रनगर चितवन,virendra adarsha,mavi,Chitwan
20,चण्डेश्वर मावि बालंखा भोजपुर,chandeshvara,mavi,Bhojpur
21,पञ्चकन्या मावि भोजपुर,pa~nchakanya,mavi,Bhojpur
22,छिन्ताङ देवी आवि भोजपुर,chinta~na devi,avi,Bhojpur
23,भिमेश्वरी आवि भोजपुर,bhimeshvari,avi,Bhojpur
24,सरस्वती प्रावि टक्सार भोजपुर,sarasvati,pravi,Bhojpur
25,जनज्योती प्रावि तनहुँ,janajyoti,pravi,Tanahun
26,क्यामिनकोट मावि तनहुँ,kyaminakota,mavi,Tanahun
27,भवानी प्रावि व्यास तनहुँ,bhavani,pravi,Tanahun
28,सिद्धेश्वर आवि गोदावरी ललितपुर,siddheshvara,avi,Lalitpur
29,चण्डी आवि भोजपुर,chandi,avi,Bhojpur
30,जालपा आवि याङ थर्पू भोजपुर,jalapa,avi,Bhojpur
31,शितलादेवी प्रावि भोजपुर,shitaladevi,pravi,Bhojpur
32,सिंह बाहिनी प्रावि भोजपुर न पा भोजपुर,simha bahini,pravi,Bhojpur
33,जागृती मावि भक्तपुर,jagrriti,mavi,Bhaktapur
34,निर्मल प्रावि तनहुँ,nirmala,pravi,Tanahun
35,अन्नपूर्ण प्रावि तनहुँँ,annapurna,pravi,Tanahun
36,सिंह जलेश्वरी निमावि तिवारीभञ्ज्याङ भोजपुर,simha jaleshvari,nimavi,Bhojpur
37,साङ्गरुम्बा मावि साङ्गरुम्बा इलाम,sa~ngarumba,mavi,Ilam
38,जीवनज्योति मावि इलाम,jivanajyoti,mavi,Ilam
39,सितला देवी प्रावि तिवारी भञ्जाङ भोजपुर,sitala devi,pravi,Bhojpur
40,सिंहदेवी आवि इलाम,simhadevi,avi,Ilam
41,विजया आवि आमचोक इलाम,vijaya,avi,Ilam
42,कालिका मावि हेलौछा भोजपुर,kalika,mavi,Bhojpur
43,आवि कट्टीटोल लगडी गदियानी सिरहा,,avi,Siraha
44,झारगाउ प्रावि तनहुँ,jharagau,pravi,Tanahun
45,ज्योति प्रावि भोजपुर,jyoti,pravi,Bhojpur
46,ज्याति प्रावि ठुलोदम्मा भोजपुर,jyati,pravi,Bhojpur
47,तिम्मा प्रावि भोजपुर,timma,pravi,Bhojpur
48,पन्च कन्या प्रावि भलजिते टक्सार,pancha kanya,pravi,Panchthar
49,पञ्चकन्या आवि याकु कट्टी भोजपुर,pa~nchakanya,avi,Bhojpur
50,वाणी मावि सिधराहा मोरङ,vani,mavi,Siraha
51,छिम्केश्वरी प्रावि तनहुँ,chimkeshvari,pravi,Tanahun
52,छिम्केश्वरी निमावि तनहुँ,chimkeshvari,nimavi,Tanahun
53,राष्टि्य निमावि सोयाङ इलाम,rashtiya,nimavi,Ilam
54,किरांतेश्वर प्रावि इलाम,kiramteshvara,pravi,Ilam
55,जलकन्या आवि फाकफोकथुम गा पा इलाम,jalakanya,avi,Ilam
56,आदरणीय निमावि इलाम,adaraniya,nimavi,Ilam
57,जनकल्याण्ा प्रावि दोकानडाँडा इलाम,janakalyana,pravi,Ilam
58,मिल्लाचोक निमावि इलाम,millachoka,nimavi,Ilam
59,जनकल्याण प्रावि आम्तेक भोजपुर,janakalyana,pravi,Bhojpur
60,शिक्षाक्षमाकन्या प्रावि भोजपुर,shikshakshamakanya,pravi,Bhojpur
61,बालमितेरी मावि भोजपुर,balamiteri,mavi,Bhojpur
62,कृष्ण प्रावि लेटाङ मोरङ,krrishna,pravi,Morang
63,अकला आवि तनहुँँ,akala,avi,Tanahun
64,श्री मावि लंकू बाह्घरे चितवन,shri,mavi,Chitwan
