school_id,district,modified_name,modified_name_school_level,modified_name_root,modified_old_name1,modified_old_name1_school_level,modified_old_name1_root,modified_old_name2,modified_old_name2_school_level,modified_old_name2_root,district
10,morang,shree medhawi boarding school,,shree medhawi boarding school,,,,,,,morang
11,sunsari,balbalika smriti avi,avi,balbalika smriti,balbalika smriti pravi,pravi,balbalika smriti,,,,sunsari
12,morang,a one quality school,,a one quality school,,,,,,,morang
13,jhapa,a one montessori pre pravi,pravi,a one montessori pre,,,,,,,jhapa
14,udayapur,avi churumpha,avi,churumpha,nimavi churumpha,nimavi,churumpha,,,,udayapur
15,udayapur,avi murme,avi,murme,avi murme,avi,murme,nimavi murme,nimavi,murme,udayapur
16,udayapur,avi titribote,avi,titribote,pravi titribote,pravi,titribote,,,,udayapur
17,udayapur,avi ratmate,avi,ratmate,avi ratmate,avi,ratmate,nimavi ratmate,nimavi,ratmate,udayapur
18,udayapur,aadarsha avi satpatre,avi,aadarsha  satpatre,,,,,,,udayapur
19,bhojpur,aadarsha gyankunja academy,,aadarsha gyankunja academy,,,,,,,bhojpur
110,morang,aadarsha mavi english boarding school,mavi,aadarsha  english boarding school,,,,,,,morang
111,sunsari,avi hardiya dharan sunsari nepal,avi,hardiya dharan sunsari nepal,avi hardiya dharan,avi,hardiya dharan,avi hardiya,avi,hardiya,sunsari
112,udayapur,avi khairaha,avi,khairaha,pravi khairaha,pravi,khairaha,,,,udayapur
113,udayapur,avi bardanda,avi,bardanda,pravi bardanda,pravi,bardanda,,,,udayapur
114,udayapur,avi lekhgaun,avi,lekhgaun,shree avi lekhgaun,avi,shree  lekhgaun,pravi lekhgau,pravi,lekhgau,udayapur
115,panchthar,aagejung avi,avi,aagejung,agejung nimavi,nimavi,agejung,,,,panchthar
116,khotang,aagyansag gumba pravi,pravi,aagyansag gumba,aagyansag gumba pravi,pravi,aagyansag gumba,,,,khotang
117,jhapa,aamgachhi pravi,pravi,aamgachhi,amgachhi pravi,pravi,amgachhi,,,,jhapa
118,jhapa,aanandeshwor gurukul pathsala,,aanandeshwor gurukul pathsala,,,,,,,jhapa
119,taplejung,aapdanda babike,,aapdanda babike,,,,,,,taplejung
120,sunsari,aarambha vidya mandir,,aarambha vidya mandir,l n memorial model ebs,,l n memorial model ebs,,,,sunsari
121,jhapa,aaramva bal sikshalaya ebs,,aaramva bal sikshalaya ebs,,,,,,,jhapa
122,jhapa,aaruni english boarding school,,aaruni english boarding school,aaaruni english boarding school,,aaaruni english boarding school,aruni ebs,,aruni ebs,jhapa
123,sunsari,aasha academy sunsari,,aasha academy sunsari,,,,,,,sunsari
124,sunsari,aashin avi koshi rural municipality sunsari,avi,aashin  koshi rural municipality sunsari,aashin pravi,pravi,aashin,,,,sunsari
125,jhapa,abacus boarding school birtamode pravi,pravi,abacus boarding school birtamode,gyan jyoti ebs,,gyan jyoti ebs,,,,jhapa
126,jhapa,abacus english boarding school,,abacus english boarding school,abakash ebs,,abakash ebs,,,,jhapa
127,morang,abha english mavi,mavi,abha english,abha english mavi,mavi,abha english,,,,morang
128,morang,abhijeet dutta avi,avi,abhijeet dutta,abijit dtta pravi,pravi,abijit dtta,,,,morang
129,udayapur,acme academy,,acme academy,,,,,,,udayapur
130,ilam,adarniya mavi,mavi,adarniya,adarniya avi,avi,adarniya,,,,ilam
131,morang,adarsa avi,avi,adarsa,adarsa pravi,pravi,adarsa,,,,morang
132,jhapa,adarsha mavi,mavi,adarsha,adarsha mavi,mavi,adarsha,,,,jhapa
133,sunsari,adarsha mavi vidhyalaya,mavi,adarsha  vidhyalaya,adarsha u mavi,mavi,adarsha u,,,,sunsari
134,sunsari,adarsha mavi,mavi,adarsha,adarsha mavi,mavi,adarsha,adarsha mavi,mavi,adarsha,sunsari
135,jhapa,adarsha avi,avi,adarsha,adarsha pravi,pravi,adarsha,,,,jhapa
136,sankhuwasabha,adarsha avi,avi,adarsha,adarsha pravi,pravi,adarsha,,,,sankhuwasabha
137,udayapur,adarsha avi,avi,adarsha,adarsha pravi apraha,pravi,adarsha  apraha,,,,udayapur
138,morang,adarsha balika mavi,mavi,adarsha balika,adarsha balika mavi,mavi,adarsha balika,,,,morang
139,okhaldhunga,adarsha basic,,adarsha basic,adarsha pravi,pravi,adarsha,,,,okhaldhunga
140,ilam,adarsha avi,avi,adarsha,adarsha avi,avi,adarsha,adarsha pravi,pravi,adarsha,ilam
