school_id_A,school_id_B,extracted_school_name_A,school_name_A,school_name_B,address_from_B,Match_Type
3383,57,Ardasha Mavi,आर्दश मावि खनदह अर्घाखाँची,Aadarsha Mavi,"Khanchi maidan, Sandhikharka Municipality, Arghakhanchi, Lumbini Province",Matched with school name of B
8905,2135,Badaharamala Pravi,बडहरामाल प्रावि सिराहा,Aadhar Bhut Vi Badaharamal,"Karjanha Municipality, Karjanha Municipality, Siraha, Madhesh Province",Matched with old school name2 of B
18685,59,Adharabhuta Mavi,आधारभुत मावि रामपुर पाल्पा,Aadharbhoot Mavi,"Dumrigaun, Palpa, Rampur Municipality, Palpa, Lumbini Province",Matched with old school name1 of B
28767,40,Adharabhuta Avi,आधारभुत आवि स्याङ्जा,Aadharbhut Avi,"Bejhang, Aandhikhola Rural Municipality, Syangja, Gandaki Province",Matched with school name of B
4242,320,Ahalada.Nda Avi,आहालडाँडा आवि मेलुङ दोलखा,Aahaldanda Avi,"Melung, Melung Rural Municipality, Dolakha, Bagamati Province",Matched with school name of B
21643,321,Ajadi Mavi,आजडी मावि विरौट दोलखा,Aajadi Mavi,"Melung, Melung Rural Municipality, Dolakha, Bagamati Province",Matched with school name of B
24535,43,Ama Avi,आमा आवि स्याङ्जा,Aama Avi,"Chapakot, Chapakot Municipality, Syangja, Gandaki Province",Matched with school name of B
3446,519,Ama Mavi,आमा मावि आमा रुपन्देही,Aama Mavi,"Aama, Lumbini Sanskritik Municipality, Rupandehi, Lumbini Province",Matched with school name of B
15010,520,Amari Pravi,अमारी प्रावि अमारी रुपन्देही,Aamari Avi,"Aamari, Lumbini Sanskritik Municipality, Rupandehi, Lumbini Province",Matched with old school name1 of B
883,117,Amagachi Pravi,आमगाछी प्रावि झापा,Aamgachhi Pravi,"Amgachhi, Gauriganj Rural Municipality, Jhapa, Koshi Province",Matched with school name of B
19356,521,Anandapura Mavi,आनन्दपुर मावि गुल्मी,Aanandapur Mavi,"Dobata, Isma Rural Municipality, Gulmi, Lumbini Province",Matched with school name of B
12518,331,Arukharka Mavi,आरुखर्क मावि बेल्कोटगढी नुवाकोट,Aarukharka Mavi,"Aarukharka, Belkotgadhi Municipality, Nuwakot, Bagamati Province",Matched with school name of B
28965,67,Autari Pravi,औतारी प्रावि पाहाडा डोल्पा,Aautari Basic,"Pahada, Tripurasundari Municipality, Dolpa, Karnali Province",Matched with old school name1 of B
17748,2168,Abhinandana Pravi,अभिनन्दन प्रावि सारी जलेश्वर महोत्तरी,Abhinandan Pravi Sari,"Jaleshwar, Jaleshwar Municipality, Mahottari, Madhesh Province",Matched with school name of B
2101,343,Achane Mavi,अचने मावि त्रिपुरासुन्दरी धादिङ,Achane Mavi,"TRIPURASUNDARI, Tripura sundari Rural Municipality, Dhading, Bagamati Province",Matched with school name of B
17823,130,Adaraniya Mavi,आदरणीय मावि इलाम,Adarniya Mavi,"Sandakpur, Sandakpur Rural Municipality, Ilam, Koshi Province",Matched with school name of B
302,131,Adarsha Avi,आदर्श आवि सुन्दरहरैंचा मोरङ,Adarsa Avi,"Sundarharaincha, Sundarharaincha Municipality, Morang, Koshi Province",Matched with school name of B
24574,724,Adarsha Mavi,आदर्श मावि जानकी कैलाली,Adarsh Mavi,"Khargauli, Janaki Rural Municipality, Kailali, Sudurpashchim Province",Matched with school name of B
10396,541,Adarsha Mavi,आदर्श मावि रामग्राम नवलपरासी,Adarsh Mavi,"Nawalparasi, Parasi, Ramgram Municipality, Nawalparasi, Lumbini Province",Matched with school name of B
5937,542,Adarsha Mavi,आदर्श मावि राँझा बाँके,Adarsh Mavi,"Laxmanpur, Narainapur Rural Municipality, Banke, Lumbini Province",Matched with school name of B
11623,353,Adarsha Ajada Mavi,आदर्श आजाद मावि भक्तपुर,Adarsha Ajadh Mavi,"Bhelukhel, Bhaktapur Municipality, Bhaktapur, Bagamati Province",Matched with school name of B
25545,611,Adarsha Avi,आदर्श आवि कालिकोट,Adarsha Avi,"AULGELA, Mahawai Rural Municipality, Kalikot, Karnali Province",Matched with school name of B
1379,551,Adarsha Avi,आदर्श आवि गैरीखुट्टा गुल्मी,Adarsha Avi,"Chhatrkot, Chhatrakot Rural Municipality, Gulmi, Lumbini Province",Matched with school name of B
15423,548,Adarsha Avi,आदर्श आवि चंघाट बुद्धभूिम न पा कपिलवस्तु,Adarsha Avi,"Suddhodhan, Suddhodhan Rural Municipality, Kapilbastu, Lumbini Province",Matched with school name of B
5419,729,Adarsha Avi,आदर्श आवि मेल्लेख कुस्कोट अछाम,Adarsha Avi,"Badchauki, Bannigadhi Jayagadh Rural Municipality, Achham, Sudurpashchim Province",Matched with school name of B
7541,732,Ardasha Pravi,आर्दश प्रावि साल्घाडी निगाली कैलाली,Adarsha Avi,"Bhalauwa, Ghodaghodi Municipality, Kailali, Sudurpashchim Province",Matched with old school name1 of B
29455,413,Adarsha Avi,आदर्श आवि स्याङजा,Adarsha Avi,"LASARGHA, Kaligandaki Rural Municipality, Syangja, Gandaki Province",Matched with school name of B
1372,412,Adarsha Avi,आदर्श आवि सिरानचोक गा पा जौबारी गोरखा,Adarsha Avi,"Langdi, Siranchowk Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
15330,546,Adarsha Avi,आदर्श आवि चिदिपानी पाल्पा,Adarsha Avi,"Jyamire, Tinau Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
26069,352,Adarsha Avi,आदर्श आवि जुगल सिन्धुपाल्चोक,Adarsha Avi,"Jugal, Jugal Rural Municipality, Sindhupalchok, Bagamati Province",Matched with school name of B
19610,351,Adarsha Avi,आदर्श आवि बालमन्दिर नक्साल काठमाडौं,Adarsha Avi,"Ramhiti, Kathmandu Metropolitan City, Kathmandu, Bagamati Province",Matched with school name of B
12210,545,Adarsha Avi,आदर्श आवि पाल्पा,Adarsha Avi,"Mathagadhi Gaunpalika, Mathagadhi Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
5548,552,Adarsha Pravi,आदर्श प्रावि गोठादी माथागढी पाल्पा,Adarsha Avi,"Dambak, Ribdikot Rural Municipality, Palpa, Lumbini Province",Matched with old school name1 of B
18728,553,Adarsha Pravi,आदर्श प्रावि देउराली पाल्पा,Adarsha Avi,"Mathagadhi Gaunpalika, Mathagadhi Rural Municipality, Palpa, Lumbini Province",Matched with old school name1 of B
18147,547,Adarsha Avi,आदर्श आवि दोभान ज्यामिरे पाल्पा,Adarsha Avi,"tinau, Tinau Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
22443,147,Adarsha Avi,आदर्श आवि कजनी इलाम,Adarsha Avi,"SURYODAYA MUN.-08, KOSHI PROVINCE, ILAM, Suryodaya Municipality, Ilam, Koshi Province",Matched with school name of B
28951,145,Adarsha Avi,आदर्श आवि ताप्लेजुङ,Adarsha Avi,"Sirijangha, Sirijangha Rural Municipality, Taplejung, Koshi Province",Matched with school name of B
9736,141,Adarsha Avi,आदर्श आवि इलाम,Adarsha Avi,"Chiyabari, Ilam Municipality, Ilam, Koshi Province",Matched with school name of B
20680,142,Adarsha Avi,आदर्श आवि माइ न पा इलाम,Adarsha Avi,"Yang, Suryodaya Municipality, Ilam, Koshi Province",Matched with school name of B
27005,144,Adarsha Avi,आदर्श आवि ओखलढुंगा,Adarsha Avi,"Ramche, Siddhicharan Municipality, Okhaldhunga, Koshi Province",Matched with school name of B
17877,136,Adarsha Avi,आदर्श आवि संखुवासभा,Adarsha Avi,"Amrang, Makalu Rural Municipality, Sankhuwasabha, Koshi Province",Matched with school name of B
150,140,Adarsha Avi,आदर्श आवि इलाम न पा इलाम,Adarsha Avi,"Soktim, Mai Municipality, Ilam, Koshi Province",Matched with school name of B
10865,411,Ardasha Pravi,आर्दश प्रावि रापाकोट स्याङजा,Adarsha Avi Khewang,"Arjunchaupari, Arjunchaupari Rural Municipality, Syangja, Gandaki Province",Matched with old school name1 of B
12015,355,Adarsha Avi,आदर्श आवि इच्छाकामना चितवन,Adarsha Avi Laymdar,"Lyamdhar, Ichchhakamana Rural Municipality, Chitwan, Bagamati Province",Matched with old school name1 of B
15180,2176,Adarsha Avi,आदर्श आवि बेहरा नहर क्याम्प बारा,Adarsha Avi Naharcamp,"Purano Behara, Jeetpursimara Sub Metropolitan City, Bara, Madhesh Province",Matched with old school name1 of B
9810,138,Adarsha Valika Mavi,आदर्श वालिका मावि मोरङ,Adarsha Balika Mavi,"Gahaile Tole, Biratnagar Metropolitan City, Morang, Koshi Province",Matched with school name of B
26503,148,Adarshasiddha Avi,आदर्शसिद्ध आवि इलाम,Adarsha Buddha Avi,"Bhalukhop, Mai Municipality, Ilam, Koshi Province",Matched with school name of B
6388,357,Adarsha Janapriya Pravi,आदर्श जनप्रिय प्रावि फापरवारी मकवानपुर,Adarsha Jana Priya Aadharbhut,"Lalbhitte, Bagmati Rural Municipality, Makwanpur, Bagamati Province",Matched with old school name1 of B
16618,152,Adarsha Janata Pravi,आदर्श जनता प्रावि झापा,Adarsha Janata Pravi,"Jhapa ga. pa, Jhapa Rural Municipality, Jhapa, Koshi Province",Matched with school name of B
1257,362,Adarsha Kanya Niketana Mavi,आदर्श कन्या निकेतन मावि ललितपुर,Adarsha Kanya Niketan Mavi,"Mangal Bazar, Lalitpur Metropolitan City, Lalitpur, Bagamati Province",Matched with school name of B
15625,735,Adarsha Manileka Pravi,आदर्श मणिलेक प्रावि लटसेरा डडेल्धुरा,Adarsha Manilek Pravi Latsera,"Latshera, Amargadhi Municipality, Dadeldhura, Sudurpashchim Province",Matched with school name of B
92,167,Adarsha Mavi,आदर्श मावि इलाम,Adarsha Mavi,"Suntalabari, Ilam Municipality, Ilam, Koshi Province",Matched with school name of B
14544,568,Adarsha Mavi,आदर्श मावि वर्दिया,Adarsha Mavi,"Motipur, Bansgadhi Municipality, Bardiya, Lumbini Province",Matched with school name of B
24724,422,Adarsha Mavi,आदर्श मावि हिस्तान म्याग्दी,Adarsha Mavi,"Annapurna-7,rima, Annapurna Rural Municipality, Myagdi, Gandaki Province",Matched with school name of B
1250,132,Adarsha Mavi,आदर्श मावि गौरीगंज झापा,Adarsha Mavi,"Jayapur, Buddhashanti Rural Municipality, Jhapa, Koshi Province",Matched with school name of B
15893,418,Adarsha Mavi,आदर्श मावि स्याङ्जा,Adarsha Mavi,"Chapakot, Chapakot Municipality, Syangja, Gandaki Province",Matched with school name of B
1476,154,Adarsha Mavi,आदर्श मावि मेचीनगर झापा,Adarsha Mavi,"Tatuwamari, Gauriganj Rural Municipality, Jhapa, Koshi Province",Matched with school name of B
5813,155,Adarsha Mavi,आदर्श मावि डाइनियाँ मोरङ,Adarsha Mavi,"Sahid Marg, Biratnagar Metropolitan City, Morang, Koshi Province",Matched with school name of B
1811,134,Adarsha Mavi,आदर्श मावि सुनसरी,Adarsha Mavi,"Punarbas, Barahkshetra Municipality, Sunsari, Koshi Province",Matched with school name of B
8434,621,Adarsha Mavi,आदर्श मावि डोल्पा,Adarsha Mavi,"Juphal, Thuli Bheri Municipality, Dolpa, Karnali Province",Matched with school name of B
