school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
5,36467,janajagrriti,jana jagriti,mavi,mavi,tanahun,makwanpur,2.5,"District: no match, School level: complete, Root name: complete"
4,44066,shri shamkara,saraswati sadan,mavi,mavi,tanahun,tanahun,2.0,"District: complete, School level: complete, Root name: partial"
7,14449,cha~nachaha~nga,pancha kanya,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
6,15305,da~nasi~najare,sanischare,pravi,pravi,bhojpur,tehrathum,1.5,"District: no match, School level: complete, Root name: partial"
14,12171,jalpa,jalapa,nimavi,nimavi,bhojpur,sankhuwasabha,2.5,"District: no match, School level: complete, Root name: complete"
8,1113,kheshvara,akchewa,pravi,pravi,bhojpur,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
20,11068,chandeshvara,chandeswor  balankha,mavi,mavi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
28,16396,siddheshvara,shree sarbajanik,avi,avi,lalitpur,morang,1.5,"District: no match, School level: complete, Root name: partial"
43,24,,,avi,,siraha,siraha,2.5,"District: complete, School level: no match, Root name: complete"
36,16449,simha jaleshvari,siddha devi,nimavi,nimavi,bhojpur,panchthar,1.5,"District: no match, School level: complete, Root name: partial"
44,114,jharagau,lekhgau,pravi,pravi,tanahun,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
47,1278,timma,atmara,pravi,pravi,bhojpur,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
50,12615,vani,janatani,mavi,mavi,siraha,khotang,1.5,"District: no match, School level: complete, Root name: partial"
52,11043,chimkeshvari,champadevi,nimavi,nimavi,tanahun,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
53,23753,rashtiya,rastriya,nimavi,pravi,ilam,siraha,2.0,"District: no match, School level: no match, Root name: complete"
54,12933,kiramteshvara,kailash,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
56,1299,adaraniya,badadanda,nimavi,nimavi,ilam,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
58,31425,millachoka,chimchowk,nimavi,nimavi,ilam,dhading,1.5,"District: no match, School level: complete, Root name: partial"
60,14449,shikshakshamakanya,pancha kanya,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
61,1425,balamiteri,bal sansar,mavi,mavi,bhojpur,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
64,35538,shri,shajapur,mavi,mavi,chitwan,chitwan,2.0,"District: complete, School level: complete, Root name: partial"
65,1577,khartancha,akaha,nimavi,nimavi,bhojpur,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
81,16465,simheshvari,singha devi,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
73,1299,varabhanjya,badadanda,nimavi,nimavi,ilam,okhaldhunga,1.5,"District: no match, School level: complete, Root name: partial"
83,6763,dobhana,dobhan,pravi,pravi,ilam,humla,2.5,"District: no match, School level: complete, Root name: complete"
85,11693,iraumtara,ghodamara,avi,avi,ilam,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
87,16975,maheshvara,subhadra,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
86,11437,vidya,divya,pravi,pravi,ilam,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
91,143,adarsha,adarsha,pravi,pravi,ilam,sunsari,2.5,"District: no match, School level: complete, Root name: complete"
88,2473,vikri,khoriya,pravi,pravi,ilam,siraha,1.5,"District: no match, School level: complete, Root name: partial"
102,44221,siddhamahakali,siddheshwori,mavi,mavi,tanahun,tanahun,2.0,"District: complete, School level: complete, Root name: partial"
94,14928,drripadavi,rajaji,pravi,pravi,ilam,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
103,13390,lakshmi narayana,laxmi narayan,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
109,16761,simhadevi,singha devi,mavi,mavi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
111,52161,ananda,janachahana,avi,avi,bardiya,bardiya,2.0,"District: complete, School level: complete, Root name: partial"
110,13251,lakshmi,koshi,mavi,mavi,syangja,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
115,52452,janaka,janata  devgau,mavi,mavi,nawalparasi,nawalparasi,2.0,"District: complete, School level: complete, Root name: partial"
117,32217,jivanajyaeti,gyan jyoti,avi,avi,bhaktapur,bhaktapur,2.0,"District: complete, School level: complete, Root name: partial"
125,42991,kusmavati,parwati,pravi,pravi,tanahun,tanahun,2.0,"District: complete, School level: complete, Root name: partial"
126,11071,krrishna gandaki,chandi danda,pravi,pravi,tanahun,taplejung,1.5,"District: no match, School level: complete, Root name: partial"
127,111,shri,hardiya,avi,avi,chitwan,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
130,11102,mukundeshvari,chandreshwori,pravi,pravi,tanahun,bhojpur,1.5,"District: no match, School level: complete, Root name: partial"
133,11077,chandrajyoti,chandra jyoti,mavi,pravi,tanahun,ilam,2.0,"District: no match, School level: no match, Root name: complete"
135,1495,samgama,balmakar,mavi,mavi,kaski,tehrathum,1.5,"District: no match, School level: complete, Root name: partial"
137,15911,adarsha,adarsha,mavi,mavi,bhaktapur,morang,2.5,"District: no match, School level: complete, Root name: complete"
139,13380,shri kalika devi,laxmi devi,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
140,16975,subhadra,subhadra,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
141,1419,navinapragati,bal pragati,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
143,13380,lakshmi devi,laxmi devi,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
145,1635,kaligandaki,bhagawati,avi,avi,tanahun,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
146,13654,mahadeva,mahadev,avi,avi,tanahun,panchthar,2.5,"District: no match, School level: complete, Root name: complete"
148,15,sumbeka,murme,nimavi,nimavi,ilam,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
149,16835,siddeshvari,singhdevi,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
151,13753,narayani namuna,mahendra  nametar,mavi,mavi,bhaktapur,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
161,13379,lakshmi vidya bhavana,laxmi bidya bhawan,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
157,24537,varachuli,barba chotaili,mavi,mavi,nawalparasi,parsa,1.5,"District: no match, School level: complete, Root name: partial"
164,11091,j~nanodaya,chandra surya,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
