school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
140,16975,subhadra,subhadra,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
229,12933,kailasha,kailash,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
294,42991,parvati,parwati,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
322,43939,kalika,kalika,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
346,44066,sarasvati sadana,saraswati sadan,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
363,32184,gu~njanagara,gunjanagar,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
424,43801,bhanu samskrrita,bhanu sanskrit,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
519,11794,gura.nsa,gurans,avi,avi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
753,16278,pa~nchakanya,pancha kanya,pravi,pravi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
780,11639,gamga devi,ganga devi,pravi,pravi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
817,21510,janata,janata,mavi,mavi,siraha,siraha,3.0,"District: complete, School level: complete, Root name: complete"
918,74178,sitarama,sitaram,mavi,mavi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
941,14914,radhanagara,radha nagar,pravi,pravi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
942,15150,sadhuprarti,sadhuparti,pravi,pravi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
982,16105,janajyoti,jana jyoti,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
1005,55044,satyavati,satyawati,pravi,pravi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
1038,63074,chulimalika,chulimalika,mavi,mavi,kalikot,kalikot,3.0,"District: complete, School level: complete, Root name: complete"
1054,55511,jivanoddhara,jivanoddhar,mavi,mavi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
1225,17249,thotne,thotne,nimavi,nimavi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
1285,15216,sahida smrriti,sahid smriti,mavi,mavi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
1286,15709,shahida smrriti,sahid smriti,avi,avi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
1314,3602,balamukunda,bal mukunda,nimavi,nimavi,lalitpur,lalitpur,3.0,"District: complete, School level: complete, Root name: complete"
1316,72282,krrishna,krishna,pravi,pravi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
1365,74006,janata,janata,mavi,mavi,kailali,kailali,3.0,"District: complete, School level: complete, Root name: complete"
1482,778,amaraghatti,amar ghatti,nimavi,nimavi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
1500,35736,sarasvati,saraswati,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
1595,72312,kulamashtajana,kul mastajan,mavi,mavi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
1600,73687,satya,sattya,mavi,mavi,bajhang,bajhang,3.0,"District: complete, School level: complete, Root name: complete"
1739,72753,melaghatti,melghati,mavi,mavi,kailali,kailali,3.0,"District: complete, School level: complete, Root name: complete"
1830,11617,ganesha,ganesh,pravi,pravi,taplejung,taplejung,3.0,"District: complete, School level: complete, Root name: complete"
1844,74109,radha krrishna,radha krishna,mavi,mavi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
1870,16015,buddha,buddha,avi,avi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
1891,34840,pa~nchakanya,pancha kanya,mavi,mavi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
1925,54055,nepala rashtriya,nepal rastriya,avi,avi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
1984,7113,arunoadaya,arunodaya,mavi,mavi,kailali,kailali,3.0,"District: complete, School level: complete, Root name: complete"
2073,3223,annapurna,annapurna,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
2123,3924,bhogateni,bhogateni,pravi,pravi,dhading,dhading,3.0,"District: complete, School level: complete, Root name: complete"
2131,74054,magaleka,maglek,mavi,mavi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
2295,36633,mahendra,mahendra,avi,avi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
2436,63039,bhagavati,bhagawati,pravi,pravi,kalikot,kalikot,3.0,"District: complete, School level: complete, Root name: complete"
2520,55820,yadu~nga,yadung,pravi,pravi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
2584,16022,champapura,champapur,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
2766,44029,prajavasti,prajabasti,pravi,pravi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
2928,35429,richoka ira~nga,richok irang,nimavi,nimavi,dhading,dhading,3.0,"District: complete, School level: complete, Root name: complete"
2929,24850,sharada,sarada,mavi,mavi,rautahat,rautahat,3.0,"District: complete, School level: complete, Root name: complete"
3077,31351,chandra,chandra,pravi,pravi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
3132,74263,siddhanatha,siddhanath,avi,avi,baitadi,baitadi,3.0,"District: complete, School level: complete, Root name: complete"
3337,33280,kamala,kamala,pravi,pravi,sindhuli,sindhuli,3.0,"District: complete, School level: complete, Root name: complete"
3339,43829,chandravati,chandrawati,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
3375,36281,batsaladevi,batsala devi,mavi,mavi,makwanpur,makwanpur,3.0,"District: complete, School level: complete, Root name: complete"
