school_id_A,root_school_name_A,school_level_A,district_A,Fuzzy_match_score
4,shri shamkara,mavi,tanahun,
5,janajagrriti,mavi,tanahun,
6,da~nasi~najare,pravi,bhojpur,
7,cha~nachaha~nga,pravi,bhojpur,
8,kheshvara,pravi,bhojpur,
14,jalpa,nimavi,bhojpur,
20,chandeshvara,mavi,bhojpur,
28,siddheshvara,avi,lalitpur,
36,simha jaleshvari,nimavi,bhojpur,
43,,avi,siraha,
44,jharagau,pravi,tanahun,
47,timma,pravi,bhojpur,
50,vani,mavi,siraha,
52,chimkeshvari,nimavi,tanahun,
53,rashtiya,nimavi,ilam,
54,kiramteshvara,pravi,ilam,
56,adaraniya,nimavi,ilam,
58,millachoka,nimavi,ilam,
60,shikshakshamakanya,pravi,bhojpur,
61,balamiteri,mavi,bhojpur,
64,shri,mavi,chitwan,
65,khartancha,nimavi,bhojpur,
73,varabhanjya,nimavi,ilam,
81,simheshvari,avi,ilam,
83,dobhana,pravi,ilam,
85,iraumtara,avi,ilam,
86,vidya,pravi,ilam,
87,maheshvara,pravi,ilam,
88,vikri,pravi,ilam,
91,adarsha,pravi,ilam,
94,drripadavi,pravi,ilam,
102,siddhamahakali,mavi,tanahun,
103,lakshmi narayana,pravi,bhojpur,
109,simhadevi,mavi,bhojpur,
110,lakshmi,mavi,syangja,
111,ananda,avi,bardiya,
115,janaka,mavi,nawalparasi,
117,jivanajyaeti,avi,bhaktapur,
125,kusmavati,pravi,tanahun,
126,krrishna gandaki,pravi,tanahun,
127,shri,avi,chitwan,
130,mukundeshvari,pravi,tanahun,
133,chandrajyoti,mavi,tanahun,
135,samgama,mavi,kaski,
137,adarsha,mavi,bhaktapur,
139,shri kalika devi,pravi,ilam,
140,subhadra,pravi,ilam,
141,navinapragati,pravi,ilam,
143,lakshmi devi,pravi,ilam,
145,kaligandaki,avi,tanahun,
146,mahadeva,avi,tanahun,
148,sumbeka,nimavi,ilam,
149,siddeshvari,pravi,ilam,
151,narayani namuna,mavi,bhaktapur,
157,varachuli,mavi,nawalparasi,
161,lakshmi vidya bhavana,avi,ilam,
163,gajuramukhi,avi,ilam,
164,j~nanodaya,pravi,ilam,
169,hamalaya,nimavi,ilam,
174,valakanya,nimavi,ilam,
175,yuvavarsha,pravi,ilam,
178,maheshvara,nimavi,ilam,
182,jalpa,pravi,ilam,
186,jalapa,nimavi,ilam,
189,valamandala,mavi,ilam,
192,thokaphela,pravi,ilam,
197,siddhadeumai,nimavi,ilam,
200,narayanachaura,pravi,tanahun,
204,bhrrikuti,mavi,tanahun,
210,janata jayasavala,mavi,dhanusha,
211,,mavi,dhanusha,
215,lakshmi,nimavi,tanahun,
217,simhaadarsha,pravi,ilam,
229,kailasha,pravi,ilam,
231,indradevi,nimavi,tanahun,
232,ra,pravi,chitwan,
233,kaligamga,mavi,baitadi,
234,arunodaya,avi,ilam,
235,balakesha,mavi,tanahun,
238,bhimasuna,avi,ilam,
240,guru~nagaum,pravi,ilam,
244,krrishnalaya,avi,tanahun,
248,,avi,dhanusha,
249,gorkha kalika,avi,gorkha,
254,chanrdodaya,pravi,tanahun,
257,sarasvati,nimavi,khotang,
258,jana vikasa,pravi,khotang,
259,sarasvati khota~na,,khotang,
264,shanti,pravi,tanahun,
265,krrishna,mavi,tanahun,
267,ghataveshi,avi,gorkha,
270,amara,nimavi,tanahun,
274,pelu~na,pravi,khotang,
281,jaladevi,avi,nawalparasi,
285,,nimavi,khotang,
288,chandrodaya,pravi,tanahun,
290,sarasvati,nimavi,tanahun,
291,vishnu,nimavi,tanahun,
294,parvati,pravi,tanahun,
297,hanumana prasada sharada,mavi,siraha,
308,shahidarghama,nimavi,tanahun,
312,shri shantishrrrijana,pravi,tanahun,
314,ravichandra,pravi,myagdi,
315,mahendra,mavi,tanahun,
316,shri jayaganapati,pravi,tanahun,
322,kalika,mavi,tanahun,
327,samgama,pravi,tanahun,
331,udaya,mavi,tanahun,
334,vijaya,nimavi,dolakha,
335,vedakalika,pravi,tanahun,
336,krrishnagamga,nimavi,tanahun,
337,kamadhenu,avi,kathmandu,
338,bramha,avi,nawalparasi,
340,kamaghenu,nimavi,tanahun,
345,siddheshvari,mavi,tanahun,
346,sarasvati sadana,mavi,tanahun,
347,udaya,mavi,tanahun,
348,annapurna sitapokhari,avi,kaski,
349,masya~nadi samudayika,avi,tanahun,
350,narayani,nimavi,tanahun,
351,homarajalohani,mavi,tanahun,
358,purkota,pravi,tanahun,
361,vishvajvati,pravi,tanahun,
362,kyamina,mavi,tanahun,
363,gu~njanagara,mavi,chitwan,
365,mahadebata,pravi,tanahun,
366,buchakhani,nimavi,tanahun,
371,udaya,pravi,tanahun,
374,shiva,mavi,nawalparasi,
379,vidya niku~nja,mavi,tanahun,
381,dipaka,pravi,tanahun,
382,parvati,mavi,tanahun,
385,adarsha shiksha pra,mavi,tanahun,
389,pragati,nimavi,nawalparasi,
390,janajyoti,mavi,nawalparasi,
391,gadibha~njya,pravi,tanahun,
392,a.ndi barahi,pravi,tanahun,
395,ravichandra,pravi,tanahun,
396,vedavyasa,pravi,tanahun,
400,shiva sarasvati,mavi,tanahun,
402,rama,pravi,tanahun,
406,mardasha,pravi,tanahun,
408,kusmavati,pravi,tanahun,
410,sarvajyoti,nimavi,tanahun,
412,bajrayogani,mavi,tanahun,
417,tamu~na,pravi,tanahun,
421,kotakalika,pravi,tanahun,
422,sarvajyoti,pravi,tanahun,
423,kalika,mavi,tanahun,
424,bhanu samskrrita,mavi,tanahun,
427,rishithuma,pravi,tanahun,
428,shramika,pravi,tanahun,
429,ganosha,pravi,tanahun,
430,bhirkota,avi,tanahun,
433,a.nbu,pravi,tanahun,
434,shiva sundara,pravi,tanahun,
436,kalpeshvara,avi,kathmandu,
437,jala devi,mavi,tanahun,
438,mamgala,mavi,lamjung,
444,bala vikasa,pravi,tanahun,
445,bala naketana,nimavi,tanahun,
448,sahavira,avi,tanahun,
451,vishvashanti,pravi,syangja,
457,vishvajyoti khota~na,,khotang,
460,mahasyakanya,nimavi,tanahun,
467,janasahayogi,pravi,tanahun,
468,guheshvari,nimavi,kathmandu,
469,shukla,mavi,tanahun,
470,kanya debi,pravi,tanahun,
473,dila,pravi,tanahun,
475,shahida krrishna,mavi,tanahun,
477,simana,pravi,tanahun,
489,balamiteri,mavi,bhojpur,
490,balavikasa,pravi,dang,
492,janashrama,pravi,rolpa,
493,,nimavi,jhapa,
494,,mavi,dang,
496,,nimavi,rolpa,
497,janata samskrrita,mavi,dang,
498,,pravi,dang,
499,,pravi,kailali,
500,ganesha,avi,dhanusha,
502,yugavodha,avi,bajura,
503,ratri,avi,saptari,
504,chaudhare,nimavi,dang,
505,,mavi,makwanpur,
506,,pravi,gorkha,
507,,pravi,dang,
509,,pravi,dang,
510,,avi,dang,
511,vela deukhuri,nimavi,dang,
512,,pravi,dang,
513,sadharana namuna,mavi,dang,
515,maure pipala,pravi,ilam,
519,gura.nsa,avi,khotang,
520,pilada.nda khota~na,,khotang,
522,jhamkala,mavi,ilam,
523,tomane,nimavi,khotang,
528,sarashvaranatha,mavi,siraha,
531,vidyajyoti,pravi,ilam,
532,kuhuda.nda,mavi,khotang,
536,lakshmi,mavi,khotang,
538,malupokhari,avi,ilam,
542,nepala rashtriya,avi,mahottari,
543,uma maheshvara,nimavi,ilam,
544,chisopani,mavi,ilam,
545,vinaa,pravi,khotang,
550,shanti,nimavi,khotang,
555,shantipura,mavi,khotang,
556,tomane,pravi,khotang,
557,ganesha,avi,khotang,
560,prrithvi,mavi,khotang,
565,lamitara,avi,ilam,
566,pamchayata rajata,pravi,khotang,
574,ganesha,avi,morang,
579,shikshadipa,pravi,khotang,
580,devi,avi,khotang,
581,jaleshvari,mavi,khotang,
582,vadala,pravi,khotang,
588,vidyodaya,pravi,khotang,
591,lakshmi,avi,khotang,
593,tribhuvana,pravi,khotang,
594,mahendrodaya,nimavi,khotang,
595,chandeshvari,nimavi,khotang,
599,krrishna,nimavi,khotang,
601,shamkheshvari,nimavi,khotang,
609,shiddheshvari,avi,nuwakot,
611,vidyodaya,pravi,khotang,
612,janata,pravi,dolpa,
614,pa~ncha,mavi,khotang,
615,,mavi,khotang,
618,sapta kanya,pravi,saptari,
625,vahala devi,pravi,khotang,
627,janajagrriti,avi,khotang,
628,kalika janajagrriti,nimavi,khotang,
629,damli,mavi,khotang,
631,ta ya la,pravi,khotang,
634,bhasha,avi,khotang,
635,champavati,mavi,khotang,
636,deurali,mavi,khotang,
