school_id_A,school_id_B,root_school_name_A,root_school_old_name2_B,school_level_A,school_level_old_name2_B,district_A,district_B,Fuzzy_match_score,Match_Type
18761,44371,surya jyoti,suryajyoti,mavi,avi,nawalparasi,nawalpur,2.0,"District: no match, School level: no match, Root name: complete"
18763,4527,dhara,bharatpuri,mavi,mavi,baglung,baglung,2.0,"District: complete, School level: complete, Root name: partial"
18765,15818,lakshmi,shiksha premi,avi,avi,tanahun,bhojpur,1.5,"District: no match, School level: complete, Root name: partial"
18766,23753,rashtriya,rastriya,pravi,pravi,tanahun,siraha,2.5,"District: no match, School level: complete, Root name: complete"
18767,71846,jyoti,jyoti,pravi,pravi,tanahun,darchula,2.5,"District: no match, School level: complete, Root name: complete"
18769,12937,kyamane chapathoka,kakani  chuladhunga,pravi,pravi,tanahun,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
18770,11934,shrrri~nga,him ganga,mavi,mavi,tanahun,solukhumbu,1.5,"District: no match, School level: complete, Root name: partial"
18771,43801,buchakhani,bhanu sanskrit,mavi,mavi,tanahun,tanahun,2.0,"District: complete, School level: complete, Root name: partial"
18772,15706,sharadashiksha sadana,shahid sukraraj,nimavi,nimavi,tanahun,panchthar,1.5,"District: no match, School level: complete, Root name: partial"
18773,143,shamkara,adarsha,pravi,pravi,tanahun,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
18777,3607,bala shiksha niketana,balsakshar  mungredobhan,nimavi,nimavi,tanahun,sindhuli,1.5,"District: no match, School level: complete, Root name: partial"
18779,22,,,nimavi,,rautahat,rautahat,2.5,"District: complete, School level: no match, Root name: complete"
18780,22,,,pravi,,rautahat,rautahat,2.5,"District: complete, School level: no match, Root name: complete"
18781,36206,valachan,bal chetana,pravi,pravi,kavrepalanchok,kavrepalanchok,2.0,"District: complete, School level: complete, Root name: partial"
18782,36233,bagadevi,ban devi,mavi,mavi,kavrepalanchok,kavrepalanchok,2.0,"District: complete, School level: complete, Root name: partial"
18783,36206,baga bhairava,bal chetana,pravi,pravi,kavrepalanchok,kavrepalanchok,2.0,"District: complete, School level: complete, Root name: partial"
18786,14554,pala~nchoka bhagavati,panchawti  khasibas,mavi,mavi,kavrepalanchok,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
18789,31768,siddheshvari,dhwarpaleshwar,nimavi,nimavi,kavrepalanchok,kavrepalanchok,2.0,"District: complete, School level: complete, Root name: partial"
18787,1305,devishvari,bageshwori,avi,avi,kavrepalanchok,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
18790,165,narayani vidyamandira,adarsha bidya mandir  pathakgaun,mavi,mavi,bhaktapur,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
18793,11600,gajuri pimda,gairi gaun,pravi,pravi,dhading,taplejung,1.5,"District: no match, School level: complete, Root name: partial"
18794,12517,siddhi janakalyana rashtriya,jana kalyan,avi,avi,bhaktapur,bhojpur,1.5,"District: no match, School level: complete, Root name: partial"
18795,1723,basu,bhanu,mavi,mavi,bhaktapur,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
18796,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18799,3860,bhanu,bhanu,nimavi,mavi,chitwan,chitwan,2.5,"District: complete, School level: no match, Root name: complete"
18800,12517,janapriya rashtiya,jana kalyan,avi,avi,chitwan,bhojpur,1.5,"District: no match, School level: complete, Root name: partial"
18802,43230,rashtriya,rastriya,avi,avi,mahottari,nawalpur,2.5,"District: no match, School level: complete, Root name: complete"
18801,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18804,34840,naya.n kirana,pancha kanya,mavi,mavi,bhaktapur,bhaktapur,2.0,"District: complete, School level: complete, Root name: partial"
18803,15359,ra,sarada,nimavi,nimavi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18805,36752,kirana,kirantar,mavi,pravi,chitwan,chitwan,2.5,"District: complete, School level: no match, Root name: complete"
18806,1586,buddha shanti,bouddhasthani,mavi,pravi,chitwan,solukhumbu,2.0,"District: no match, School level: no match, Root name: complete"
18808,31722,pandavanagara,diwanagar,avi,avi,chitwan,chitwan,2.0,"District: complete, School level: complete, Root name: partial"
18807,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18810,23753,rashtriya,rastriya,pravi,pravi,chitwan,siraha,2.5,"District: no match, School level: complete, Root name: complete"
18809,33415,kavilasa,kabilas,mavi,mavi,chitwan,chitwan,2.0,"District: complete, School level: complete, Root name: partial"
18812,24241,,,avi,avi,kalikot,sarlahi,2.5,"District: no match, School level: complete, Root name: complete"
18811,13970,churtumukhi,murkuchi,mavi,mavi,chitwan,udayapur,1.5,"District: no match, School level: complete, Root name: partial"
18813,143,ganesha rashtiya,adarsha,pravi,pravi,chitwan,sunsari,1.5,"District: no match, School level: complete, Root name: partial"
18815,35,ratishya,patiehani,pravi,pravi,chitwan,chitwan,2.0,"District: complete, School level: complete, Root name: partial"
18816,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18817,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18818,15706,shri kota,shahid sukraraj,nimavi,nimavi,khotang,panchthar,1.5,"District: no match, School level: complete, Root name: partial"
18820,312,,,mavi,,chitwan,chitwan,2.5,"District: complete, School level: no match, Root name: complete"
18819,16359,santhali,santhal,avi,pravi,chitwan,morang,2.0,"District: no match, School level: no match, Root name: complete"
18821,37099,ijara,sitamai,pravi,pravi,dhading,dhading,2.0,"District: complete, School level: complete, Root name: partial"
18822,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18823,15583,sarasvati,saraswati,mavi,mavi,bhaktapur,bhojpur,2.5,"District: no match, School level: complete, Root name: complete"
18825,22,,,mavi,,rautahat,rautahat,2.5,"District: complete, School level: no match, Root name: complete"
18828,24241,,,avi,avi,chitwan,sarlahi,2.5,"District: no match, School level: complete, Root name: complete"
18829,23753,rashtriya,rastriya,pravi,pravi,chitwan,siraha,2.5,"District: no match, School level: complete, Root name: complete"
18831,312,,,nimavi,,chitwan,chitwan,2.5,"District: complete, School level: no match, Root name: complete"
18830,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18834,3886,chanaure ra,bhim chandra,pravi,pravi,chitwan,chitwan,2.0,"District: complete, School level: complete, Root name: partial"
18832,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
18835,23753,rashtiya,rastriya,pravi,pravi,chitwan,siraha,2.5,"District: no match, School level: complete, Root name: complete"
18836,1278,ra,atmara,pravi,pravi,chitwan,dhankuta,1.5,"District: no match, School level: complete, Root name: partial"
