modified_district,district_id
bhojpur,1
dhankuta,2
ilam,3
jhapa,4
khotang,5
morang,6
okhaldhunga,7
panchthar,8
sankhuwasabha,9
solukhumbu,10
sunsari,11
taplejung,12
tehrathum,13
udayapur,14
parsa,15
bara,16
rautahat,17
sarlahi,18
siraha,19
dhanusha,20
saptari,21
mahottari,22
kathmandu,23
bhaktapur,24
lalitpur,25
kavrepalanchok,26
sindhupalchok,27
makwanpur,28
chitwan,29
nuwakot,30
dhading,31
dolakha,32
ramechhap,33
rasuwa,34
sindhuli,35
baglung,36
gorkha,37
kaski,38
lamjung,39
manang,40
mustang,41
myagdi,42
nawalpur,43
parbat,44
syangja,45
tanahun,46
kapilbastu,47
nawalparasi,48
rupandehi,49
arghakhanchi,50
gulmi,51
palpa,52
dang,53
pyuthan,54
rolpa,55
rukum purba,56
banke,57
bardiya,58
dailekh,59
dolpa,60
humla,61
jajarkot,62
jumla,63
kalikot,64
mugu,65
salyan,66
surkhet,67
rukum paschim,68
achham,69
baitadi,70
bajhang,71
bajura,72
dadeldhura,73
darchula,74
doti,75
kailali,76
kanchanpur,77
