district_id	district	जिल्ला
1	Bhojpur	भोजपुर
2	Dhankuta	धनकुटा
3	Ilam	इलाम
4	Jhapa	झापा
5	Khotang	खोटाङ
6	Morang	मोरङ
7	Okhaldhunga	ओखलढुङ्गा
8	Panchthar	पाँचथर
9	Sankhuwasabha	संखुवासभा
10	Solukhumbu	सोलुखुम्बु
11	Sunsari	सुनसरी
12	Taplejung	ताप्लेजुङ
13	Tehrathum	तेह्रथुम
14	Udayapur	उदयपुर
15	Parsa	पर्सा
16	Bara	बारा
17	Rautahat	रौतहट
18	Sarlahi	सर्लाही
19	Siraha	सिराहा
20	Dhanusha	धनुषा
21	Saptari	सप्तरी
22	Mahottari	महोत्तरी
23	Kathmandu	काठमाडौं
24	Bhaktapur	भक्तपुर
25	Lalitpur	ललितपुर
26	Kavrepalanchok	काभ्रेपलाञ्चोक
27	Sindhupalchok	सिन्धुपाल्चोक
28	Makwanpur	मकवानपुर
29	Chitwan	चितवन
30	Nuwakot	नुवाकोट
31	Dhading	धादिङ्ग
32	Dolakha	दोलखा
33	Ramechhap	रामेछाप
34	Rasuwa	रसुवा
35	Sindhuli	सिन्धुली
36	Baglung	बागलुङ
37	Gorkha	गोरखा
38	Kaski	कास्की
39	Lamjung	लमजुङ
40	Manang	मनाङ
41	Mustang	मुस्ताङ
42	Myagdi	म्याग्दी
43	Nawalpur	पूर्व नवलपरासी
44	Parbat	पर्वत
45	Syangja	स्याङ्गजा
46	Tanahun	तनहुँ
47	Kapilbastu	कपिलवस्तु
48	Nawalparasi	पश्चिम नवलपरासी
49	Rupandehi	रुपन्देही
50	Arghakhanchi	अर्घाखाँची
51	Gulmi	गुल्मी
52	Palpa	पाल्पा
53	Dang	दाङ्ग
54	Pyuthan	प्युठान
55	Rolpa	रोल्पा
56	Rukum Purba	रुकुम पूर्व
57	Banke	बाँके
58	Bardiya	बर्दिया
59	Dailekh	दैलेख
60	Dolpa	डोल्पा
61	Humla	हुम्ला
62	Jajarkot	जाजरकोट
63	Jumla	जुम्ला
64	Kalikot	कालीकोट
65	Mugu	मुगु
66	Salyan	सल्यान
67	Surkhet	सुर्खेत
68	Rukum Paschim	रुकुम पश्चिम
69	Achham	अछाम
70	Baitadi	बैतडी
71	Bajhang	बझाङ
72	Bajura	बाजुरा
73	Dadeldhura	डडेल्धुरा
74	Darchula	दार्चुला
75	Doti	डोटी
76	Kailali	कैलाली
77	Kanchanpur	कञ्चनपुर
