school_id,school_1,school_id_B,name,district_id,district_id.1,Matched_District,root_school_name,School_name_transliterated,School_level,school_levels,School_name,Fuzzy_match_score,Match_Type
1,जनप्रिय प्रावि भोजपुर,12428,jana priya pra v,1,1,bhojpur,jana priya,janapriya,प्रावि,pravi,जनप्रिय,3.0,"District: complete, School level: complete, Root name: complete"
9,दुर्गेश्वरी प्रावि भोजपुर,11513,durgeshwori pra v,1,1,bhojpur,durgeshwori,durgeshvari,प्रावि,pravi,दुर्गेश्वरी,3.0,"District: complete, School level: complete, Root name: complete"
15,बालकन्या प्रावि भोजपुर,1393,bal kanya pra v,1,1,bhojpur,bal kanya,balakanya,प्रावि,pravi,बालकन्या,3.0,"District: complete, School level: complete, Root name: complete"
17,जगदीश्वरी प्रावि भोजपुर,12119,jagadishwary primary school,1,1,bhojpur,jagadishwary,jagadishvari,प्रावि,pravi,जगदीश्वरी,3.0,"District: complete, School level: complete, Root name: complete"
22,छिन्ताङ देवी आवि भोजपुर,11146,chhintangdevi basic school,1,1,bhojpur,chhintangdevi,chinta~na devi,आवि,avi,छिन्ताङ देवी,3.0,"District: complete, School level: complete, Root name: complete"
23,भिमेश्वरी आवि भोजपुर,1758,bhimeshwori aa vi,1,1,bhojpur,bhimeshwori,bhimeshvari,आवि,avi,भिमेश्वरी,3.0,"District: complete, School level: complete, Root name: complete"
24,सरस्वती प्रावि टक्सार भोजपुर,15543,saraswati pra vi,1,1,bhojpur,saraswati,sarasvati,प्रावि,pravi,सरस्वती,3.0,"District: complete, School level: complete, Root name: complete"
25,जनज्योती प्रावि तनहुँ,41719,jana jyoti pra v,46,46,tanahun,jana jyoti,janajyoti,प्रावि,pravi,जनज्योती,3.0,"District: complete, School level: complete, Root name: complete"
27,भवानी प्रावि व्यास तनहुँ,4545,bhawani pra v,46,46,tanahun,bhawani,bhavani,प्रावि,pravi,भवानी,3.0,"District: complete, School level: complete, Root name: complete"
29,चण्डी आवि भोजपुर,11069,chandi adhar v,1,1,bhojpur,chandi,chandi,आवि,avi,चण्डी,3.0,"District: complete, School level: complete, Root name: complete"
30,जालपा आवि याङ थर्पू भोजपुर,12169,jalapa basic school,1,1,bhojpur,jalapa,jalapa,आवि,avi,जालपा,3.0,"District: complete, School level: complete, Root name: complete"
34,निर्मल प्रावि तनहुँ,42906,nirmal primary school,46,46,tanahun,nirmal,nirmala,प्रावि,pravi,निर्मल,3.0,"District: complete, School level: complete, Root name: complete"
35,अन्नपूर्ण प्रावि तनहुँँ,4140,annapurna primary school,46,46,tanahun,annapurna,annapurna,प्रावि,pravi,अन्नपूर्ण,3.0,"District: complete, School level: complete, Root name: complete"
40,सिंहदेवी आवि इलाम,16573,siddha devi basic school,3,3,ilam,siddha devi,simhadevi,आवि,avi,सिंहदेवी,3.0,"District: complete, School level: complete, Root name: complete"
41,विजया आवि आमचोक इलाम,1834,bijaya basic school,3,3,ilam,bijaya,vijaya,आवि,avi,विजया,3.0,"District: complete, School level: complete, Root name: complete"
45,ज्योति प्रावि भोजपुर,12911,jyoti pra v,1,1,bhojpur,jyoti,jyoti,प्रावि,pravi,ज्योति,3.0,"District: complete, School level: complete, Root name: complete"
46,ज्याति प्रावि ठुलोदम्मा भोजपुर,12911,jyoti pra v,1,1,bhojpur,jyoti,jyati,प्रावि,pravi,ज्याति,3.0,"District: complete, School level: complete, Root name: complete"
49,पञ्चकन्या आवि याकु कट्टी भोजपुर,14424,pancha kanya aavi,1,1,bhojpur,pancha kanya,pa~nchakanya,आवि,avi,पञ्चकन्या,3.0,"District: complete, School level: complete, Root name: complete"
51,छिम्केश्वरी प्रावि तनहुँ,4900,chimkeshwori pra v,46,46,tanahun,chimkeshwori,chimkeshvari,प्रावि,pravi,छिम्केश्वरी,3.0,"District: complete, School level: complete, Root name: complete"
55,जलकन्या आवि फाकफोकथुम गा पा इलाम,12131,jal kanya basic school,3,3,ilam,jal kanya,jalakanya,आवि,avi,जलकन्या,3.0,"District: complete, School level: complete, Root name: complete"
57,जनकल्याण्ा प्रावि दोकानडाँडा इलाम,12395,jana kalyan pra v,3,3,ilam,jana kalyan,janakalyana,प्रावि,pravi,जनकल्याण्ा,3.0,"District: complete, School level: complete, Root name: complete"
59,जनकल्याण प्रावि आम्तेक भोजपुर,12405,jana kalyan pra v,1,1,bhojpur,jana kalyan,janakalyana,प्रावि,pravi,जनकल्याण,3.0,"District: complete, School level: complete, Root name: complete"
