school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
2,11142,छेनखामा प्राथमिक विद्यालय भोजपुर,chhenkhama basic school,छेनखामा,भोजपुर,1,bhojpur,1,koshi province,103,annapurna,temkemaiyung rural municipality
5,41671,"जनजागृति माध्यमिक विधालय, तनहुँ",jana jagriti basic school,जनजागृति,तनहुँँ,46,tanahun,4,gandaki province,747,bandipur -6,bandipur rural municipality
25214,41671,"जनजागृति माध्यमिक विद्यालय, भानु, तुरतुरे, तनहुँ",jana jagriti basic school,जनजागृति,तनहुँँ,46,tanahun,4,gandaki province,747,bandipur -6,bandipur rural municipality
14,12169,जाल्पा निम्न माध्यमिक विधालय भौसिपंखा भोजपुर,jalapa basic school,जाल्पा,भोजपुर,1,bhojpur,1,koshi province,96,ryang tharpu,arun rural municipality
16,12169,"जाल्पा माध्यमिक विद्यालय, भोजपुर",jalapa basic school,जाल्पा,भोजपुर,1,bhojpur,1,koshi province,96,ryang tharpu,arun rural municipality
9561,12169,जाल्पा निम्न माध्यमिक विधालय चरम्वी भोजपुर,jalapa basic school,जाल्पा,भोजपुर,1,bhojpur,1,koshi province,96,ryang tharpu,arun rural municipality
9754,12169,जाल्पा उच्च माध्यमिक विधालय चौकिडाडा भोजपुर,jalapa basic school,जाल्पा,भोजपुर,1,bhojpur,1,koshi province,96,ryang tharpu,arun rural municipality
20,11060,"चण्डेश्वर माध्यमिक विद्यालय, बालंखा, भोजपुर",chandeshwary  pra vi,चण्डेश्वर,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
9901,11060,"चण्डेश्वरी नि मा वि, भोजपुर",chandeshwary  pra vi,चण्डेश्वरी,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
10919,11060,चण्डेश्वरी निम्न माध्यमिक विधालय पावला भोजपुर,chandeshwary  pra vi,चण्डेश्वरी,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
21615,11060,चण्द्रेश्वर माध्यमिक विधालय नागी भोजपुर,chandeshwary  pra vi,चण्द्रेश्वर,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
22496,11060,"चण्डेश्वरी माध्यमिक विद्यालय नागी, भोजपुर",chandeshwary  pra vi,चण्डेश्वरी,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
22653,11060,"चन्द्रेश्वर माध्यमिक विधालय, भोजपुर",chandeshwary  pra vi,चन्द्रेश्वर,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
29583,11060,"चन्द्रेश्वर माध्यमिक विद्यालय, भोजपुर",chandeshwary  pra vi,चन्द्रेश्वर,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
21,14424,पञ्चकन्या माध्यमिक विद्यालय भोजपुर,pancha kanya aavi,पञ्चकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
1465,14424,"पंचकन्या नि मा वि, भोजपुर",pancha kanya aavi,पंचकन्या,भोजपुर,1,bhojpur,1,koshi province,98,hatuwagadhi,hatuwagadhi rural municipality
