school_id_A,school_id_B,school_A,school_name_B,school_name_A,extracted_district_A,district_id_B,district_B,province_id_B,province_B,local_level_id_B,location_B,local_level_B
2,11142,छेनखामा प्राथमिक विद्यालय भोजपुर,Chhenkhama Basic School,छेनखामा प्रावि,भोजपुर,1,Bhojpur,1,Koshi,103,Annapurna,Temkemaiyung Rural Municipality
5,41671,"जनजागृति माध्यमिक विधालय, तनहुँ",Jana Jagriti Basic School,जनजागृति मावि,तनहुँँ,46,Tanahun,4,Gandaki,747,Bandipur -6,Bandipur Rural Municipality
25214,41671,"जनजागृति माध्यमिक विद्यालय, भानु, तुरतुरे, तनहुँ",Jana Jagriti Basic School,जनजागृति मावि,तनहुँँ,46,Tanahun,4,Gandaki,747,Bandipur -6,Bandipur Rural Municipality
14,12169,जाल्पा निम्न माध्यमिक विधालय भौसिपंखा भोजपुर,Jalapa Basic School,जाल्पा निमावि,भोजपुर,1,Bhojpur,1,Koshi,96,Ryang Tharpu,Arun Rural Municipality
16,12169,"जाल्पा माध्यमिक विद्यालय, भोजपुर",Jalapa Basic School,जाल्पा मावि,भोजपुर,1,Bhojpur,1,Koshi,96,Ryang Tharpu,Arun Rural Municipality
9561,12169,जाल्पा निम्न माध्यमिक विधालय चरम्वी भोजपुर,Jalapa Basic School,जाल्पा निमावि,भोजपुर,1,Bhojpur,1,Koshi,96,Ryang Tharpu,Arun Rural Municipality
9754,12169,जाल्पा उच्च माध्यमिक विधालय चौकिडाडा भोजपुर,Jalapa Basic School,जाल्पा मावि,भोजपुर,1,Bhojpur,1,Koshi,96,Ryang Tharpu,Arun Rural Municipality
20,11060,"चण्डेश्वर माध्यमिक विद्यालय, बालंखा, भोजपुर",Chandeshwary Pra Vi,चण्डेश्वर मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
9901,11060,"चण्डेश्वरी नि मा वि, भोजपुर",Chandeshwary Pra Vi,चण्डेश्वरी निमावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
10919,11060,चण्डेश्वरी निम्न माध्यमिक विधालय पावला भोजपुर,Chandeshwary Pra Vi,चण्डेश्वरी निमावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
21615,11060,चण्द्रेश्वर माध्यमिक विधालय नागी भोजपुर,Chandeshwary Pra Vi,चण्द्रेश्वर मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
22496,11060,"चण्डेश्वरी माध्यमिक विद्यालय नागी, भोजपुर",Chandeshwary Pra Vi,चण्डेश्वरी मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
22653,11060,"चन्द्रेश्वर माध्यमिक विधालय, भोजपुर",Chandeshwary Pra Vi,चन्द्रेश्वर मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
29583,11060,"चन्द्रेश्वर माध्यमिक विद्यालय, भोजपुर",Chandeshwary Pra Vi,चन्द्रेश्वर मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
21,14424,पञ्चकन्या माध्यमिक विद्यालय भोजपुर,Pancha Kanya Aavi,पञ्चकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
1465,14424,"पंचकन्या नि मा वि, भोजपुर",Pancha Kanya Aavi,पंचकन्या निमावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
9816,14424,पञ्चकन्या उच्च माध्यमिक विधालय भुल्के भोजपुर,Pancha Kanya Aavi,पञ्चकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
9827,14424,पञ्चकन्या माध्यमिक विधालय बोखीम भोजपुर,Pancha Kanya Aavi,पञ्चकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
9914,14424,पञ्चकन्या निम्न माध्यमिक विधालय गुप्तेश्वर भोजपुर,Pancha Kanya Aavi,पञ्चकन्या निमावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
18965,14424,"पंचकन्या मा वि, भोजपुर",Pancha Kanya Aavi,पंचकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
18975,14424,पञ्चकन्या माध्यमिक विधालय वासिङथर्पु भोजपुर,Pancha Kanya Aavi,पञ्चकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
19017,14424,पन्चकन्या उ॰ माध्यमिक विद्यालय भोजपुर,Pancha Kanya Aavi,पन्चकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
21564,14424,पञ्चकन्या माध्यमिक विद्यालय च्याङग्रे भोजपुर,Pancha Kanya Aavi,पञ्चकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
24100,14424,पञ्चकन्या माध्यमिक विधालय हसनपुर भोजपुर,Pancha Kanya Aavi,पञ्चकन्या मावि,भोजपुर,1,Bhojpur,1,Koshi,98,Hatuwagadhi,Hatuwagadhi Rural Municipality
31,15850,"शितलादेवी प्रा वि, भोजपुर",Shitala Devi Basic School,शितलादेवी प्रावि,भोजपुर,1,Bhojpur,1,Koshi,99,Pauwadungma,Pauwadungma Rural Municipality
39,15850,"सितला देवी प्रा॰वि॰ तिवारी भञ्जाङ, भोजपुर",Shitala Devi Basic School,सितला देवी प्रावि,भोजपुर,1,Bhojpur,1,Koshi,99,Pauwadungma,Pauwadungma Rural Municipality
21414,15850,"शितला देवी प्रा॰वि, भोजपुर",Shitala Devi Basic School,शितला देवी प्रावि,भोजपुर,1,Bhojpur,1,Koshi,99,Pauwadungma,Pauwadungma Rural Municipality
32,16712,"सिंह बाहिनी प्राथमिक विद्यालय भोजपुर न॰पा॰, भोजपुर",Singha Bahini Basic School,सिंह बाहिनी प्रावि,भोजपुर,1,Bhojpur,1,Koshi,97,Gharasime,Bhojpur Municipality
10750,16712,"सिंह बाहिनी उ॰ माध्यमिक विद्यालय, शनिश्चरे भोजपुर",Singha Bahini Basic School,सिंह बाहिनी मावि,भोजपुर,1,Bhojpur,1,Koshi,97,Gharasime,Bhojpur Municipality
38,12360,"जीवनज्योति माध्यमिक विद्यालय, इलाम",Jana Jyoti Basic School,जीवनज्योति मावि,इलाम,3,Ilam,1,Koshi,244,Pachewa,Phakphokthum Rural Municipality
19155,12360,"जन्ज्योती प्रा॰वि॰, इलाम",Jana Jyoti Basic School,जन्ज्योती प्रावि,इलाम,3,Ilam,1,Koshi,244,Pachewa,Phakphokthum Rural Municipality
