school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3,modified_name,modified_location,modified_local_level,modified_district,modified_province,modified_old_name1,modified_old_name2,modified_old_name3,school_levels,root_school_name
17,aa vi ratmate,udayapur,9.0,777,triyuga municipality,14,udayapur,1,koshi province,aa vi ratmate (1-8),ni ma v ratmate,,avi ratmate,udayapur,triyuga municipality,udayapur,koshi province,avi ratmate,nimavi ratmate,,avi,ratmate
131,adarsa basic school,sundarharaincha,11.0,419,sundarharaincha municipality,6,morang,1,koshi province,adarsa pra v,,,adarsa avi,sundarharaincha,sundarharaincha municipality,morang,koshi province,adarsa pravi,,,avi,adarsa
135,adarsha adhar v,santapur,6.0,263,buddhashanti rural municipality,4,jhapa,1,koshi province,adarsha pra v,,,adarsha avi,santapur,buddhashanti rural municipality,jhapa,koshi province,adarsha pravi,,,avi,adarsha
136,adarsha adharbhoot vidhyalaya,amrang,5.0,626,makalu rural municipality,9,sankhuwasabha,1,koshi province,adarsha pra v,,,adarsha avi,amrang,makalu rural municipality,sankhuwasabha,koshi province,adarsha pravi,,,avi,adarsha
137,adarsha adharbhut vidhyalaya,apraha,8.0,772,chaudandigadhi municipality,14,udayapur,1,koshi province,adarsha pra v apraha,,,adarsha avi,apraha,chaudandigadhi municipality,udayapur,koshi province,adarsha pravi apraha,,,avi,adarsha
140,adarsha basic school,soktim,9.0,246,mai municipality,3,ilam,1,koshi province,adarsha adharbhut bidhyalaya,adarsha pra v,,adarsha avi,soktim,mai municipality,ilam,koshi province,adarsha a bidhyalaya,adarsha pravi,,avi,adarsha
143,adarsha basic school,yadav tole,5.0,716,bhokraha narsing rural municipality,11,sunsari,1,koshi province,adarsha aadharbhut bidhyalaya,adarsha pra v,,adarsha avi,yadav tole,bhokraha narsing rural municipality,sunsari,koshi province,adarsha avi,adarsha pravi,,avi,adarsha
145,adarsha basic school,sirijangha,2.0,763,sirijangha rural municipality,12,taplejung,1,koshi province,adarsha pra v,,,adarsha avi,sirijangha,sirijangha rural municipality,taplejung,koshi province,adarsha pravi,,,avi,adarsha
156,adarsha milan pra v,ramailo danda,3.0,711,nechasalyan rural municipality,10,solukhumbu,1,koshi province,,,,adarsha milan pravi,ramailo danda,nechasalyan rural municipality,solukhumbu,koshi province,,,,pravi,adarsha milan pr
175,adarsha vidya mandir,dhulabari,9.0,272,mechinagar municipality,4,jhapa,1,koshi province,adarsha bidya mandir ebs,,,adarsha vidya mandir,dhulabari,mechinagar municipality,jhapa,koshi province,adarsha bidya mandir ebs,,,,adarsha vidya mandir
1103,aitabare basic school,panchkhapan,3.0,627,panchakhapan municipality,9,sankhuwasabha,1,koshi province,aitabare adharbhut school,aitabare adhar v,,aitabare avi,panchkhapan,panchakhapan municipality,sankhuwasabha,koshi province,aitabare avi,aitabare avi,,avi,aitabare
1113,akchewa basic school,akchewa,3.0,626,makalu rural municipality,9,sankhuwasabha,1,koshi province,akchewa adharbhoot vidyalaya,akchewa pra v,,akchewa avi,akchewa,makalu rural municipality,sankhuwasabha,koshi province,akchewa adharbhoot vi,akchewa pravi,,avi,akchewa
1129,amar jyoti basic school,hilihang,1.0,499,hilihang rural municipality,8,panchthar,1,koshi province,amar jyoti ni ma v,,,amar jyoti avi,hilihang,hilihang rural municipality,panchthar,koshi province,amar jyoti nimavi,,,avi,amar jyoti
1131,amar jyoti basic school,chachalung,5.0,710,mahakulung rural municipality,10,solukhumbu,1,koshi province,amar jyoti adhar v,,,amar jyoti avi,chachalung,mahakulung rural municipality,solukhumbu,koshi province,amar jyoti avi,,,avi,amar jyoti
1135,amar pra v,schooldanda,12.0,272,mechinagar municipality,4,jhapa,1,koshi province,,,,amar pravi,schooldanda,mechinagar municipality,jhapa,koshi province,,,,pravi,amar pr
1137,amar primary school,jimigaun,6.0,167,sangurigadhi rural municipality,2,dhankuta,1,koshi province,amar pra v,,,amar pravi,jimigaun,sangurigadhi rural municipality,dhankuta,koshi province,amar pravi,,,pravi,amar pr
1143,amar shanti srijana ni ma v,balaha mandal tole,10.0,722,inaruwa municipality,11,sunsari,1,koshi province,,,,amar shanti srijana nimavi,balaha mandal tole,inaruwa municipality,sunsari,koshi province,,,,nimavi,amar shanti srijana ni
1159,ambegudin basic school,ambegudin,2.0,763,sirijangha rural municipality,12,taplejung,1,koshi province,ambegudin aa vi,ambegudin pra v,,ambegudin avi,ambegudin,sirijangha rural municipality,taplejung,koshi province,ambegudin avi,ambegudin pravi,,avi,ambegudin
1161,ambika basic school,sidingba,5.0,762,sidingba rural municipality,12,taplejung,1,koshi province,ambika ni ma v,,,ambika avi,sidingba,sidingba rural municipality,taplejung,koshi province,ambika nimavi,,,avi,ambika
1177,ananta pra v,"dhanpalthan-7, daligachh",7.0,408,dhanapalthan rural municipality,6,morang,1,koshi province,,,,ananta pravi,dhanpalthan daligachh,dhanapalthan rural municipality,morang,koshi province,,,,pravi,ananta pr
1189,aniwarya nisulka basic school,sahidbhumi,1.0,164,sahidbhumi rural municipality,2,dhankuta,1,koshi province,"aniwarya nisulka basic school, sahidbhumi- 1 dhankuta",aniwarya nisulka ni ma v,,aniwarya nisulka avi,sahidbhumi,sahidbhumi rural municipality,dhankuta,koshi province,aniwarya nisulka avi sahidbhumi dhankuta,aniwarya nisulka nimavi,,avi,aniwarya nisulka
1208,antarrastriya yuwabarsha basic school,bitalab,11.0,485,siddhicharan municipality,7,okhaldhunga,1,koshi province,antarrastriya yuvabarsha pra v,,,antarrastriya yuwabarsha avi,bitalab,siddhicharan municipality,okhaldhunga,koshi province,antarrastriya yuvabarsha pravi,,,avi,antarrastriya yuwabarsha
1218,araniko basic school,kamal,7.0,270,kamal rural municipality,4,jhapa,1,koshi province,araniko primary school,araniko pra v,,araniko avi,kamal,kamal rural municipality,jhapa,koshi province,araniko pravi,araniko pravi,,avi,araniko
1237,arun basic school,bardanda,4.0,96,arun rural municipality,1,bhojpur,1,koshi province,arun pra v,,,arun avi,bardanda,arun rural municipality,bhojpur,koshi province,arun pravi,,,avi,arun
1242,arun ganga basic school,gurdhanebaseri,6.0,96,arun rural municipality,1,bhojpur,1,koshi province,arun ganga pra v,,,arun ganga avi,gurdhanebaseri,arun rural municipality,bhojpur,koshi province,arun ganga pravi,,,avi,arun ganga
1259,arunodaya pra v,baireni,8.0,623,dharmadevi municipality,9,sankhuwasabha,1,koshi province,,,,arunodaya pravi,baireni,dharmadevi municipality,sankhuwasabha,koshi province,,,,pravi,arunodaya pr
1260,arunodaya pra vi,khuksila,7.0,98,hatuwagadhi rural municipality,1,bhojpur,1,koshi province,arunodaya pra v,,,arunodaya pravi,khuksila,hatuwagadhi rural municipality,bhojpur,koshi province,arunodaya pravi,,,pravi,arunodaya pr
1279,aulia taulia basic school,pauwadungma,3.0,99,pauwadungma rural municipality,1,bhojpur,1,koshi province,aulia taulia pra v,,,aulia taulia avi,pauwadungma,pauwadungma rural municipality,bhojpur,koshi province,aulia taulia pravi,,,avi,aulia taulia
1298,bachala devi basic school,rawa besi munnicipality,6.0,359,rawa besi rural municipality,5,khotang,1,koshi province,bachala devi pra v,,,bachala devi avi,rawa besi munnicipality,rawa besi rural municipality,khotang,koshi province,bachala devi pravi,,,avi,bachala devi
1300,bagaincha basic school,hilihang,5.0,499,hilihang rural municipality,8,panchthar,1,koshi province,bagaincha pra v,,,bagaincha avi,hilihang,hilihang rural municipality,panchthar,koshi province,bagaincha pravi,,,avi,bagaincha
1301,bagarbari basic school,phungling,6.0,761,phungling municipality,12,taplejung,1,koshi province,bagarbari pra v,,,bagarbari avi,phungling,phungling municipality,taplejung,koshi province,bagarbari pravi,,,avi,bagarbari
1311,bahumukhi basic school,miklajung,9.0,415,miklajung rural municipality,6,morang,1,koshi province,bahumukhi adhar v,,,bahumukhi avi,miklajung,miklajung rural municipality,morang,koshi province,bahumukhi avi,,,avi,bahumukhi
1316,bairati basic school,bhudisimal,8.0,265,gauradaha municipality,4,jhapa,1,koshi province,bairati pra v,,,bairati avi,bhudisimal,gauradaha municipality,jhapa,koshi province,bairati pravi,,,avi,bairati
1318,bakhapalam secondary school,sotang,5.0,713,sotang rural municipality,10,solukhumbu,1,koshi province,bhakhapalam adhar v,,,bakhapalam ma vi,sotang,sotang rural municipality,solukhumbu,koshi province,bhakhapalam avi,,,mavi,bakhapalam ma vi
1321,bakshila basic school,bakshila,2.0,243,deumai municipality,3,ilam,1,koshi province,bakshila pra v,,,bakshila avi,bakshila,deumai municipality,ilam,koshi province,bakshila pravi,,,avi,bakshila
1324,bal bahadur basic school,kummayak,2.0,500,kummayak rural municipality,8,panchthar,1,koshi province,bal bahadur pra v,,,bal bahadur avi,kummayak,kummayak rural municipality,panchthar,koshi province,bal bahadur pravi,,,avi,bal bahadur
1326,bal balika pra v,chiple,4.0,624,khandbari municipality,9,sankhuwasabha,1,koshi province,,,,bal balika pravi,chiple,khandbari municipality,sankhuwasabha,koshi province,,,,pravi,bal balika pr
1327,bal basic school,kachankawal,6.0,269,kachankawal rural municipality,4,jhapa,1,koshi province,bal pra v,,,bal avi,kachankawal,kachankawal rural municipality,jhapa,koshi province,bal pravi,,,avi,bal
1328,bal bhadra janata ma v,mangalibazaar,11.0,272,mechinagar municipality,4,jhapa,1,koshi province,,,,bal bhadra janata ma vi,mangalibazaar,mechinagar municipality,jhapa,koshi province,,,,mavi,bal bhadra janata ma vi
1331,bal bidya mandir basic school,labipur,4.0,409,gramthan rural municipality,6,morang,1,koshi province,bal bidya mandir pra v,,,bal bidya mandir avi,labipur,gramthan rural municipality,morang,koshi province,bal bidya mandir pravi,,,avi,bal bidya mandir
1369,bal kalyan basic school,narkate,7.0,413,kerabari rural municipality,6,morang,1,koshi province,bal kalyan pra v,,,bal kalyan avi,narkate,kerabari rural municipality,morang,koshi province,bal kalyan pravi,,,avi,bal kalyan
1372,bal kalyan basic school,karkichhap,10.0,95,aamchowk rural municipality,1,bhojpur,1,koshi province,bal kalyan pra v,,,bal kalyan avi,karkichhap,aamchowk rural municipality,bhojpur,koshi province,bal kalyan pravi,,,avi,bal kalyan
1389,bal kanya aadharbhut bidhyalaya (1-5),kochhale,4.0,353,barahapokhari rural municipality,5,khotang,1,koshi province,bal kanya pra v,,,bal kanya avi,kochhale,barahapokhari rural municipality,khotang,koshi province,bal kanya pravi,,,avi,bal kanya
1390,bal kanya basic school,kami dada,4.0,711,nechasalyan rural municipality,10,solukhumbu,1,koshi province,bal kanya pra v,,,bal kanya avi,kami dada,nechasalyan rural municipality,solukhumbu,koshi province,bal kanya pravi,,,avi,bal kanya
1391,bal kanya pra v,majhuwa,4.0,249,rong rural municipality,3,ilam,1,koshi province,,,,bal kanya pravi,majhuwa,rong rural municipality,ilam,koshi province,,,,pravi,bal kanya pr
1393,bal kanya pra v,jimigaun,10.0,97,bhojpur municipality,1,bhojpur,1,koshi province,,,,bal kanya pravi,jimigaun,bhojpur municipality,bhojpur,koshi province,,,,pravi,bal kanya pr
1416,bal niketan pra v,yakpi,3.0,250,sandakpur rural municipality,3,ilam,1,koshi province,,,,bal niketan pravi,yakpi,sandakpur rural municipality,ilam,koshi province,,,,pravi,bal niketan pr
1417,bal nikunja basic school,simle,1.0,770,phedap rural municipality,13,tehrathum,1,koshi province,bal nikunja pra v,,,bal nikunja avi,simle,phedap rural municipality,tehrathum,koshi province,bal nikunja pravi,,,avi,bal nikunja
1427,bal shakti basic school,katahare,7.0,95,aamchowk rural municipality,1,bhojpur,1,koshi province,bal shakti pra v,,,bal shakti avi,katahare,aamchowk rural municipality,bhojpur,koshi province,bal shakti pravi,,,avi,bal shakti
1428,bal sikshya pra v,sisnetar,5.0,497,phalelung rural municipality,8,panchthar,1,koshi province,,,,bal sikshya pravi,sisnetar,phalelung rural municipality,panchthar,koshi province,,,,pravi,bal sikshya pr
1431,bal subodhini sanskrit secondary school,medibung,3.0,761,phungling municipality,12,taplejung,1,koshi province,bal subodhini sanskrit uchha ma v,,,bal subodhini sanskrit ma vi,medibung,phungling municipality,taplejung,koshi province,bal subodhini sanskrit uchha ma vi,,,mavi,bal subodhini sanskrit ma vi
1433,bal sudha pra v,khoktak,5.0,626,makalu rural municipality,9,sankhuwasabha,1,koshi province,,,,bal sudha pravi,khoktak,makalu rural municipality,sankhuwasabha,koshi province,,,,pravi,bal sudha pr
1434,bal sudhar panchakanya basic school,pauwadungma,4.0,99,pauwadungma rural municipality,1,bhojpur,1,koshi province,bal sudhar pancha kanya pra v,,,bal sudhar panchakanya avi,pauwadungma,pauwadungma rural municipality,bhojpur,koshi province,bal sudhar pancha kanya pravi,,,avi,bal sudhar panchakanya
1439,bala bhadra basic school,dahagaoon,9.0,265,gauradaha municipality,4,jhapa,1,koshi province,bal bhadra basic school,bal bhadra pra v,,bala bhadra avi,dahagaoon,gauradaha municipality,jhapa,koshi province,bal bhadra avi,bal bhadra pravi,,avi,bala bhadra
1444,baladevi basic school,punatar,1.0,479,champadevi rural municipality,7,okhaldhunga,1,koshi province,baladevi ni ma v,,,baladevi avi,punatar,champadevi rural municipality,okhaldhunga,koshi province,baladevi nimavi,,,avi,baladevi
1447,balbalik a adharbhut bidyalaya,karkale,7.0,360,diktel rupakot majhuwagadhi municipality,5,khotang,1,koshi province,balbalik adhar v,,,balbalik a avi,karkale,diktel rupakot majhuwagadhi municipality,khotang,koshi province,balbalik avi,,,avi,balbalik a
1478,balkalyan basic school,suryodaya municipality,14.0,251,suryodaya municipality,3,ilam,1,koshi province,balkalyan adharbhut school simle,balkalyan pra v simle,,balkalyan avi,suryodaya municipality,suryodaya municipality,ilam,koshi province,balkalyan avi simle,balkalyan pravi simle,,avi,balkalyan
1479,balkalyan basic school,debisamrat basti,6.0,259,arjundhara municipality,4,jhapa,1,koshi province,bal kalyan pra v,,,balkalyan avi,debisamrat basti,arjundhara municipality,jhapa,koshi province,bal kalyan pravi,,,avi,balkalyan
1502,balmiki pra v,salbote,20.0,718,dharan sub metropolitan city,11,sunsari,1,koshi province,,,,balmiki pravi,salbote,dharan sub metropolitan city,sunsari,koshi province,,,,pravi,balmiki pr
1515,balsikhar pra v,mauwa,9.0,503,tumbewa rural municipality,8,panchthar,1,koshi province,,,,balsikhar pravi,mauwa,tumbewa rural municipality,panchthar,koshi province,,,,pravi,balsikhar pr
1531,baraha aadharbhut bidhyalaya (0-5),shahichhap,1.0,353,barahapokhari rural municipality,5,khotang,1,koshi province,baraha pra v,,,baraha avi,shahichhap,barahapokhari rural municipality,khotang,koshi province,baraha pravi,,,avi,baraha
1532,baraha magargau aa vi,rumdu,1.0,353,barahapokhari rural municipality,5,khotang,1,koshi province,baraha magargau adhar vi,,,baraha magargau avi,rumdu,barahapokhari rural municipality,khotang,koshi province,baraha magargau adhar vi,,,avi,baraha magargau
1547,barnadevi basic school,dangsingtar,1.0,479,champadevi rural municipality,7,okhaldhunga,1,koshi province,barnadevi pra v,,,barnadevi avi,dangsingtar,champadevi rural municipality,okhaldhunga,koshi province,barnadevi pravi,,,avi,barnadevi
1549,barun adharbhut school,bhotkho]a,4.0,620,bhotkhola rural municipality,9,sankhuwasabha,1,koshi province,barun ni ma v,,,barun avi,bhotkho]a,bhotkhola rural municipality,sankhuwasabha,koshi province,barun nimavi,,,avi,barun
1566,basic school (0-5) kuvinde,khanbu,15.0,777,triyuga municipality,14,udayapur,1,koshi province,pra v kuvinde,,,avi kuvinde,khanbu,triyuga municipality,udayapur,koshi province,pravi kuvinde,,,avi,kuvinde
1574,basic school kumal pati,kumal,1.0,413,kerabari rural municipality,6,morang,1,koshi province,pra v kumalpati,,,avi kumal pati,kumal,kerabari rural municipality,morang,koshi province,pravi kumalpati,,,avi,kumal pati
1575,basic school sajbote,sajbote,4.0,778,udayapurgadhi rural municipality,14,udayapur,1,koshi province,basic school,aa v sajbote,pra v sajbote,avi sajbote,sajbote,udayapurgadhi rural municipality,udayapur,koshi province,avi,avi sajbote,pravi sajbote,avi,sajbote
1579,basuki basic school,tumau,4.0,710,mahakulung rural municipality,10,solukhumbu,1,koshi province,basuki pra v,,,basuki avi,tumau,mahakulung rural municipality,solukhumbu,koshi province,basuki pravi,,,avi,basuki
1583,bauddha basic school,chitrre danda,3.0,247,maijogmai rural municipality,3,ilam,1,koshi province,bauddha pra v,,,bauddha avi,chitrre danda,maijogmai rural municipality,ilam,koshi province,bauddha pravi,,,avi,bauddha
1607,besigau basic school,mikwakhola,2.0,759,mikwakhola rural municipality,12,taplejung,1,koshi province,besigau ni ma v,,,besigau avi,mikwakhola,mikwakhola rural municipality,taplejung,koshi province,besigau nimavi,,,avi,besigau
1622,bhagawati aa v,yarung,5.0,763,sirijangha rural municipality,12,taplejung,1,koshi province,bhagawati pra v,,,bhagawati avi,yarung,sirijangha rural municipality,taplejung,koshi province,bhagawati pravi,,,avi,bhagawati
1625,bhagawati aadharvut vidyalaya,harinagar,6.0,721,harinagar rural municipality,11,sunsari,1,koshi province,bhagawati pra v,,,bhagawati avi,harinagar,harinagar rural municipality,sunsari,koshi province,bhagawati pravi,,,avi,bhagawati
1626,bhagawati adhar v,nayabazar katahari,4.0,412,katahari rural municipality,6,morang,1,koshi province,,,,bhagawati avi,nayabazar katahari,katahari rural municipality,morang,koshi province,,,,avi,bhagawati
1634,bhagawati basic school,suryodaya municipality,1.0,251,suryodaya municipality,3,ilam,1,koshi province,bhagawati pra v,,,bhagawati avi,suryodaya municipality,suryodaya municipality,ilam,koshi province,bhagawati pravi,,,avi,bhagawati
1635,bhagawati basic school,buttabari,2.0,260,bahradashi rural municipality,4,jhapa,1,koshi province,bhagawati adharbhut vidhyalaya,bhagawati adhar v,,bhagawati avi,buttabari,bahradashi rural municipality,jhapa,koshi province,bhagawati avi,bhagawati avi,,avi,bhagawati
1639,bhagawati basic school,chuhandanda,6.0,765,aathrai rural municipality,13,tehrathum,1,koshi province,"bhagawati basic school atharai rural municipality-6, chuhandanda, tehrathum",bhagawati pra v,,bhagawati avi,chuhandanda,aathrai rural municipality,tehrathum,koshi province,bhagawati avi atharai rural municipality chuhandanda tehrathum,bhagawati pravi,,avi,bhagawati
1643,bhagawati basic school,pulung,6.0,625,madi municipality,9,sankhuwasabha,1,koshi province,bhagawati adhar v,,,bhagawati avi,pulung,madi municipality,sankhuwasabha,koshi province,bhagawati avi,,,avi,bhagawati
1644,bhagawati basic school,majhakhani,9.0,95,aamchowk rural municipality,1,bhojpur,1,koshi province,bhagawati adhar v,,,bhagawati avi,majhakhani,aamchowk rural municipality,bhojpur,koshi province,bhagawati avi,,,avi,bhagawati
1646,bhagawati basic school,pokhare,5.0,479,champadevi rural municipality,7,okhaldhunga,1,koshi province,bhagawati pra v,,,bhagawati avi,pokhare,champadevi rural municipality,okhaldhunga,koshi province,bhagawati pravi,,,avi,bhagawati
1650,bhagawati dinanath secondary school,khotang bajar,7.0,358,khotehang rural municipality,5,khotang,1,koshi province,bhagawati ma v,,,bhagawati dinanath ma vi,khotang bajar,khotehang rural municipality,khotang,koshi province,bhagawati ma vi,,,mavi,bhagawati dinanath ma vi
1674,bhagawati siddha pra v,paltar,8.0,246,mai municipality,3,ilam,1,koshi province,,,,bhagawati siddha pravi,paltar,mai municipality,ilam,koshi province,,,,pravi,bhagawati siddha pr
1676,bhagima pra vi,sungnam,6.0,767,laligurans municipality,13,tehrathum,1,koshi province,bhagima pra v,,,bhagima pravi,sungnam,laligurans municipality,tehrathum,koshi province,bhagima pravi,,,pravi,bhagima pr
1677,bhagirath secondary school,sanischare baazar jarayodol,4.0,416,pathari shanishchare municipality,6,morang,1,koshi province,bhagirath ma v,,,bhagirath ma vi,sanischare baazar jarayodol,pathari shanishchare municipality,morang,koshi province,bhagirath ma vi,,,mavi,bhagirath ma vi
1682,bhajan soba pra v,sukhubakoti,6.0,407,budhiganga rural municipality,6,morang,1,koshi province,,,,bhajan soba pravi,sukhubakoti,budhiganga rural municipality,morang,koshi province,,,,pravi,bhajan soba pr
1687,bhanjare  aa v,pedang,5.0,763,sirijangha rural municipality,12,taplejung,1,koshi province,bhanjare pra v,,,bhanjare avi,pedang,sirijangha rural municipality,taplejung,koshi province,bhanjare pravi,,,avi,bhanjare
1692,bhanu adhar v,diplung,6.0,356,jantedhunga rural municipality,5,khotang,1,koshi province,,,,bhanu avi,diplung,jantedhunga rural municipality,khotang,koshi province,,,,avi,bhanu
1696,bhanu basic  school,saimal,8.0,484,molung rural municipality,7,okhaldhunga,1,koshi province,bhanu pra v,,,bhanu avi,saimal,molung rural municipality,okhaldhunga,koshi province,bhanu pravi,,,avi,bhanu
1697,bhanu basic school,yangsibung,5.0,504,yangwarak rural municipality,8,panchthar,1,koshi province,bhanu ni ma v,,,bhanu avi,yangsibung,yangwarak rural municipality,panchthar,koshi province,bhanu nimavi,,,avi,bhanu
1701,bhanu basic school,pokhare,6.0,625,madi municipality,9,sankhuwasabha,1,koshi province,bhanu pra v,,,bhanu avi,pokhare,madi municipality,sankhuwasabha,koshi province,bhanu pravi,,,avi,bhanu
1703,bhanu bhakta  basic school,jhulkegham,5.0,251,suryodaya municipality,3,ilam,1,koshi province,bhanu bhakta pra v,,,bhanu bhakta avi,jhulkegham,suryodaya municipality,ilam,koshi province,bhanu bhakta pravi,,,avi,bhanu bhakta
1705,bhanu bhakta basic school,archale,5.0,100,ramprasad rai rural municipality,1,bhojpur,1,koshi province,bhanu bhakta pra v,,,bhanu bhakta avi,archale,ramprasad rai rural municipality,bhojpur,koshi province,bhanu bhakta pravi,,,avi,bhanu bhakta
1718,bhanu pra v,lungchowk,9.0,250,sandakpur rural municipality,3,ilam,1,koshi province,,,,bhanu pravi,lungchowk,sandakpur rural municipality,ilam,koshi province,,,,pravi,bhanu pr
1725,bhanubhakta aadarsha basic school,dithara,6.0,98,hatuwagadhi rural municipality,1,bhojpur,1,koshi province,bhanubhakta aadarsha aa vi,bhanubhakta aadarsha ni ma,,bhanubhakta aadarsha avi,dithara,hatuwagadhi rural municipality,bhojpur,koshi province,bhanubhakta aadarsha avi,bhanubhakta aadarsha ni ma,,avi,bhanubhakta aadarsha
1727,bhanubhakta basic school,maden,3.0,167,sangurigadhi rural municipality,2,dhankuta,1,koshi province,bhanu bhakta ni ma v,,,bhanubhakta avi,maden,sangurigadhi rural municipality,dhankuta,koshi province,bhanu bhakta nimavi,,,avi,bhanubhakta
1728,bhanubhakta basic school,bangduwa,1.0,353,barahapokhari rural municipality,5,khotang,1,koshi province,bhanu bhakta aa vi (0-8),bhanu bhakta adhar v,,bhanubhakta avi,bangduwa,barahapokhari rural municipality,khotang,koshi province,bhanu bhakta avi,bhanu bhakta avi,,avi,bhanubhakta
1730,bhanudaya adhar v,sandakpur ilam,5.0,250,sandakpur rural municipality,3,ilam,1,koshi province,,,,bhanudaya avi,sandakpur ilam,sandakpur rural municipality,ilam,koshi province,,,,avi,bhanudaya
1747,bhawani basic school,bhawanipur,6.0,720,gadhi rural municipality,11,sunsari,1,koshi province,bhawani pra v,,,bhawani avi,bhawanipur,gadhi rural municipality,sunsari,koshi province,bhawani pravi,,,avi,bhawani
1751,bhawari devi aa vi,katari,5.0,773,katari municipality,14,udayapur,1,koshi province,bhawari devi basic school[1-8],bhabari devi basic school[1-8],bhabari devi ni ma v,bhawari devi avi,katari,katari municipality,udayapur,koshi province,bhawari devi avi[ ],bhabari devi avi[ ],bhabari devi nimavi,avi,bhawari devi
1752,bheemadarsha pra v,khachapu,3.0,483,manebhanjyang rural municipality,7,okhaldhunga,1,koshi province,,,,bheemadarsha pravi,khachapu,manebhanjyang rural municipality,okhaldhunga,koshi province,,,,pravi,bheemadarsha pr
1760,bhimkanya basic school (1-5),rajapani,11.0,355,halesi tuwachung municipality,5,khotang,1,koshi province,bhimkanya pra v,,,bhimkanya avi,rajapani,halesi tuwachung municipality,khotang,koshi province,bhimkanya pravi,,,avi,bhimkanya
1766,bhimsensthan adhar v,mude tingla,11.0,712,solududhakunda municipality,10,solukhumbu,1,koshi province,,,,bhimsensthan avi,mude tingla,solududhakunda municipality,solukhumbu,koshi province,,,,avi,bhimsensthan
1769,bhimsun pra v,maimajhuwa,3.0,250,sandakpur rural municipality,3,ilam,1,koshi province,,,,bhimsun pravi,maimajhuwa,sandakpur rural municipality,ilam,koshi province,,,,pravi,bhimsun pr
1771,bhirgaun basic school,papung,5.0,759,mikwakhola rural municipality,12,taplejung,1,koshi province,bhirgaun pra v,,,bhirgaun avi,papung,mikwakhola rural municipality,taplejung,koshi province,bhirgaun pravi,,,avi,bhirgaun
