school_id_A,school_id_B,root_school_name_A,root_school_name_B,school_level_A,school_level_B,district_A,district_B,Fuzzy_match_score,Match_Type
1,12428,janapriya,jana priya,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
2,11142,chenakhama,chhenkhama,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
3,11716,gograha,gograha,mavi,mavi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
4,62967,shri shamkara,shiv shankar,mavi,mavi,tanahun,jajarkot,2.5,"District: no match, School level: complete, Root name: complete"
5,12346,janajagrriti,jana jagriti,mavi,mavi,tanahun,solukhumbu,2.5,"District: no match, School level: complete, Root name: complete"
6,1108,da~nasi~najare,aitabare,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
7,14464,cha~nachaha~nga,pancha kanya,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
8,11060,kheshvara,chandeshwary,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
9,11513,durgeshvari,durgeshwori,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
10,42934,pavitra,pabitra,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
11,42659,mitrata,mitrata,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
12,42659,mitrata,mitrata,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
13,15242,saleva,salewa,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
14,12169,jalpa,jalapa,nimavi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
15,1393,balakanya,bal kanya,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
16,12252,jalpa,jalpa,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
17,12119,jagadishvari,jagadishwary,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
18,34887,pa~nchakanya,panchakanya,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
19,31055,virendra adarsha,birendra adarsha,mavi,mavi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
20,11059,chandeshvara,chandeshwari,mavi,mavi,bhojpur,okhaldhunga,2.5,"District: no match, School level: complete, Root name: complete"
21,14458,pa~nchakanya,pancha kanya,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
22,11146,chinta~na devi,chhintangdevi,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
23,1758,bhimeshvari,bhimeshwori,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
24,15543,sarasvati,saraswati,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
25,41719,janajyoti,jana jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
26,42297,kyaminakota,kyaminkot,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
27,4545,bhavani,bhawani,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
28,16646,siddheshvara,siddheshwari,avi,avi,lalitpur,ilam,2.5,"District: no match, School level: complete, Root name: complete"
29,11069,chandi,chandi,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
30,12169,jalapa,jalapa,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
31,15850,shitaladevi,shitala devi,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
32,16712,simha bahini,singha bahini,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
33,32558,jagrriti,jagriti,mavi,mavi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
34,42906,nirmala,nirmal,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
35,4140,annapurna,annapurna,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
36,1759,simha jaleshvari,bhimeshwori,nimavi,avi,bhojpur,bhojpur,1.5,"District: complete, School level: no match, Root name: partial"
37,15302,sa~ngarumba,sangrumba,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
38,12862,jivanajyoti,jiwan jyoti,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
40,16573,simhadevi,siddha devi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
39,15850,sitala devi,shitala devi,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
41,1834,vijaya,bijaya,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
42,13015,kalika,kalika,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
43,179,,,avi,avi,siraha,sunsari,2.5,"District: no match, School level: complete, Root name: complete"
44,42006,jharagau,jhargaun,pravi,avi,tanahun,tanahun,2.5,"District: complete, School level: no match, Root name: complete"
45,12911,jyoti,jyoti,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
46,12911,jyati,jyoti,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
47,17258,timma,timma,pravi,mavi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
48,13638,pancha kanya,maha kanya,pravi,pravi,panchthar,khotang,2.5,"District: no match, School level: complete, Root name: complete"
49,14424,pa~nchakanya,pancha kanya,avi,avi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
50,130,vani,adarniya,mavi,mavi,siraha,ilam,1.5,"District: no match, School level: complete, Root name: partial"
51,4900,chimkeshvari,chimkeshwori,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
52,4884,chimkeshvari,chhimkeshwary,nimavi,mavi,tanahun,tanahun,2.5,"District: complete, School level: no match, Root name: complete"
53,15028,rashtiya,rastriya,nimavi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
54,13287,kiramteshvara,kumitar,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
55,12131,jalakanya,jal kanya,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
56,130,adaraniya,adarniya,nimavi,mavi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
57,12395,janakalyana,jana kalyan,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
58,13683,millachoka,mahakali,nimavi,nimavi,ilam,sankhuwasabha,1.5,"District: no match, School level: complete, Root name: partial"
59,12405,janakalyana,jana kalyan,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
60,16676,shikshakshamakanya,siksha kshamakanya,pravi,mavi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
62,13270,krrishna,krishna,pravi,pravi,morang,morang,3.0,"District: complete, School level: complete, Root name: complete"
61,1654,balamiteri,bhagawati,mavi,mavi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
63,437,akala,akala,avi,avi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
64,1562,shri,basbari,mavi,mavi,chitwan,jhapa,1.5,"District: no match, School level: complete, Root name: partial"
66,11356,dhapakharka,dhap kharka,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
65,13189,khartancha,khartamchha,nimavi,mavi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
67,14464,pa~nchakanya,pancha kanya,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
68,475,amara jyoti,amar jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
69,12386,jana kalyana,jana kalyan,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
70,1992,vidyadhari,buddha,pravi,pravi,bhojpur,bhojpur,2.0,"District: complete, School level: complete, Root name: partial"
71,11331,devithana,devithan,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
72,478,amarajyoti,amar jyoti,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
74,41602,nala devi,jal devi,pravi,pravi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
73,130,varabhanjya,adarniya,nimavi,mavi,ilam,ilam,1.5,"District: complete, School level: no match, Root name: partial"
75,41059,dharma,dharma,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
76,13942,miklacho,miklachong,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
77,1994,buddha,buddha,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
78,11640,ratna devi,ganga devi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
79,11605,gajuramukhi,gajurmukhi,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
80,12258,jalapa,jalpa,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
82,16666,siddhi vinayaka,siddhi binayak,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
81,12207,simheshvari,jaleswari,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
84,11321,devi,devi,pravi,pravi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
83,71044,dobhana,doblanga,pravi,pravi,ilam,dadeldhura,2.5,"District: no match, School level: complete, Root name: complete"
86,1816,vidya,bidya,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
85,140,iraumtara,adarsha,avi,avi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
87,13775,maheshvara,maheshwara,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
88,11327,vikri,devismrity,pravi,pravi,ilam,ilam,2.0,"District: complete, School level: complete, Root name: partial"
89,1652,bhagavati,bhagawati,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
90,11294,deurali,deurali,pravi,pravi,ilam,dhankuta,2.5,"District: no match, School level: complete, Root name: complete"
92,167,adarsha,adarsha,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
91,140,adarsha,adarsha,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
93,14275,nepalatara,nepaltar,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
94,11463,drripadavi,dripa devi,pravi,avi,ilam,ilam,2.5,"District: complete, School level: no match, Root name: complete"
95,34943,pashupati kanya mandira,pashupati kanya mandir,mavi,mavi,dolakha,dolakha,3.0,"District: complete, School level: complete, Root name: complete"
96,12360,nava jyoti,jana jyoti,avi,avi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
97,1665,bhagavati,bhagawati,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
98,1665,bhagavati,bhagawati,mavi,mavi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
99,11996,himali,himali,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
100,13743,mahendra ratna,mahendra ratna,mavi,mavi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
101,42131,kalika,kalika,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
102,16594,siddhamahakali,siddha kali,mavi,mavi,tanahun,panchthar,2.5,"District: no match, School level: complete, Root name: complete"
103,13390,lakshmi narayana,laxmi narayan,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
104,14905,rachana,rachana,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
105,12259,jalpa,jalpa,pravi,pravi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
106,13150,kataka,kataka,mavi,mavi,bhojpur,bhojpur,3.0,"District: complete, School level: complete, Root name: complete"
107,42992,paravati,parbati,mavi,mavi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
108,12901,jyoti,jyoti,pravi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
109,13670,simhadevi,mahadevi,mavi,avi,bhojpur,bhojpur,2.5,"District: complete, School level: no match, Root name: complete"
110,42336,lakshmi,laxmi,mavi,mavi,syangja,syangja,2.0,"District: complete, School level: complete, Root name: partial"
