school_id,school_1,school_id_B,name,district_id,district_id,Matched_District,root_school_name,School_name_transliterated,School_level,school_levels,School_name,Fuzzy_match_score,Match_Type
1,जनप्रिय प्रावि भोजपुर,12428,jana priya pra v,1,1,bhojpur,jana priya,janapriya,प्रावि,pravi,जनप्रिय,3.0,"District: complete, School level: complete, Root name: complete"
2,छेनखामा प्रावि भोजपुर,11142,chhenkhama basic school,1,1,bhojpur,chhenkhama,chenakhama,प्रावि,avi,छेनखामा,2.5,"District: complete, School level: no match, Root name: complete"
4,श्री शंकर मावि गजरकोट तनहुँँ,6928,hari shankar basic school,46,64,tanahun,hari shankar,shri shamkara,मावि,avi,श्री शंकर,2.0,"District: no match, School level: no match, Root name: complete"
3,गोग्राहा मावि विराटनगर मोरङ,199,ahale primary school,6,6,morang,ahale,gograha,मावि,pravi,गोग्राहा,1.5,"District: complete, School level: no match, Root name: partial"
5,जनजागृति मावि तनहुँँ,41671,jana jagriti basic school,46,46,tanahun,jana jagriti,janajagrriti,मावि,avi,जनजागृति,2.5,"District: complete, School level: no match, Root name: complete"
6,दाङसिङजरे प्रावि भोजपुर,1108,aitabare pra v,1,1,bhojpur,aitabare,da~nasi~najare,प्रावि,pravi,दाङसिङजरे,2.0,"District: complete, School level: complete, Root name: partial"
7,छाङछाहाङ्ग प्रावि भोजपुर,14464,pancha kanya pra v,1,1,bhojpur,pancha kanya,cha~nachaha~nga,प्रावि,pravi,छाङछाहाङ्ग,2.0,"District: complete, School level: complete, Root name: partial"
8,खेश्वर प्रावि भोजपुर,11060,chandeshwary  pra vi,1,1,bhojpur,chandeshwary,kheshvara,प्रावि,pravi,खेश्वर,2.0,"District: complete, School level: complete, Root name: partial"
9,दुर्गेश्वरी प्रावि भोजपुर,11513,durgeshwori pra v,1,1,bhojpur,durgeshwori,durgeshvari,प्रावि,pravi,दुर्गेश्वरी,3.0,"District: complete, School level: complete, Root name: complete"
10,पवित्रा मावि बन्दिपुर तनहुँँ,14396,pabitra basic school,46,8,tanahun,pabitra,pavitra,मावि,avi,पवित्रा,2.0,"District: no match, School level: no match, Root name: complete"
11,मित्रता मावि तनहुँ,34200,mitra basic school,46,23,tanahun,mitra,mitrata,मावि,avi,मित्रता,2,"District: no match, School level: no match, Root name: complete"
12,मित्रता मावि आँबुखैरेनी तनहुँ,34200,mitra basic school,46,23,tanahun,mitra,mitrata,मावि,avi,मित्रता,2,"District: no match, School level: no match, Root name: complete"
14,जाल्पा निमावि भौसिपंखा भोजपुर,12169,jalapa basic school,1,1,bhojpur,jalapa,jalpa,निमावि,avi,जाल्पा,2.5,"District: complete, School level: no match, Root name: complete"
13,सालेवा मावि देाभाने भोजपुर,12169,jalapa basic school,1,1,bhojpur,jalapa,saleva,मावि,avi,सालेवा,1.5,"District: complete, School level: no match, Root name: partial"
15,बालकन्या प्रावि भोजपुर,1393,bal kanya pra v,1,1,bhojpur,bal kanya,balakanya,प्रावि,pravi,बालकन्या,3.0,"District: complete, School level: complete, Root name: complete"
16,जाल्पा मावि भोजपुर,12169,jalapa basic school,1,1,bhojpur,jalapa,jalpa,मावि,avi,जाल्पा,2.5,"District: complete, School level: no match, Root name: complete"
17,जगदीश्वरी प्रावि भोजपुर,12119,jagadishwary primary school,1,1,bhojpur,jagadishwary,jagadishvari,प्रावि,pravi,जगदीश्वरी,3.0,"District: complete, School level: complete, Root name: complete"
