shri durga,3,63,surki
pravi,2,53,barahakhuri
unikota,4,73,
kalika,4,13,jirikhimti
lakshmi,4,5,badahare
kushma,1,50,
sevigamga,2,39,
adarshasaula vumgamati,0,74,
khagendra,2,66,cha.nyakshetra ranagau.n
tedi,4,75,
balabhadra janata,4,4,dhaijana
ratna rajya,4,48,mukundapura
shaileshvara,3,76,
prrithvinarayana,4,23,tarakeshvara
jaegavani,4,52,
baladena,4,12,
shri,4,20,sonigama
kamkalani,4,21,portaha
janajagrriti,1,29,bhalukhola
shanti,3,42,
siddhanatha,4,73,chandani
samaiji,4,76,
dumariya,2,20,
prabhata,4,46,bhanu na pa simpani
mavi,4,70,ranivumga
nepala rashtiraya,2,16,vijulapura
adarsha,4,9,kha.ndavari
valakumari,4,25,sunakothi
bhalama,2,38,
balabikasha,3,23,
indra,3,6,
jogavani,2,52,
kalika,3,13,purundina solma
jyoti,4,26,mahabharata
janata,4,14,laphaga.nu
da~nasi~na,4,30,da~nasi~na
chandrodaya,2,4,arjunadhara
haku,4,34,thulo haku
shri vijayasaini,4,73,chamachauda
sa~ngarumba,4,3,sa~ngarumba
malika,3,71,rilu
lekalupuda,4,70,vi
latinatha,4,70,
udaya,4,38,
pagini,2,50,
shri jayaganapati,2,46,
mahendra,4,14,rasuva pokhari
dhaulapura,2,72,
jagannatha,4,67,
sirjanashila janata,4,26,
sharada,3,39,
shri durga,3,63,surki
pravi,2,53,barahakhuri
unikota,4,73,
kalika,4,13,jirikhimti
lakshmi,4,5,badahare
kushma,1,50,
sevigamga,2,39,
adarshasaula vumgamati,0,74,
khagendra,2,66,cha.nyakshetra ranagau.n
tedi,4,75,
balabhadra janata,4,4,dhaijana
ratna rajya,4,48,mukundapura
shaileshvara,3,76,
prrithvinarayana,4,23,tarakeshvara
jaegavani,4,52,
baladena,4,12,
shri,4,20,sonigama
kamkalani,4,21,portaha
janajagrriti,1,29,bhalukhola
shanti,3,42,
siddhanatha,4,73,chandani
samaiji,4,76,
dumariya,2,20,
prabhata,4,46,bhanu na pa simpani
mavi,4,70,ranivumga
nepala rashtiraya,2,16,vijulapura
adarsha,4,9,kha.ndavari
valakumari,4,25,sunakothi
bhalama,2,38,
balabikasha,3,23,
indra,3,6,
jogavani,2,52,
kalika,3,13,purundina solma
jyoti,4,26,mahabharata
janata,4,14,laphaga.nu
da~nasi~na,4,30,da~nasi~na
chandrodaya,2,4,arjunadhara
haku,4,34,thulo haku
shri vijayasaini,4,73,chamachauda
sa~ngarumba,4,3,sa~ngarumba
malika,3,71,rilu
lekalupuda,4,70,vi
latinatha,4,70,
udaya,4,38,
pagini,2,50,
shri jayaganapati,2,46,
mahendra,4,14,rasuva pokhari
dhaulapura,2,72,
jagannatha,4,67,
sirjanashila janata,4,26,
sharada,3,39,
shrimati lakshmi devi janata,4,18,gamhariya
navajagarana,4,48,
kira~nchoka katunje,4,31,
dhuru~nkha,4,45,
hiyalala,4,21,shambhunatha na pa
saptakanya,2,37,saurapani
School_name_transliterated,School_level_transliterated,district_id,Location_1_transliterated
shri durga,3,63,surki
pravi,2,53,barahakhuri
unikota,4,73,
kalika,4,13,jirikhimti
School_name_transliterated,School_level_transliterated,district_id,Location_1_transliterated
shri durga,3,63,surki
pravi,2,53,barahakhuri
unikota,4,73,
kalika,4,13,jirikhimti
School_name_transliterated,School_level_transliterated,district_id,Location_1_transliterated
nepala rashtiya,2,16,musaharna
bhagavati,1,42,
shri durga,3,63,surki
pravi,2,53,barahakhuri
krrishepu,2,7,
shri laliguramsa,2,52,
unikota,4,73,
balahita,2,52,
kalika,4,13,jirikhimti
lakshmi,4,5,badahare
kushma,1,50,
sevigamga,2,39,
adarshasaula vumgamati,0,74,
khagendra,2,66,cha.nyakshetra ranagau.n
