shree medhawi ebs,0,6,,,gramthan rural napa
balbalika smriti,1,11,balbalika smriti pravi,,ramdhuni napa
a one quality vi,0,6,,,biratnagar napa city
a one montessori,1,4,,,damak napa
churumpha,1,14,nimavi churumpha,,udayapurgadhi rural napa
murme,1,14,avi murme,nimavi murme,udayapurgadhi rural napa
titribote,1,14,pravi titribote,,belaka napa
ratmate,1,14,avi ratmate,nimavi ratmate,triyuga napa
aadarsha  satpatre,1,14,,,belaka napa
aadarsha gyankunja academy,0,1,,,bhojpur napa
aadarsha ma ebs,0,6,,,belbari napa
hardiya dharan sunsari nepal,1,11,avi hardiya dharan,avi hardiya,dharan sub napa city
aa vi khairaha,0,14,pravi khairaha,,chaudandigadhi napa
bardanda,1,14,pravi bardanda,,katari napa
lekhgaun,1,14,shree avi lekhgaun,pravi lekhgau,tapli rural napa
aagyansag gumba,2,5,aagyansag gumba pravi,,ainselukharka rural napa
aamgachhi,2,4,amgachhi pravi,,gauriganj rural napa
aanandeshwor gurukul pathsala,0,4,,,buddhashanti rural napa
aapdanda babike,0,12,,,sirijangha rural napa
aarambha vidya mandir,0,11,l n memorial model ebs,,ramdhuni napa
aaramva bal sikshalaya ebs,0,4,,,bahradashi rural napa
aaruni ebs,0,4,aaaruni english boarding vi,aruni ebs,kachankawal rural napa
aasha academy sunsari,0,11,,,dharan sub napa city
aashin  koshi rural municipality sunsari,1,11,aashin pravi,,koshi rural napa
abacus ebs birtamode,2,4,gyan jyoti ebs,,birtamod napa
abacus ebs,0,4,abakash ebs,,birtamod napa
abha english ma ebs,0,6,abha english ma boarding vi,,budhiganga rural napa
abhijeet dutta,1,6,abijit dtta pravi,,rangeli napa
acme academy,0,14,,,triyuga napa
adarniya ma vi,0,3,adarniya avi,,sandakpur rural napa
adarsa,1,6,adarsa pravi,,sundarharaincha napa
adarsha ma vi,0,4,adarsha uchha ma vi,,buddhashanti rural napa
adarsha ma vi,0,11,adarsha u ma vi,,ramdhuni napa
adarsha ma vi,0,11,adarsha ma vi,adarsha uchha ma vi,barahkshetra napa
adarsha,1,4,adarsha pravi,,buddhashanti rural napa
adarsha,1,9,adarsha pravi,,makalu rural napa
adarsha,1,14,adarsha pravi apraha,,chaudandigadhi napa
adarsha balika ma vi,0,6,adarsha balika ma vi,,biratnagar napa city
adarsha a,0,7,adarsha pravi,,khijidemba rural napa
adarsha,1,3,adarsha a via,adarsha pravi,mai napa
adarsha,1,3,adarsha avi,,ilam napa
adarsha,1,3,adarsha pravi,,suryodaya napa
adarsha,1,11,adarsha avi,adarsha pravi,bhokraha narsing rural napa
adarsha,1,7,adarsha pravi,,siddhicharan napa
adarsha,1,12,adarsha pravi,,sirijangha rural napa
