school_id	school_transliterated	school_1_transliterated	School_level_transliterated	School_name_transliterated	Location_transliterated	Potential_district_transliterated	Location_1_transliterated
1	janapriya pra vi, bhojapura	janapriya pravi bhojapura	pravi	janapriya	bhojapura	bhojapura	
2	chenakhama prathamika vidyalaya bhojapura	chenakhama pravi bhojapura	pravi	chenakhama	bhojapura	bhojapura	
3	gograha madhyamika vidyalaya, viratanagara, mora~na	gograha mavi viratanagara mora~na	mavi	gograha	viratanagara mora~na	mora~na	viratanagara
4	shri shamkara madhyamika vidyalaya, gajarakota, tanahu.n	shri shamkara mavi gajarakota tanahu.n.n	mavi	shri shamkara	gajarakota tanahu.n.n	tanahu.n.n	gajarakota
5	janajagrriti madhyamika vidhalaya, tanahu.n	janajagrriti mavi tanahu.n.n	mavi	janajagrriti	tanahu.n.n	tanahu.n.n	
6	da~nasi~najare pra vi, bhojapura	da~nasi~najare pravi bhojapura	pravi	da~nasi~najare	bhojapura	bhojapura	
7	cha~nachaha~nga prathamika vidhalaya, bhojapura	cha~nachaha~nga pravi bhojapura	pravi	cha~nachaha~nga	bhojapura	bhojapura	
8	kheshvara pra vi, bhojapura	kheshvara pravi bhojapura	pravi	kheshvara	bhojapura	bhojapura	
9	durgeshvari pra vi, bhojapura	durgeshvari pravi bhojapura	pravi	durgeshvari	bhojapura	bhojapura	
10	pavitra madhyamika vidyalaya, bandipura, tanahu.n	pavitra mavi bandipura tanahu.n.n	mavi	pavitra	bandipura tanahu.n.n	tanahu.n.n	bandipura
11	mitrata ma bi, tanahu	mitrata mavi tanahu.n	mavi	mitrata	tanahu.n	tanahu.n	
12	mitrata madhyamika vidyalaya, a.nbukhaireni, tanahu.n	mitrata mavi a.nbukhaireni tanahu.n	mavi	mitrata	a.nbukhaireni tanahu.n	tanahu.n	a.nbukhaireni
13	saleva madhyamika vidyalaya, deabhane bhojapura	saleva mavi deabhane bhojapura	mavi	saleva	deabhane bhojapura	bhojapura	deabhane
14	jalpa nimna madhyamika vidhalaya bhausipamkha bhojapura	jalpa nimavi bhausipamkha bhojapura	nimavi	jalpa	bhausipamkha bhojapura	bhojapura	bhausipamkha
15	balakanya prathamika vidyalaya, bhojapura	balakanya pravi bhojapura	pravi	balakanya	bhojapura	bhojapura	
16	jalpa madhyamika vidyalaya, bhojapura	jalpa mavi bhojapura	mavi	jalpa	bhojapura	bhojapura	
17	jagadishvari pra vi, bhojapura	jagadishvari pravi bhojapura	pravi	jagadishvari	bhojapura	bhojapura	
18	pa~nchakanya madhyamika vidyalaya, chitavana	pa~nchakanya mavi chitavana	mavi	pa~nchakanya	chitavana	chitavana	
19	virendra adarsha madhyamika vidyalaya, virendranagara chitavana	virendra adarsha mavi virendranagara chitavana	mavi	virendra adarsha	virendranagara chitavana	chitavana	virendranagara
20	chandeshvara madhyamika vidyalaya, balamkha, bhojapura	chandeshvara mavi balamkha bhojapura	mavi	chandeshvara	balamkha bhojapura	bhojapura	balamkha
21	pa~nchakanya madhyamika vidyalaya bhojapura	pa~nchakanya mavi bhojapura	mavi	pa~nchakanya	bhojapura	bhojapura	
22	chinta~na devi adharabhuta vidyalaya, bhojapura	chinta~na devi avi bhojapura	avi	chinta~na devi	bhojapura	bhojapura	
23	bhimeshvari adharabhuta vidyalaya, bhojapura	bhimeshvari avi bhojapura	avi	bhimeshvari	bhojapura	bhojapura	
24	sarasvati prathamika vidhalaya taksara bhojapura	sarasvati pravi taksara bhojapura	pravi	sarasvati	taksara bhojapura	bhojapura	taksara
25	janajyoti pra vi, tanahu	janajyoti pravi tanahu.n	pravi	janajyoti	tanahu.n	tanahu.n	
26	kyaminakota madhyamika vidyalaya, tanahu.n	kyaminakota mavi tanahu.n	mavi	kyaminakota	tanahu.n	tanahu.n	
27	bhavani prathamika vidyalaya, vyasa, tanahu.n	bhavani pravi vyasa tanahu.n	pravi	bhavani	vyasa tanahu.n	tanahu.n	vyasa
28	siddheshvara adharabhuta vidyalaya, godavari, lalitapura	siddheshvara avi godavari lalitapura	avi	siddheshvara	godavari lalitapura	lalitapura	godavari
29	chandi adharabhuta vidyalaya bhojapura	chandi avi bhojapura	avi	chandi	bhojapura	bhojapura	
30	jalapa adharabhuta vidyalaya -ya~na tharpu, bhojapura	jalapa avi ya~na tharpu bhojapura	avi	jalapa	ya~na tharpu bhojapura	bhojapura	ya~na tharpu
31	shitaladevi pra vi, bhojapura	shitaladevi pravi bhojapura	pravi	shitaladevi	bhojapura	bhojapura	
32	simha bahini prathamika vidyalaya bhojapura na॰pa॰, bhojapura	simha bahini pravi bhojapura na pa bhojapura	pravi	simha bahini	bhojapura na pa bhojapura	bhojapura	bhojapura na pa
33	jagrriti ma॰vi, bhaktapura	jagrriti mavi bhaktapura	mavi	jagrriti	bhaktapura	bhaktapura	
34	nirmala pra vi, tanahu	nirmala pravi tanahu.n	pravi	nirmala	tanahu.n	tanahu.n	
35	annapurna prathamika vidyalaya, tanahu.n	annapurna pravi tanahu.n.n	pravi	annapurna	tanahu.n.n	tanahu.n.n	
36	simha jaleshvari nimna madhyamika vidhalaya tivaribha~njya~na bhojapura	simha jaleshvari nimavi tivaribha~njya~na bhojapura	nimavi	simha jaleshvari	tivaribha~njya~na bhojapura	bhojapura	tivaribha~njya~na
37	sa~ngarumba u॰ madhyamika vidhalaya, sa~ngarumba -3 ilama	sa~ngarumba mavi sa~ngarumba ilama	mavi	sa~ngarumba	sa~ngarumba ilama	ilama	sa~ngarumba
38	jivanajyoti madhyamika vidyalaya, ilama	jivanajyoti mavi ilama	mavi	jivanajyoti	ilama	ilama	
39	sitala devi pra॰vi॰ tivari bha~nja~na, bhojapura	sitala devi pravi tivari bha~nja~na bhojapura	pravi	sitala devi	tivari bha~nja~na bhojapura	bhojapura	tivari bha~nja~na
40	simhadevi adharabhuta vidyalaya, ilama	simhadevi avi ilama	avi	simhadevi	ilama	ilama	
41	vijaya adharabhuta vidyalaya amachoka, ilama	vijaya avi amachoka ilama	avi	vijaya	amachoka ilama	ilama	amachoka
42	kalika madhyamika vidhalaya helaucha bhojapura	kalika mavi helaucha bhojapura	mavi	kalika	helaucha bhojapura	bhojapura	helaucha
43	adharabhuta vidyalaya kattitola, lagadi gadiyani, siraha	avi kattitola lagadi gadiyani siraha	avi	avi	kattitola lagadi gadiyani siraha	siraha	kattitola lagadi gadiyani
44	jharagau pra vi, tanahu	jharagau pravi tanahu.n	pravi	jharagau	tanahu.n	tanahu.n	
45	jyoti pra॰vi, bhojapura	jyoti pravi bhojapura	pravi	jyoti	bhojapura	bhojapura	
46	jyati prathamika vidhalaya thulodamma bhojapura	jyati pravi thulodamma bhojapura	pravi	jyati	thulodamma bhojapura	bhojapura	thulodamma
47	timma pra॰vi, bhojapura	timma pravi bhojapura	pravi	timma	bhojapura	bhojapura	
48	pancha kanya prathamika vidhalaya bhalajite, taksara-9	pancha kanya pravi bhalajite taksara	pravi	pancha kanya	bhalajite taksara	taksara	bhalajite
49	pa~nchakanya adharabhuta vidyalaya, yaku katti, bhojapura	pa~nchakanya avi yaku katti bhojapura	avi	pa~nchakanya	yaku katti bhojapura	bhojapura	yaku katti
50	vani madhyamika vidyalaya, sidharaha, mora~na	vani mavi sidharaha mora~na	mavi	vani	sidharaha mora~na	mora~na	sidharaha
51	chimkeshvari pra bi, tanahu	chimkeshvari pravi tanahu.n	pravi	chimkeshvari	tanahu.n	tanahu.n	
52	chimkeshvari ni ma vi, tanahu	chimkeshvari nimavi tanahu.n	nimavi	chimkeshvari	tanahu.n	tanahu.n	
53	rashtiya nimna madhyamika vidhalaya soya~na, ilama	rashtiya nimavi soya~na ilama	nimavi	rashtiya	soya~na ilama	ilama	soya~na
54	kiramteshvara pra॰vi॰, ilama	kiramteshvara pravi ilama	pravi	kiramteshvara	ilama	ilama	
55	jalakanya adharabhuta vidyalaya, phakaphokathuma ga॰pa॰, ilama	jalakanya avi phakaphokathuma ga pa ilama	avi	jalakanya	phakaphokathuma ga pa ilama	ilama	phakaphokathuma ga pa
56	adaraniya nimna madhyamika vidhalaya, ilama	adaraniya nimavi ilama	nimavi	adaraniya	ilama	ilama	
57	janakalyana pra॰vi॰dokanada.nda, ilama	janakalyana pravi dokanada.nda ilama	pravi	janakalyana	dokanada.nda ilama	ilama	dokanada.nda
58	millachoka ni॰ ma॰bi, ilama	millachoka nimavi ilama	nimavi	millachoka	ilama	ilama	
59	janakalyana prathamika vidhalaya amteka bhojapura	janakalyana pravi amteka bhojapura	pravi	janakalyana	amteka bhojapura	bhojapura	amteka
60	shikshakshamakanya pra॰vi, bhojapura	shikshakshamakanya pravi bhojapura	pravi	shikshakshamakanya	bhojapura	bhojapura	
61	balamiteri madhyamika vidyalaya, bhojapura	balamiteri mavi bhojapura	mavi	balamiteri	bhojapura	bhojapura	
62	krrishna prathamika vidyalaya leta~na, mora~na	krrishna pravi leta~na mora~na	pravi	krrishna	leta~na mora~na	mora~na	leta~na
63	akala adharabhuta vidyalaya tanahu.n	akala avi tanahu.n.n	avi	akala	tanahu.n.n	tanahu.n.n	
64	shri madhyamika vidyalaya, lamku bahghare, chitavana	shri mavi lamku bahghare chitavana	mavi	shri	lamku bahghare chitavana	chitavana	lamku bahghare
