School_level_transliterated,School_name_transliterated,Potential_district_transliterated,Location_1_transliterated,Matched_District
2,janapriya,bhojapura,,Bhojpur
2,chenakhama,bhojapura,,Bhojpur
4,gograha,mora~na,viratanagara,Morang
4,shri shamkara,tanahu.n.n,gajarakota,Tanahun
4,janajagrriti,tanahu.n.n,,Tanahun
2,da~nasi~najare,bhojapura,,Bhojpur
2,cha~nachaha~nga,bhojapura,,Bhojpur
2,kheshvara,bhojapura,,Bhojpur
2,durgeshvari,bhojapura,,Bhojpur
4,pavitra,tanahu.n.n,bandipura,Tanahun
4,mitrata,tanahu.n,,Tanahun
4,mitrata,tanahu.n,a.nbukhaireni,Tanahun
4,saleva,bhojapura,deabhane,Bhojpur
3,jalpa,bhojapura,bhausipamkha,Bhojpur
2,balakanya,bhojapura,,Bhojpur
4,jalpa,bhojapura,,Bhojpur
2,jagadishvari,bhojapura,,Bhojpur
4,pa~nchakanya,chitavana,,Chitwan
4,virendra adarsha,chitavana,virendranagara,Chitwan
4,chandeshvara,bhojapura,balamkha,Bhojpur
4,pa~nchakanya,bhojapura,,Bhojpur
1,chinta~na devi,bhojapura,,Bhojpur
1,bhimeshvari,bhojapura,,Bhojpur
2,sarasvati,bhojapura,taksara,Bhojpur
2,janajyoti,tanahu.n,,Tanahun
4,kyaminakota,tanahu.n,,Tanahun
2,bhavani,tanahu.n,vyasa,Tanahun
1,siddheshvara,lalitapura,godavari,Lalitpur
1,chandi,bhojapura,,Bhojpur
1,jalapa,bhojapura,ya~na tharpu,Bhojpur
2,shitaladevi,bhojapura,,Bhojpur
2,simha bahini,bhojapura,bhojapura na pa,Bhojpur
4,jagrriti,bhaktapura,,Bhaktapur
2,nirmala,tanahu.n,,Tanahun
2,annapurna,tanahu.n.n,,Tanahun
3,simha jaleshvari,bhojapura,tivaribha~njya~na,Bhojpur
4,sa~ngarumba,ilama,sa~ngarumba,Ilam
4,jivanajyoti,ilama,,Ilam
2,sitala devi,bhojapura,tivari bha~nja~na,Bhojpur
1,simhadevi,ilama,,Ilam
1,vijaya,ilama,amachoka,Ilam
4,kalika,bhojapura,helaucha,Bhojpur
1,avi,siraha,kattitola lagadi gadiyani,Siraha
2,jharagau,tanahu.n,,Tanahun
2,jyoti,bhojapura,,Bhojpur
2,jyati,bhojapura,thulodamma,Bhojpur
2,timma,bhojapura,,Bhojpur
1,pa~nchakanya,bhojapura,yaku katti,Bhojpur
4,vani,mora~na,sidharaha,Morang
2,chimkeshvari,tanahu.n,,Tanahun
3,chimkeshvari,tanahu.n,,Tanahun
3,rashtiya,ilama,soya~na,Ilam
2,kiramteshvara,ilama,,Ilam
1,jalakanya,ilama,phakaphokathuma ga pa,Ilam
3,adaraniya,ilama,,Ilam
2,janakalyana,ilama,dokanada.nda,Ilam
3,millachoka,ilama,,Ilam
2,janakalyana,bhojapura,amteka,Bhojpur
2,shikshakshamakanya,bhojapura,,Bhojpur
4,balamiteri,bhojapura,,Bhojpur
2,krrishna,mora~na,leta~na,Morang
1,akala,tanahu.n.n,,Tanahun
4,shri,chitavana,lamku bahghare,Chitwan
3,khartancha,bhojapura,,Bhojpur
2,dhapakharka,bhojapura,,Bhojpur
2,pa~nchakanya,bhojapura,pauvadu~nama ga pa,Bhojpur
2,amara jyoti,tanahu.n.n,kyamunada.nda jhirubasa,Tanahun
1,jana kalyana,ilama,lakshmipura,Ilam
2,vidyadhari,bhojapura,ramaprasadarai ga pa,Bhojpur
4,devithana,bhojapura,amteka,Bhojpur
2,amarajyoti,tanahu.nm,shuklagandaki,Tanahun
3,varabhanjya,ilama,,Ilam
2,nala devi,tanahu.n,,Tanahun
4,dharma,tanahu.n.n,bhimada,Tanahun
4,miklacho,ilama,,Ilam
4,buddha,ilama,,Ilam
1,ratna devi,ilama,gajuramukhi,Ilam
1,gajuramukhi,ilama,,Ilam
2,jalapa,bhojapura,aruna,Bhojpur
1,simheshvari,ilama,,Ilam
2,siddhi vinayaka,ilama,sumbeka,Ilam
2,dobhana,ilama,,Ilam
2,devi,ilama,,Ilam
1,iraumtara,ilama,ro~na ga pa,Ilam
2,vidya,ilama,,Ilam
2,maheshvara,ilama,nindakhu saeyaka,Ilam
2,vikri,ilama,,Ilam
4,bhagavati,ilama,golakharka,Ilam
2,deurali,ilama,jitapura,Ilam
2,adarsha,ilama,phikkala,Ilam
4,adarsha,ilama,,Ilam
4,nepalatara,ilama,sakheju~na,Ilam
2,drripadavi,ilama,,Ilam
4,pashupati kanya mandira,dolakha,,Dolakha
1,nava jyoti,ilama,,Ilam
4,bhagavati,ilama,,Ilam
4,bhagavati,ilama,dhuseni,Ilam
4,himali,jhapa,prrithvinagara,Jhapa
4,mahendra ratna,jhapa,virtamoda,Jhapa
4,kalika,tanahu.n,bi,Tanahun
4,siddhamahakali,tanahu.n.n,,Tanahun
2,lakshmi narayana,bhojapura,,Bhojpur
2,rachana,bhojapura,,Bhojpur
2,jalpa,bhojapura,sanedumma,Bhojpur
4,kataka,bhojapura,ya~napa~na,Bhojpur
4,paravati,tanahu.n,,Tanahun
2,jyoti,bhojapura,,Bhojpur
4,simhadevi,bhojapura,halaucha,Bhojpur
4,lakshmi,Syangja,thumapokhara,Syangja
1,ananda,bardiya,ratamate madhuvana,Bardiya
2,jayanepala,tanahu.n,,Tanahun
1,rashtriya,tanahu.n.n,,Tanahun
4,shamkara,tanahu.n.n,,Tanahun
4,janaka,navalaparasi,gaimdakota va su purva,Nawalparasi
1,sarasvati,tanahu.n.n,bhanu na pa,Tanahun
1,jivanajyaeti,chitavana,bharatapura,Chitwan
4,durga sheshakanta adhikari,chitavana,vijayanagara,Chitwan
4,mahendra jyoti,tanahu.n.n,,Tanahun
4,krrishna,tanahu.n.n,ghiri~na,Tanahun
1,gudi phachya~na,tanahu.n.n,,Tanahun
4,mahendri,tanahu.n.n,vyasa,Tanahun
2,barahi,tanahu.n.n,rrishi~na ga pa,Tanahun
4,dipaka,tanahu.n,,Tanahun
2,kusmavati,tanahu.n.n,,Tanahun
2,krrishna gandaki,tanahu.n.n,belasva.nra,Tanahun
1,shri,chitavana,sisavasa parsabajara,Chitwan
4,araniko,tanahu.n.n,mirlu~na,Tanahun
2,mukundeshvari,tanahu.n,,Tanahun
2,janata,tanahu.n,vyasa,Tanahun
4,navadurga,palpa,ramapura,Palpa
4,chandrajyoti,tanahu.n,,Tanahun
4,chandra jyoti,tanahu.n.n,,Tanahun
4,samgama,kaski,anpurna ga pa,Kaski
2,pokhari,ilama,,Ilam
