	Unnamed: 0.1	Unnamed: 0	School_level_transliterated	School_name_transliterated	Potential_district_transliterated	Location_1_transliterated	Matched_District	district_id_x	district_id_y	root_school_name
0	0	0	0	janapriya	bhojapura		bhojpur	1	1	shree medhawi ebs
1	1	1	0	chenakhama	bhojapura		bhojpur	1	1	balbalika smriti
2	2	2	1	gograha	mora~na	viratanagara	morang	6	6	a one quality vi
3	3	3	1	shri shamkara	tanahu.n.n	gajarakota	tanahun	46	46	a one montessori
4	4	4	1	janajagrriti	tanahu.n.n		tanahun	46	46	churumpha
5	5	5	0	da~nasi~najare	bhojapura		bhojpur	1	1	murme
6	6	6	0	cha~nachaha~nga	bhojapura		bhojpur	1	1	titribote
7	7	7	0	kheshvara	bhojapura		bhojpur	1	1	ratmate
8	8	8	0	durgeshvari	bhojapura		bhojpur	1	1	aadarsha  satpatre
9	9	9	1	pavitra	tanahu.n.n	bandipura	tanahun	46	46	aadarsha gyankunja academy
10	10	10	1	mitrata	tanahu.n		tanahun	46	46	aadarsha ma ebs
11	11	11	1	mitrata	tanahu.n	a.nbukhaireni	tanahun	46	46	hardiya dharan sunsari nepal
12	12	12	1	saleva	bhojapura	deabhane	bhojpur	1	1	aa vi khairaha
13	13	13	2	jalpa	bhojapura	bhausipamkha	bhojpur	1	1	bardanda
14	14	14	0	balakanya	bhojapura		bhojpur	1	1	lekhgaun
15	15	15	1	jalpa	bhojapura		bhojpur	1	1	aagejung
16	16	16	0	jagadishvari	bhojapura		bhojpur	1	1	aagyansag gumba
17	17	17	1	pa~nchakanya	chitavana		chitwan	29	29	aamgachhi
18	18	18	1	virendra adarsha	chitavana	virendranagara	chitwan	29	29	aanandeshwor gurukul pathsala
19	19	19	1	chandeshvara	bhojapura	balamkha	bhojpur	1	1	aapdanda babike
20	20	20	1	pa~nchakanya	bhojapura		bhojpur	1	1	aarambha vidya mandir
21	21	21	3	chinta~na devi	bhojapura		bhojpur	1	1	aaramva bal sikshalaya ebs
22	22	22	3	bhimeshvari	bhojapura		bhojpur	1	1	aaruni ebs
23	23	23	0	sarasvati	bhojapura	taksara	bhojpur	1	1	aasha academy sunsari
24	24	24	0	janajyoti	tanahu.n		tanahun	46	46	aashin  koshi rural municipality sunsari
25	25	25	1	kyaminakota	tanahu.n		tanahun	46	46	abacus ebs birtamode pra li
26	26	26	0	bhavani	tanahu.n	vyasa	tanahun	46	46	abacus ebs
27	27	27	3	siddheshvara	lalitapura	godavari	lalitpur	25	25	abha english ma ebs
28	28	28	3	chandi	bhojapura		bhojpur	1	1	abhijeet dutta
29	29	29	3	jalapa	bhojapura	ya~na tharpu	bhojpur	1	1	acme academy
30	30	30	0	shitaladevi	bhojapura		bhojpur	1	1	adarniya
31	31	31	0	simha bahini	bhojapura	bhojapura na pa	bhojpur	1	1	adarsa
