school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3
10,Shree Medhawi  Boarding School,"Dhobiyare,",7,409,Gramthan Rural Municipality,6,Morang,1,Koshi Province,,,
11,13 Balbalika Smriti Basic School,Bahattar Bigha,6,725,Ramdhuni Municipality,11,Sunsari,1,Koshi Province,Balbalika Smriti Pra V,,
12,A One Quality School,Biratnagar,3,406,Biratnagar Metropolitan City,6,Morang,1,Koshi Province,,,
13,A-One montessori Pre-primary School,Damak,16,264,Damak Municipality,4,Jhapa,1,Koshi Province,,,
14,Aa vi Churumpha,Valayadana,8,778,Udayapurgadhi Rural Municipality,14,Udayapur,1,Koshi Province,Ni Ma V Churumpha,,
15,Aa Vi Murme,udayapurgadhi,1,778,Udayapurgadhi Rural Municipality,14,Udayapur,1,Koshi Province,Aadharboot School Murme,Ni Ma V Murme,
16,Aa. V Titribote,Titribote,6,771,Belaka Municipality,14,Udayapur,1,Koshi Province,Pra V Titribote,,
17,Aa. Vi. Ratmate,udayapur,9,777,Triyuga Municipality,14,Udayapur,1,Koshi Province,Aa. Vi. Ratmate (1-8),Ni Ma V Ratmate,
18,Aadarsha Basic School Satpatre,SATPATRE,3,771,Belaka Municipality,14,Udayapur,1,Koshi Province,,,
19,Aadarsha Gyankunja Academy,Bhojpur,9,97,Bhojpur Municipality,1,Bhojpur,1,Koshi Province,,,
110,Aadarsha Secondary English Boarding School,Siddhartha,1,405,Belbari Municipality,6,Morang,1,Koshi Province,,,
111,"Aadharbhut Bidyalaya  Hardiya, Dharan-4,Sunsari(Nepal)","Dharan  4 , Hardiya",4,718,Dharan Sub Metropolitan City,11,Sunsari,1,Koshi Province,"Aadharbhut Bidyalaya  Hardiya, Dharan-4",Aadharbhut Bidhyalaya  Hardiya,Ni Ma V Hardiya
112,Aadharbhut vidhyalaya Khairaha,Chaudandigadhi,10,772,Chaudandigadhi Municipality,14,Udayapur,1,Koshi Province,Pra V Khairaha,,
113,Aadharvut Bidyalaya Bardanda,Bardanda,10,773,Katari Municipality,14,Udayapur,1,Koshi Province,Pra V Bardanda,,
114,Aadharvut Bidyalaya(1-5) Lekhgaun,Lekhgaun,2,776,Tapli Rural Municipality,14,Udayapur,1,Koshi Province,Shree Basic School Lekhgaun,Pra V Lekhgau,
115,AAGEJUNG BASIC SCHOOL,BOJEDHARA,6,504,Yangwarak Rural Municipality,8,Panchthar,1,Koshi Province,Agejung Ni Ma V,,
116,Aagyansag Gumba Primary School,Rakhabangdel,1,352,Ainselukharka Rural Municipality,5,Khotang,1,Koshi Province,Aagyansag Gumba Pra V,,
117,Aamgachhi Pra V,Amgachhi,2,266,Gauriganj Rural Municipality,4,Jhapa,1,Koshi Province,Amgachhi Pra V,,
118,Aanandeshwor Gurukul Pathsala,Buddhashanti,1,263,Buddhashanti Rural Municipality,4,Jhapa,1,Koshi Province,,,
119,Aapdanda Babike,Pedang,5,763,Sirijangha Rural Municipality,12,Taplejung,1,Koshi Province,,,
120,Aarambha Vidya Mandir,Jhumka Laguna,5,725,Ramdhuni Municipality,11,Sunsari,1,Koshi Province,L N Memorial Model Ebs,,
121,Aaramva Bal Sikshalaya Ebs,Chakchaki,5,260,Bahradashi Rural Municipality,4,Jhapa,1,Koshi Province,,,
122,Aaruni English Boarding School,Balubadi,7,269,Kachankawal Rural Municipality,4,Jhapa,1,Koshi Province,Aaaruni English Boarding School,Aruni Ebs,
123,Aasha Academy Sunsari,Panbari,6,718,Dharan Sub Metropolitan City,11,Sunsari,1,Koshi Province,,,
124,"Aashin Basic School Koshi Rural Municipality 3, Sunsari",Prati Tole,3,724,Koshi Rural Municipality,11,Sunsari,1,Koshi Province,Aashin Pra V,,
125,Abacus Boarding School Birtamode Pvt.Ltd,Birtamode,4,262,Birtamod Municipality,4,Jhapa,1,Koshi Province,Gyan Jyoti Ebs,,
126,Abacus English Boarding School,Paurakhi Tole Purano Bhadrapur Road,4,262,Birtamod Municipality,4,Jhapa,1,Koshi Province,Abakash Ebs,,
127,Abha English Secondary Boarding School,Budhiganga Gaupalika,7,407,Budhiganga Rural Municipality,6,Morang,1,Koshi Province,Abha English secondary Boarding School,,
128,Abhijeet Dutta Basic School,New Tole,7,417,Rangeli Municipality,6,Morang,1,Koshi Province,Abijit Dtta Pra V,,
129,Acme Academy,Triyuga,6,777,Triyuga Municipality,14,Udayapur,1,Koshi Province,,,
130,Adarniya mavi,Sandakpur,1,250,Sandakpur Rural Municipality,3,Ilam,1,Koshi Province,Adarniya Adhar V,,
