root_school_name,school_levels,district_id,modified_old_name1,modified_old_name2,modified_local_level
shree medhawi ebs,,6,,,gramthan rural municipality
balbalika smriti,avi,11,balbalika smriti pravi,,ramdhuni municipality
a one quality vi,,6,,,biratnagar metropolitan city
a one montessori,avi,4,,,damak municipality
churumpha,avi,14,nimavi churumpha,,udayapurgadhi rural municipality
murme,avi,14,avi murme,nimavi murme,udayapurgadhi rural municipality
titribote,avi,14,pravi titribote,,belaka municipality
ratmate,avi,14,avi ratmate,nimavi ratmate,triyuga municipality
aadarsha  satpatre,avi,14,,,belaka municipality
aadarsha gyankunja academy,,1,,,bhojpur municipality
aadarsha ma ebs,,6,,,belbari municipality
hardiya dharan sunsari nepal,avi,11,avi hardiya dharan,avi hardiya,dharan sub metropolitan city
aa vi khairaha,,14,pravi khairaha,,chaudandigadhi municipality
bardanda,avi,14,pravi bardanda,,katari municipality
lekhgaun,avi,14,shree avi lekhgaun,pravi lekhgau,tapli rural municipality
aagejung,avi,8,agejung nimavi,,yangwarak rural municipality
aagyansag gumba,pravi,5,aagyansag gumba pravi,,ainselukharka rural municipality
aamgachhi,pravi,4,amgachhi pravi,,gauriganj rural municipality
aanandeshwor gurukul pathsala,,4,,,buddhashanti rural municipality
aapdanda babike,,12,,,sirijangha rural municipality
aarambha vidya mandir,,11,l n memorial model ebs,,ramdhuni municipality
aaramva bal sikshalaya ebs,,4,,,bahradashi rural municipality
aaruni ebs,,4,aaaruni english boarding vi,aruni ebs,kachankawal rural municipality
aasha academy sunsari,,11,,,dharan sub metropolitan city
aashin  koshi rural municipality sunsari,avi,11,aashin pravi,,koshi rural municipality
abacus ebs birtamode,pravi,4,gyan jyoti ebs,,birtamod municipality
abacus ebs,,4,abakash ebs,,birtamod municipality
abha english ma ebs,,6,abha english ma boarding vi,,budhiganga rural municipality
abhijeet dutta,avi,6,abijit dtta pravi,,rangeli municipality
acme academy,,14,,,triyuga municipality
adarniya ma vi,,3,adarniya avi,,sandakpur rural municipality
adarsa,avi,6,adarsa pravi,,sundarharaincha municipality
